sleeve_id,signal,hour_bucket,n,inv_hit,inv_pnl,inv_ppt,same_pnl,swing,perm_p
poly_updown_btc_15m_volume_INV_NIGHT,UP,06-11,55,0.7454545454545455,646.2369963523691,11.749763570043076,-705.5900706000001,1351.8270669523693,0.0
poly_updown_eth_5m_volume_INV_NIGHT,UP,06-11,116,0.6120689655172413,602.5818201278043,5.194670863170727,-774.04638542,1376.6282055478043,0.01
poly_updown_btc_5m_momo_HEDGE,DOWN,18-23,42,0.7857142857142857,522.4635379551476,12.439608046551133,-594.89126838,1117.3548063351477,0.0
poly_updown_btc_5m_momo_HOLD,DOWN,18-23,42,0.7857142857142857,522.4635379551476,12.439608046551133,-599.1989645000001,1121.6625024551477,0.0
poly_updown_btc_5m_volume_INV_NIGHT,UP,06-11,144,0.5694444444444444,479.81721509386557,3.3320639937073997,-606.9511118999999,1086.7683269938655,0.06
poly_updown_btc_5m_momo_SELL,DOWN,18-23,42,0.7619047619047619,470.92187014761066,11.212425479705015,-593.9297302600002,1064.851600407611,0.0
poly_updown_sol_5m_sniper_INV,UP,00-05,36,0.75,424.7333948942843,11.798149858174563,-485.3186522,910.0520470942843,0.004
poly_updown_eth_5m_sniper_DOWN_INV,UP,00-05,34,0.6764705882352942,312.06269423892724,9.178314536439036,-339.87981956000004,651.9425137989273,0.014
poly_updown_sol_15m_volume_INV_NIGHT,DOWN,06-11,34,0.6764705882352942,257.8536456153654,7.5839307533930995,-327.49088922,585.3445348353654,0.034
poly_updown_btc_5m_momo_v2_HEDGE,DOWN,12-17,51,0.6274509803921569,247.1928357684493,4.846918348400966,-171.92228960000003,419.1151253684493,0.078
poly_updown_eth_15m_volume_INV_NIGHT,UP,06-11,38,0.631578947368421,232.89046772185196,6.1286965189961045,-286.27995772,519.170425441852,0.076
poly_updown_btc_15m_sniper,DOWN,12-17,44,0.6363636363636364,227.16038462471,5.162736014197955,-218.01694158,445.17732620470997,0.084
poly_updown_btc_5m_momo_SELL,UP,00-05,31,0.6451612903225806,217.5301534642178,7.0171017246521865,-236.47387308,454.0040265442178,0.07
poly_updown_btc_5m_momo_HEDGE,UP,00-05,31,0.6451612903225806,217.5301534642178,7.0171017246521865,-236.47387308,454.0040265442178,0.064
poly_updown_btc_15m_sniper,UP,18-23,27,0.6666666666666666,207.91135680724412,7.7004206224905225,-162.5918056,370.5031624072441,0.056
poly_updown_sol_5m_sniper,DOWN,18-23,41,0.6341463414634146,207.11443152466657,5.051571500601623,-203.18272234,410.2971538646666,0.082
poly_updown_btc_5m_momo_v2_HOLD,DOWN,12-17,45,0.6222222222222222,203.03596943011465,4.511910431780326,-270.4920018600001,473.5279712901147,0.094
poly_updown_eth_5m_momo_v2_HEDGE,DOWN,12-17,30,0.6666666666666666,199.7644999573946,6.658816665246487,-236.39645958000006,436.16095953739466,0.054
poly_updown_eth_5m_momo_v2_HOLD,DOWN,12-17,30,0.6666666666666666,199.7644999573946,6.658816665246487,-259.87561122000005,459.64011117739466,0.056
poly_updown_eth_5m_momo_SELL,UP,12-17,40,0.625,196.0727463262122,4.901818658155305,-250.95340555999996,447.0261518862122,0.084
poly_updown_eth_5m_momo_HEDGE,UP,12-17,40,0.625,196.0727463262122,4.901818658155305,-248.26060732000002,444.33335364621223,0.094
poly_updown_eth_5m_momo_HOLD,UP,12-17,40,0.625,196.0727463262122,4.901818658155305,-259.26060556,455.3333518862122,0.096
poly_updown_btc_5m_momo_v2_HEDGE,DOWN,18-23,36,0.6388888888888888,195.29588463558457,5.424885684321794,-277.7046676,473.00055223558456,0.066
poly_updown_btc_5m_momo_HOLD,UP,00-05,32,0.625,192.53015346421776,6.016567295756805,-213.85849932,406.38865278421775,0.092
poly_updown_eth_5m_momo_HEDGE,DOWN,12-17,33,0.6363636363636364,185.56948051718973,5.623317591429992,-132.84541869999998,318.4148992171897,0.068
poly_updown_btc_5m_momo_v2_SELL,DOWN,00-05,31,0.6451612903225806,180.79742519768735,5.832175006377011,-325.10789772000004,505.9053229176874,0.068
poly_updown_btc_5m_momo_v2_HEDGE,DOWN,00-05,31,0.6451612903225806,180.79742519768735,5.832175006377011,-299.02736136000004,479.8247865576874,0.074
