tf,anchor_off_s,horizon_s,thr,n,hit,pnl,pnl_per_trade,median_vwap
15m,30,120,0.07,2047,0.0874,-28270.5673,-13.8107,0.04
15m,30,120,0.08,1977,0.089,-26639.933,-13.4749,0.0392
15m,30,120,0.09,1768,0.0933,-23654.055,-13.379,0.04
15m,30,120,0.1,1613,0.098,-23187.5774,-14.3754,0.0432
15m,30,120,0.12,1556,0.0932,-22636.5709,-14.5479,0.0429
15m,30,120,0.15,1505,0.0877,-21813.8439,-14.4942,0.0427
15m,30,120,0.2,1427,0.0792,-20618.1925,-14.4486,0.0422
15m,30,300,0.07,2017,0.0987,-28446.4993,-14.1034,0.0395
15m,30,300,0.08,1936,0.1012,-26557.9199,-13.7179,0.0387
15m,30,300,0.09,1651,0.1108,-21475.2408,-13.0074,0.039
15m,30,300,0.1,1369,0.1286,-14666.805,-10.7135,0.048
15m,30,300,0.12,1328,0.1212,-14437.0924,-10.8713,0.0473
15m,30,300,0.15,1277,0.1112,-14863.0169,-11.639,0.0465
15m,30,300,0.2,1206,0.0912,-14277.5202,-11.8387,0.0453
15m,30,600,0.07,1976,0.1048,-28216.3148,-14.2795,0.0387
15m,30,600,0.08,1869,0.107,-25781.4797,-13.7943,0.0378
15m,30,600,0.09,1480,0.1216,-20904.436,-14.1246,0.0382
15m,30,600,0.1,1036,0.1622,-15659.1243,-15.115,0.0674
15m,30,600,0.12,1007,0.1539,-15373.7736,-15.2669,0.0664
15m,30,600,0.15,978,0.1452,-15590.4674,-15.9412,0.0645
15m,30,600,0.2,906,0.1192,-15087.6454,-16.653,0.0605
15m,60,120,0.07,2484,0.126,-25143.0071,-10.122,0.0444
15m,60,120,0.08,2370,0.1262,-23638.325,-9.974,0.0434
15m,60,120,0.09,2148,0.1331,-20413.3522,-9.5034,0.0484
15m,60,120,0.1,1973,0.1404,-17073.7963,-8.6537,0.0541
15m,60,120,0.12,1905,0.1349,-16087.066,-8.4447,0.0541
15m,60,120,0.15,1843,0.1291,-15295.7154,-8.2994,0.0533
15m,60,120,0.2,1725,0.1142,-14633.8071,-8.4834,0.0512
15m,60,300,0.07,2419,0.1282,-26795.7092,-11.0772,0.0428
15m,60,300,0.08,2262,0.1304,-24724.2013,-10.9302,0.042
15m,60,300,0.09,1951,0.1435,-19752.7494,-10.1244,0.0495
15m,60,300,0.1,1675,0.163,-13096.2346,-7.8186,0.0646
15m,60,300,0.12,1618,0.1545,-12763.4982,-7.8884,0.0641
15m,60,300,0.15,1565,0.1463,-14110.8747,-9.0165,0.0643
15m,60,300,0.2,1478,0.1299,-13282.1243,-8.9866,0.0618
15m,60,600,0.07,2320,0.1349,-25057.4445,-10.8006,0.0408
15m,60,600,0.08,2106,0.1415,-21487.9738,-10.2032,0.0399
15m,60,600,0.09,1703,0.165,-15587.7777,-9.1531,0.0516
15m,60,600,0.1,1242,0.211,-9813.6792,-7.9015,0.1094
15m,60,600,0.12,1196,0.1957,-9624.9127,-8.0476,0.1015
15m,60,600,0.15,1144,0.1836,-9244.5312,-8.0809,0.0953
15m,60,600,0.2,1046,0.1558,-9930.0797,-9.4934,0.0892
15m,90,120,0.07,2708,0.1311,-27064.3935,-9.9942,0.0498
15m,90,120,0.08,2597,0.1317,-26562.0235,-10.228,0.05
15m,90,120,0.09,2371,0.1375,-25023.1231,-10.5538,0.0553
15m,90,120,0.1,2129,0.148,-21418.3247,-10.0603,0.0676
15m,90,120,0.12,2074,0.1446,-20617.3153,-9.9408,0.0672
15m,90,120,0.15,1994,0.1384,-19949.9171,-10.005,0.0653
15m,90,120,0.2,1865,0.1206,-19517.5531,-10.4652,0.0616
15m,90,300,0.07,2626,0.1428,-25325.0822,-9.644,0.0486
15m,90,300,0.08,2462,0.1466,-22970.3045,-9.3299,0.0496
15m,90,300,0.09,2178,0.1589,-18474.6323,-8.4824,0.0603
15m,90,300,0.1,1824,0.1809,-13379.57,-7.3353,0.0873
15m,90,300,0.12,1779,0.1754,-13088.9129,-7.3575,0.0865
15m,90,300,0.15,1708,0.168,-13015.3332,-7.6202,0.0854
15m,90,300,0.2,1580,0.1494,-12150.1703,-7.69,0.0808
15m,90,600,0.07,2466,0.1476,-24154.2257,-9.7949,0.0451
15m,90,600,0.08,2264,0.1524,-23559.8744,-10.4063,0.0447
15m,90,600,0.09,1851,0.1729,-19590.9107,-10.584,0.0697
15m,90,600,0.1,1274,0.2378,-8735.9697,-6.8571,0.1669
15m,90,600,0.12,1236,0.229,-8484.6076,-6.8646,0.1624
15m,90,600,0.15,1182,0.2217,-8071.8663,-6.829,0.1565
15m,90,600,0.2,1084,0.1919,-9998.2342,-9.2235,0.1467
15m,120,120,0.07,2781,0.1597,-23199.6994,-8.3422,0.0617
15m,120,120,0.08,2658,0.1622,-22644.4248,-8.5193,0.0649
15m,120,120,0.09,2430,0.1704,-19311.6633,-7.9472,0.0747
15m,120,120,0.1,2210,0.1837,-14146.8808,-6.4013,0.0893
15m,120,120,0.12,2131,0.1779,-13609.8998,-6.3866,0.0876
15m,120,120,0.15,2040,0.1647,-13545.4246,-6.6399,0.0837
15m,120,120,0.2,1903,0.1503,-12741.4642,-6.6955,0.08
15m,120,300,0.07,2682,0.1715,-21099.0873,-7.8669,0.0603
15m,120,300,0.08,2509,0.1766,-19793.2234,-7.8889,0.0657
15m,120,300,0.09,2217,0.1931,-14582.2958,-6.5775,0.0861
