tf,anchor_off_s,horizon_s,thr,n,hit,pnl,pnl_per_trade,median_vwap
15m,480,600,0.2,1265,0.5557,-1469.1609,-1.1614,0.62
15m,420,600,0.2,1066,0.5272,-1624.738,-1.5241,0.61
15m,420,600,0.15,1463,0.566,-1791.2229,-1.2243,0.64
15m,420,600,0.1,1883,0.6001,-2053.3675,-1.0905,0.66
15m,480,600,0.15,1720,0.5779,-2208.0133,-1.2837,0.64
15m,420,600,0.12,1716,0.5816,-2292.7839,-1.3361,0.65
15m,420,600,0.09,2013,0.6011,-2673.6872,-1.3282,0.6661
15m,480,600,0.12,1974,0.5887,-2881.2027,-1.4596,0.6521
15m,360,600,0.2,946,0.4947,-2930.2851,-3.0976,0.6067
15m,480,600,0.1,2153,0.5996,-3065.6038,-1.4239,0.66
15m,270,600,0.1,1353,0.541,-3069.0141,-2.2683,0.61
15m,420,300,0.2,1556,0.3901,-3142.2807,-2.0195,0.41
15m,240,600,0.1,1360,0.4728,-3193.2938,-2.348,0.52
15m,270,600,0.12,1237,0.5214,-3251.9983,-2.6289,0.5975
15m,270,600,0.15,1062,0.4887,-3257.4743,-3.0673,0.565
15m,480,300,0.2,1572,0.4332,-3339.5199,-2.1244,0.494
15m,240,600,0.12,1271,0.4548,-3384.9968,-2.6633,0.5034
15m,330,600,0.2,946,0.4471,-3407.6001,-3.6021,0.5468
15m,420,300,0.12,2016,0.4464,-3451.618,-1.7121,0.4753
15m,270,600,0.2,801,0.4245,-3460.6232,-4.3204,0.5
15m,480,600,0.09,2265,0.6026,-3460.9371,-1.528,0.668
15m,420,600,0.08,2217,0.5846,-3524.6855,-1.5898,0.66
15m,360,600,0.15,1327,0.5388,-3560.2125,-2.6829,0.6332
15m,420,300,0.15,1843,0.4243,-3560.3736,-1.9318,0.4535
15m,240,600,0.2,947,0.3833,-3683.5368,-3.8897,0.4217
15m,420,300,0.1,2143,0.4606,-3688.7352,-1.7213,0.4947
15m,240,600,0.15,1143,0.4287,-3705.1447,-3.2416,0.4709
15m,480,300,0.15,1884,0.4623,-3735.3558,-1.9827,0.53
15m,360,600,0.1,1717,0.5807,-3834.9746,-2.2335,0.66
15m,360,600,0.12,1552,0.5612,-3839.0127,-2.4736,0.6497
15m,240,600,0.09,1611,0.4308,-3888.5053,-2.4137,0.47
15m,330,600,0.1,1631,0.5494,-3981.1834,-2.4409,0.64
15m,330,600,0.12,1468,0.5252,-3997.6642,-2.7232,0.62
15m,330,600,0.15,1272,0.4921,-4138.0222,-3.2532,0.59
15m,480,300,0.12,2106,0.4815,-4285.0572,-2.0347,0.5549
15m,480,600,0.08,2406,0.5973,-4349.3692,-1.8077,0.6688
15m,420,300,0.09,2240,0.4634,-4386.2188,-1.9581,0.5
15m,480,300,0.1,2263,0.4962,-4456.9116,-1.9695,0.5697
15m,420,600,0.07,2388,0.5779,-4756.4159,-1.9918,0.6601
15m,360,600,0.09,1854,0.5777,-4841.9048,-2.6116,0.66
15m,480,300,0.09,2363,0.5015,-4952.3032,-2.0958,0.5758
15m,420,300,0.08,2419,0.456,-5327.2997,-2.2023,0.4939
15m,420,120,0.15,2217,0.3545,-5706.2423,-2.5739,0.32
15m,480,600,0.07,2544,0.5877,-5792.2395,-2.2768,0.6674
15m,330,600,0.09,1770,0.535,-5801.3656,-3.2776,0.6385
15m,420,120,0.2,1969,0.3255,-5834.6414,-2.9633,0.2886
15m,480,300,0.08,2490,0.4996,-5935.1694,-2.3836,0.5766
15m,330,300,0.2,1643,0.3201,-5938.9798,-3.6147,0.2985
15m,360,300,0.2,1667,0.3407,-6096.6947,-3.6573,0.32
15m,420,120,0.1,2514,0.3799,-6111.2111,-2.4309,0.3482
15m,330,300,0.15,1873,0.3481,-6324.4118,-3.3766,0.33
15m,360,300,0.12,2044,0.3894,-6497.1711,-3.1787,0.38
15m,420,300,0.07,2564,0.4536,-6515.2626,-2.5411,0.49
15m,360,300,0.15,1890,0.3677,-6529.7634,-3.4549,0.3563
15m,360,300,0.1,2157,0.4043,-6631.1539,-3.0742,0.3945
15m,420,120,0.12,2385,0.3665,-6655.7685,-2.7907,0.3366
15m,330,300,0.1,2129,0.3828,-6673.8413,-3.1347,0.37
15m,330,300,0.12,2018,0.3697,-6679.7969,-3.3101,0.35
15m,420,120,0.09,2601,0.3806,-6831.9251,-2.6267,0.3504
15m,270,600,0.09,1571,0.4959,-6954.6189,-4.4269,0.59
15m,360,600,0.08,2090,0.5426,-6993.8966,-3.3464,0.65
15m,480,120,0.2,1967,0.3543,-7180.3948,-3.6504,0.35
15m,360,300,0.09,2258,0.4061,-7216.8013,-3.1961,0.3982
15m,480,120,0.15,2241,0.3793,-7270.9142,-3.2445,0.3806
15m,480,300,0.07,2625,0.4937,-7455.1123,-2.84,0.5719
15m,420,120,0.08,2748,0.3806,-7573.6804,-2.7561,0.35
15m,330,300,0.09,2245,0.3808,-7757.5009,-3.4555,0.3659
15m,240,600,0.08,1943,0.3783,-8127.4196,-4.1829,0.38
15m,480,120,0.12,2429,0.3915,-8315.6469,-3.4235,0.4
15m,360,600,0.07,2296,0.5314,-8547.439,-3.7228,0.65
15m,360,300,0.08,2451,0.3925,-8583.1709,-3.5019,0.38
15m,480,120,0.1,2578,0.403,-8779.6737,-3.4056,0.4112
15m,420,120,0.07,2864,0.382,-8861.2428,-3.094,0.35
15m,480,120,0.09,2657,0.4091,-8882.0774,-3.3429,0.42
15m,330,600,0.08,2058,0.4922,-9120.8308,-4.4319,0.6137
15m,480,120,0.08,2767,0.412,-9168.9202,-3.3137,0.42
15m,330,120,0.2,2055,0.2642,-9280.9307,-4.5163,0.22
15m,240,120,0.2,2014,0.2071,-9572.501,-4.753,0.1636
15m,330,120,0.12,2427,0.3033,-9673.8611,-3.9859,0.25
15m,240,120,0.15,2201,0.2285,-10137.806,-4.606,0.1789
15m,330,120,0.15,2280,0.2833,-10163.6187,-4.4577,0.24
15m,240,120,0.12,2315,0.241,-10179.5808,-4.3972,0.1842
15m,330,600,0.07,2292,0.4743,-10262.5063,-4.4775,0.6
15m,360,120,0.2,2057,0.2781,-10304.6758,-5.0096,0.24
15m,480,120,0.07,2861,0.4096,-10305.3702,-3.602,0.42
15m,360,120,0.15,2272,0.3041,-10359.3236,-4.5596,0.2628
15m,330,120,0.1,2529,0.3108,-10376.1326,-4.1029,0.26
15m,360,300,0.07,2633,0.3908,-10452.6996,-3.9699,0.3757
15m,330,300,0.08,2473,0.3611,-10514.6676,-4.2518,0.336
15m,240,300,0.09,2214,0.2927,-10699.444,-4.8326,0.2365
15m,360,120,0.12,2423,0.3178,-10725.6843,-4.4266,0.2762
15m,240,120,0.1,2402,0.2506,-10751.6788,-4.4761,0.19
15m,360,120,0.1,2534,0.3275,-10846.0504,-4.2802,0.28
15m,240,300,0.15,1849,0.2796,-10906.5347,-5.8986,0.24
15m,240,300,0.12,1951,0.2947,-10956.8591,-5.616,0.251
15m,240,300,0.1,2028,0.3037,-10984.4831,-5.4164,0.26
15m,360,120,0.09,2612,0.3331,-11071.664,-4.2388,0.2827
15m,270,600,0.08,1882,0.4405,-11209.3964,-5.9561,0.54
15m,240,300,0.2,1668,0.2506,-11241.454,-6.7395,0.2167
15m,270,300,0.2,1624,0.2654,-11265.4708,-6.9369,0.24
15m,330,120,0.09,2621,0.3121,-11354.0179,-4.3319,0.26
15m,330,300,0.07,2643,0.3541,-11452.1757,-4.333,0.324
15m,270,120,0.2,1979,0.2213,-11601.4831,-5.8623,0.18
15m,270,300,0.15,1813,0.2956,-11639.682,-6.4201,0.2659
15m,270,300,0.12,1922,0.3137,-11916.8585,-6.2002,0.2795
15m,270,300,0.1,1992,0.3238,-12008.4099,-6.0283,0.2844
15m,360,120,0.08,2763,0.3272,-12212.6937,-4.4201,0.2765
15m,240,120,0.09,2520,0.25,-12555.5023,-4.9823,0.1802
15m,240,600,0.07,2228,0.3514,-12843.6419,-5.7647,0.32
