variant,eps_bp,thr_bp,asset,n,hit
A,0.5,0.0,ALL,2118,0.5812
A,0.5,0.0,BTC,808,0.5829
A,0.5,0.0,ETH,759,0.5784
A,0.5,0.0,SOL,551,0.5826
A,0.5,0.5,ALL,1968,0.5854
A,0.5,0.5,BTC,729,0.5857
A,0.5,0.5,ETH,688,0.5872
A,0.5,0.5,SOL,551,0.5826
A,0.5,1.0,ALL,1780,0.5871
A,0.5,1.0,BTC,619,0.5961
A,0.5,1.0,ETH,610,0.582
A,0.5,1.0,SOL,551,0.5826
A,0.5,2.0,ALL,1384,0.6004
A,0.5,2.0,BTC,468,0.6026
A,0.5,2.0,ETH,475,0.5874
A,0.5,2.0,SOL,441,0.6122
A,0.5,5.0,ALL,580,0.6379
A,0.5,5.0,BTC,158,0.6266
A,0.5,5.0,ETH,212,0.6509
A,0.5,5.0,SOL,210,0.6333
A,1.0,0.0,ALL,3181,0.5831
A,1.0,0.0,BTC,1326,0.5867
A,1.0,0.0,ETH,1304,0.5798
A,1.0,0.0,SOL,551,0.5826
A,1.0,0.5,ALL,2970,0.5848
A,1.0,0.5,BTC,1211,0.5888
A,1.0,0.5,ETH,1208,0.582
A,1.0,0.5,SOL,551,0.5826
A,1.0,1.0,ALL,2684,0.5849
A,1.0,1.0,BTC,1050,0.5943
A,1.0,1.0,ETH,1083,0.5771
A,1.0,1.0,SOL,551,0.5826
A,1.0,2.0,ALL,2094,0.6032
A,1.0,2.0,BTC,796,0.6143
A,1.0,2.0,ETH,857,0.5881
A,1.0,2.0,SOL,441,0.6122
A,1.0,5.0,ALL,879,0.6359
A,1.0,5.0,BTC,288,0.6285
A,1.0,5.0,ETH,381,0.643
A,1.0,5.0,SOL,210,0.6333
A,2.0,0.0,ALL,4565,0.5864
A,2.0,0.0,BTC,1649,0.5894
A,2.0,0.0,ETH,1663,0.5821
A,2.0,0.0,SOL,1253,0.5882
A,2.0,0.5,ALL,4311,0.5878
A,2.0,0.5,BTC,1509,0.5905
A,2.0,0.5,ETH,1549,0.5849
A,2.0,0.5,SOL,1253,0.5882
A,2.0,1.0,ALL,3981,0.589
A,2.0,1.0,BTC,1325,0.5977
A,2.0,1.0,ETH,1403,0.5816
A,2.0,1.0,SOL,1253,0.5882
A,2.0,2.0,ALL,3201,0.6017
A,2.0,2.0,BTC,1014,0.6105
A,2.0,2.0,ETH,1118,0.5912
A,2.0,2.0,SOL,1069,0.6043
A,2.0,5.0,ALL,1419,0.6265
A,2.0,5.0,BTC,390,0.6282
A,2.0,5.0,ETH,516,0.6279
A,2.0,5.0,SOL,513,0.6238
A,5.0,0.0,ALL,4909,0.5883
A,5.0,0.0,BTC,1666,0.5918
A,5.0,0.0,ETH,1709,0.5799
A,5.0,0.0,SOL,1534,0.5939
A,5.0,0.5,ALL,4651,0.5898
A,5.0,0.5,BTC,1524,0.5932
A,5.0,0.5,ETH,1593,0.5825
A,5.0,0.5,SOL,1534,0.5939
A,5.0,1.0,ALL,4316,0.5908
A,5.0,1.0,BTC,1338,0.6001
A,5.0,1.0,ETH,1444,0.5789
A,5.0,1.0,SOL,1534,0.5939
A,5.0,2.0,ALL,3502,0.6028
A,5.0,2.0,BTC,1027,0.6134
A,5.0,2.0,ETH,1154,0.5893
A,5.0,2.0,SOL,1321,0.6064
A,5.0,5.0,ALL,1601,0.6284
A,5.0,5.0,BTC,398,0.6307
A,5.0,5.0,ETH,539,0.6234
A,5.0,5.0,SOL,664,0.631
B,0.5,0.0,ALL,467,0.4604
B,0.5,0.0,BTC,168,0.506
B,0.5,0.0,ETH,144,0.4792
B,0.5,0.0,SOL,155,0.3935
B,0.5,0.5,ALL,306,0.4183
B,0.5,0.5,BTC,75,0.4267
B,0.5,0.5,ETH,76,0.4605
B,0.5,0.5,SOL,155,0.3935
B,0.5,1.0,ALL,243,0.4156
B,0.5,1.0,SOL,155,0.3935
B,0.5,2.0,ALL,87,0.4483
B,0.5,2.0,SOL,50,0.46
B,0.5,5.0,ALL,17,0.4706
C,0.5,0.0,ALL,5832,0.5792
C,0.5,0.0,BTC,2000,0.5815
C,0.5,0.0,ETH,1999,0.5728
C,0.5,0.0,SOL,1833,0.5837
C,0.5,0.5,ALL,5396,0.5834
C,0.5,0.5,BTC,1772,0.592
C,0.5,0.5,ETH,1791,0.5745
C,0.5,0.5,SOL,1833,0.5837
C,0.5,1.0,ALL,4977,0.5857
C,0.5,1.0,BTC,1534,0.5958
C,0.5,1.0,ETH,1610,0.5783
C,0.5,1.0,SOL,1833,0.5837
C,0.5,2.0,ALL,3944,0.6007
C,0.5,2.0,BTC,1163,0.6113
C,0.5,2.0,ETH,1283,0.5877
C,0.5,2.0,SOL,1498,0.6035
C,0.5,5.0,ALL,1781,0.6261
C,0.5,5.0,BTC,452,0.6438
C,0.5,5.0,ETH,606,0.6287
C,0.5,5.0,SOL,723,0.6127
