variant,eps_bp,thr_bp,asset,n,hit
A,0.5,0.0,ALL,2561,0.5209
A,0.5,0.0,BTC,973,0.5242
A,0.5,0.0,ETH,932,0.5279
A,0.5,0.0,SOL,656,0.5061
A,0.5,0.5,ALL,2415,0.5205
A,0.5,0.5,BTC,893,0.5218
A,0.5,0.5,ETH,866,0.53
A,0.5,0.5,SOL,656,0.5061
A,0.5,1.0,ALL,2238,0.521
A,0.5,1.0,BTC,805,0.5205
A,0.5,1.0,ETH,777,0.5341
A,0.5,1.0,SOL,656,0.5061
A,0.5,2.0,ALL,1783,0.5154
A,0.5,2.0,BTC,631,0.5198
A,0.5,2.0,ETH,618,0.5243
A,0.5,2.0,SOL,534,0.5
A,0.5,5.0,ALL,835,0.4862
A,0.5,5.0,BTC,248,0.5081
A,0.5,5.0,ETH,310,0.4968
A,0.5,5.0,SOL,277,0.4549
A,1.0,0.0,ALL,3873,0.5068
A,1.0,0.0,BTC,1624,0.5074
A,1.0,0.0,ETH,1593,0.5066
A,1.0,0.0,SOL,656,0.5061
A,1.0,0.5,ALL,3658,0.5068
A,1.0,0.5,BTC,1503,0.5063
A,1.0,0.5,ETH,1499,0.5077
A,1.0,0.5,SOL,656,0.5061
A,1.0,1.0,ALL,3380,0.5074
A,1.0,1.0,BTC,1354,0.5037
A,1.0,1.0,ETH,1370,0.5117
A,1.0,1.0,SOL,656,0.5061
A,1.0,2.0,ALL,2705,0.5006
A,1.0,2.0,BTC,1059,0.4986
A,1.0,2.0,ETH,1112,0.5027
A,1.0,2.0,SOL,534,0.5
A,1.0,5.0,ALL,1276,0.4741
A,1.0,5.0,BTC,431,0.4942
A,1.0,5.0,ETH,568,0.4683
A,1.0,5.0,SOL,277,0.4549
A,2.0,0.0,ALL,5621,0.4985
A,2.0,0.0,BTC,2049,0.5051
A,2.0,0.0,ETH,2040,0.498
A,2.0,0.0,SOL,1532,0.4902
A,2.0,0.5,ALL,5364,0.4974
A,2.0,0.5,BTC,1901,0.5029
A,2.0,0.5,ETH,1931,0.4977
A,2.0,0.5,SOL,1532,0.4902
A,2.0,1.0,ALL,5043,0.4975
A,2.0,1.0,BTC,1728,0.5017
A,2.0,1.0,ETH,1783,0.4997
A,2.0,1.0,SOL,1532,0.4902
A,2.0,2.0,ALL,4132,0.4879
A,2.0,2.0,BTC,1352,0.4956
A,2.0,2.0,ETH,1455,0.49
A,2.0,2.0,SOL,1325,0.4777
A,2.0,5.0,ALL,2025,0.4706
A,2.0,5.0,BTC,576,0.4913
A,2.0,5.0,ETH,746,0.4625
A,2.0,5.0,SOL,703,0.4623
A,5.0,0.0,ALL,6119,0.4973
A,5.0,0.0,BTC,2096,0.5043
A,5.0,0.0,ETH,2113,0.4974
A,5.0,0.0,SOL,1910,0.4895
A,5.0,0.5,ALL,5857,0.4963
A,5.0,0.5,BTC,1945,0.5028
A,5.0,0.5,ETH,2002,0.4965
A,5.0,0.5,SOL,1910,0.4895
A,5.0,1.0,ALL,5534,0.4964
A,5.0,1.0,BTC,1771,0.5014
A,5.0,1.0,ETH,1853,0.4987
A,5.0,1.0,SOL,1910,0.4895
A,5.0,2.0,ALL,4579,0.4866
A,5.0,2.0,BTC,1386,0.4928
A,5.0,2.0,ETH,1518,0.4888
A,5.0,2.0,SOL,1675,0.4794
A,5.0,5.0,ALL,2310,0.4706
A,5.0,5.0,BTC,592,0.4916
A,5.0,5.0,ETH,788,0.4619
A,5.0,5.0,SOL,930,0.4645
B,0.5,0.0,ALL,564,0.5337
B,0.5,0.0,BTC,184,0.5109
B,0.5,0.0,ETH,176,0.5625
B,0.5,0.0,SOL,204,0.5294
B,0.5,0.5,ALL,373,0.5255
B,0.5,0.5,BTC,76,0.4605
B,0.5,0.5,ETH,93,0.5699
B,0.5,0.5,SOL,204,0.5294
B,0.5,1.0,ALL,302,0.5132
B,0.5,1.0,ETH,51,0.5686
B,0.5,1.0,SOL,204,0.5294
B,0.5,2.0,ALL,139,0.5252
B,0.5,2.0,SOL,83,0.5422
B,0.5,5.0,ALL,48,0.4792
C,0.5,0.0,ALL,7167,0.5015
C,0.5,0.0,BTC,2457,0.5067
C,0.5,0.0,ETH,2450,0.5049
C,0.5,0.0,SOL,2260,0.492
C,0.5,0.5,ALL,6714,0.4984
C,0.5,0.5,BTC,2213,0.5043
C,0.5,0.5,ETH,2241,0.4989
C,0.5,0.5,SOL,2260,0.492
C,0.5,1.0,ALL,6277,0.4991
C,0.5,1.0,BTC,1970,0.5112
C,0.5,1.0,ETH,2047,0.4954
C,0.5,1.0,SOL,2260,0.492
C,0.5,2.0,ALL,5131,0.4962
C,0.5,2.0,BTC,1563,0.5022
C,0.5,2.0,ETH,1696,0.4959
C,0.5,2.0,SOL,1872,0.4915
C,0.5,5.0,ALL,2640,0.4773
C,0.5,5.0,BTC,705,0.4894
C,0.5,5.0,ETH,893,0.4636
C,0.5,5.0,SOL,1042,0.4808
