variant,thr_bp,asset,n,hit
basic,0.0,ALL,3670,0.564
basic,0.0,ETH,1835,0.5755
basic,0.0,SOL,1835,0.5526
basic,0.5,ALL,3200,0.5753
basic,0.5,ETH,1600,0.5856
basic,0.5,SOL,1600,0.565
basic,1.0,ALL,2756,0.5766
basic,1.0,ETH,1378,0.5849
basic,1.0,SOL,1378,0.5682
basic,2.0,ALL,2090,0.59
basic,2.0,ETH,1045,0.5971
basic,2.0,SOL,1045,0.5828
basic,5.0,ALL,804,0.6119
basic,5.0,ETH,402,0.6244
basic,5.0,SOL,402,0.5995
consensus,0.0,ALL,2841,0.5924
consensus,0.0,ETH,1514,0.5911
consensus,0.0,SOL,1327,0.5938
consensus,0.5,ALL,2614,0.5953
consensus,0.5,ETH,1384,0.5954
consensus,0.5,SOL,1230,0.5951
consensus,1.0,ALL,2341,0.5938
consensus,1.0,ETH,1236,0.593
consensus,1.0,SOL,1105,0.5946
consensus,2.0,ALL,1868,0.6071
consensus,2.0,ETH,976,0.6096
consensus,2.0,SOL,892,0.6043
consensus,5.0,ALL,768,0.625
consensus,5.0,ETH,391,0.6343
consensus,5.0,SOL,377,0.6154
