cell_id,sleeve_id,signal,hour_bucket,dow_group,asset,family,n_sel,n_fold_a,keep_fold_a,inv_fold_a,n_fold_b,keep_fold_b,inv_fold_b,n_fold_c,keep_fold_c,inv_fold_c,keep_sel,inv_sel,n_held,keep_held,inv_held,active_folds,action,folds_positive,selection_pnl,category
poly_mint_sell_btc_15m|nan|00-05|weekend,poly_mint_sell_btc_15m,,00-05,weekend,BTC,15m,1964,0,0.0,0.0,0,0.0,0.0,1964,347.74299990000003,0.0,347.74299990000003,0.0,0,0.0,0.0,1,KEEP,1,347.74299990000003,single-fold KEEP (provisional)
poly_mint_sell_btc_15m|nan|06-11|weekend,poly_mint_sell_btc_15m,,06-11,weekend,BTC,15m,810,0,0.0,0.0,0,0.0,0.0,810,132.16933534999998,0.0,132.16933534999998,0.0,1152,214.9225261,0.0,1,KEEP,1,132.16933534999998,single-fold KEEP (provisional)
poly_mint_sell_btc_15m|nan|12-17|weekend,poly_mint_sell_btc_15m,,12-17,weekend,BTC,15m,1236,0,0.0,0.0,0,0.0,0.0,1236,185.49891305,0.0,185.49891305,0.0,755,151.21268045,0.0,1,KEEP,1,185.49891305,single-fold KEEP (provisional)
poly_mint_sell_btc_15m|nan|18-23|weekend,poly_mint_sell_btc_15m,,18-23,weekend,BTC,15m,2021,0,0.0,0.0,0,0.0,0.0,2021,334.86080525,0.0,334.86080525,0.0,0,0.0,0.0,1,KEEP,1,334.86080525,single-fold KEEP (provisional)
poly_mint_sell_btc_5m|nan|00-05|weekend,poly_mint_sell_btc_5m,,00-05,weekend,BTC,5m,1954,0,0.0,0.0,0,0.0,0.0,1954,517.36653505,0.0,517.36653505,0.0,0,0.0,0.0,1,KEEP,1,517.36653505,single-fold KEEP (provisional)
poly_mint_sell_btc_5m|nan|06-11|weekend,poly_mint_sell_btc_5m,,06-11,weekend,BTC,5m,795,0,0.0,0.0,0,0.0,0.0,795,156.66278499999999,0.0,156.66278499999999,0.0,1170,265.35992,0.0,1,KEEP,1,156.66278499999999,single-fold KEEP (provisional)
poly_mint_sell_btc_5m|nan|12-17|weekend,poly_mint_sell_btc_5m,,12-17,weekend,BTC,5m,1185,0,0.0,0.0,0,0.0,0.0,1185,274.13238005000005,0.0,274.13238005000005,0.0,760,191.186715,0.0,1,KEEP,1,274.13238005000005,single-fold KEEP (provisional)
poly_mint_sell_btc_5m|nan|18-23|weekend,poly_mint_sell_btc_5m,,18-23,weekend,BTC,5m,2035,0,0.0,0.0,0,0.0,0.0,2035,519.031105,0.0,519.031105,0.0,0,0.0,0.0,1,KEEP,1,519.031105,single-fold KEEP (provisional)
poly_mint_sell_eth_15m|nan|00-05|weekend,poly_mint_sell_eth_15m,,00-05,weekend,ETH,15m,1703,0,0.0,0.0,0,0.0,0.0,1703,240.012449,0.0,240.012449,0.0,0,0.0,0.0,1,KEEP,1,240.012449,single-fold KEEP (provisional)
poly_mint_sell_eth_15m|nan|06-11|weekend,poly_mint_sell_eth_15m,,06-11,weekend,ETH,15m,727,0,0.0,0.0,0,0.0,0.0,727,112.152285,0.0,112.152285,0.0,1073,142.61947500000002,0.0,1,KEEP,1,112.152285,single-fold KEEP (provisional)
