cell_id,sleeve_id,signal,hour_bucket,dow_group,asset,n_sel,n_fold_a,keep_fold_a,inv_fold_a,n_fold_b,keep_fold_b,inv_fold_b,n_fold_c,keep_fold_c,inv_fold_c,keep_sel,inv_sel,n_held,keep_held,inv_held,active_folds,action_full,selection_pnl,action
poly_updown_btc_15m_sniper|DOWN|12-17|weekday,poly_updown_btc_15m_sniper,DOWN,12-17,weekday,BTC,32,6,-51.901098080000004,34.70146385440138,16,-60.70175416,-74.14583475616791,10,-112.48151399999999,228.79037058625718,-225.08436624,189.34599968449066,26,130.18908344,-187.32621082621085,2,SKIP,0.0,SKIP
poly_updown_btc_15m_sniper|UP|12-17|weekday,poly_updown_btc_15m_sniper,UP,12-17,weekday,BTC,33,1,-25.090192,23.46316108519537,12,107.1315676,-111.96949724713477,20,131.60796448000002,-226.19122076646858,213.64934008,-314.697556928408,11,205.23599432000003,-180.671568627451,2,KEEP,238.73953208,KEEP
poly_updown_btc_5m_sniper|DOWN|00-05|weekday,poly_updown_btc_5m_sniper,DOWN,00-05,weekday,BTC,52,2,-0.8812169999999995,-4.006185321241194,15,17.067286899999996,-3.389433369074002,35,-231.03927904000003,-92.39340256546404,-214.85320914000005,-99.78902125577926,24,27.525447239999988,-134.67742761593692,2,SKIP,0.0,SKIP
poly_updown_btc_5m_sniper|DOWN|12-17|weekday,poly_updown_btc_5m_sniper,DOWN,12-17,weekday,BTC,65,12,-49.950318159999995,27.39293635603726,23,-18.905643540000003,-69.1336043097394,30,-130.31517187999998,-86.66338002334584,-199.17113357999997,-128.40404797704792,55,-91.85725096000002,389.05431794176866,3,SKIP,0.0,SKIP
poly_updown_btc_5m_sniper|DOWN|18-23|weekday,poly_updown_btc_5m_sniper,DOWN,18-23,weekday,BTC,44,3,-75.0,67.09615384615384,6,44.74327384,-56.269230769230774,35,-55.12987344,-509.01678492716235,-85.38659959999998,-498.18986185023925,10,-54.690900000000006,34.341343710899565,1,SKIP,0.0,SKIP
poly_updown_btc_5m_sniper|UP|00-05|weekday,poly_updown_btc_5m_sniper,UP,00-05,weekday,BTC,49,2,-2.384622239999999,-1.9607843137254939,9,60.59862046000001,-83.44515353311138,38,10.427888680000017,-272.186274509804,68.6418869,-357.59221235664086,26,-86.21159112000001,-160.34313725490196,1,KEEP (single-fold),10.427888680000017,KEEP
poly_updown_btc_5m_sniper|UP|06-11|weekday,poly_updown_btc_5m_sniper,UP,06-11,weekday,BTC,30,3,21.154585679999997,-28.134615384615387,7,-0.6932705400000003,16.059992690893232,20,-220.33714896,-121.35998345570383,-199.87583381999997,-133.43460614942597,16,-132.40283748,88.97094181149205,1,SKIP,0.0,SKIP
poly_updown_btc_5m_sniper|UP|12-17|weekday,poly_updown_btc_5m_sniper,UP,12-17,weekday,BTC,65,3,-26.460772079999998,22.289215686274503,26,-75.26582944,23.56891076541895,36,94.94854656000004,-154.12615612282653,-6.7780549599999915,-108.2680296711331,38,-220.61062287999997,-26.4821534350024,2,SKIP,0.0,SKIP
poly_updown_eth_15m_sniper|DOWN|00-05|weekday,poly_updown_eth_15m_sniper,DOWN,00-05,weekday,ETH,32,3,24.633796,-28.748083079073215,5,-29.251004079999998,18.909846709142204,24,-18.1554,-129.9503451322248,-22.772608079999998,-139.78858150215586,16,-62.61399672,118.85563956372425,1,SKIP,0.0,SKIP
poly_updown_eth_5m_sniper|DOWN|00-05|weekday,poly_updown_eth_5m_sniper,DOWN,00-05,weekday,ETH,46,5,-23.16587028,16.079174443958355,10,21.23771526,-17.419749910897316,31,60.05631136000002,-456.2976707601116,58.12815634,-457.63824622705044,5,-77.09217616,65.5006050720825,2,KEEP,81.29402662000001,KEEP
