cell_id,sleeve_id,signal,hour_bucket,dow_group,asset,family,n_sel,pnl_keep_sel,pnl_invert_sel,win_keep_sel,n_fold_a,pnl_keep_fold_a,pnl_invert_fold_a,n_fold_b,pnl_keep_fold_b,pnl_invert_fold_b,n_fold_c,pnl_keep_fold_c,pnl_invert_fold_c,n_held,pnl_keep_held,pnl_invert_held,win_keep_held,windows,action,folds_positive,selection_pnl,n_active_folds,perm_p_sel,perm_observed_sel,held_pnl,passes_bonferroni,passes_5pct,passes_10pct
poly_updown_btc_15m_volume_INV_NIGHT|DOWN|00-05|weekday,poly_updown_btc_15m_volume_INV_NIGHT,DOWN,00-05,weekday,BTC,volume_INV_NIGHT,78,454.86881982,-578.01983869708,0.6282051282051282,15,20.472198880000008,-44.33771823713471,23,59.613467580000005,-98.36940020417165,40,374.78315336000003,-435.31272025577357,40,83.693446,-147.99014844977438,0.55,"{'selection': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'fold_a': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC')), 'fold_b': (Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC'), Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC')), 'fold_c': (Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'held_out': (Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC'), Timestamp('2026-05-19 22:45:39.383514+0000', tz='UTC'))}",KEEP,3,454.86881982000006,3,0.021,454.86881982,83.693446,False,True,True
poly_updown_btc_15m_volume_INV_NIGHT|DOWN|06-11|weekday,poly_updown_btc_15m_volume_INV_NIGHT,DOWN,06-11,weekday,BTC,volume_INV_NIGHT,48,-269.7307585,186.63217086977778,0.3958333333333333,10,-52.77298008000001,34.90000115078685,10,-9.920482340000003,-8.243468002395005,28,-207.03729607999998,159.97563772138597,12,-202.265992,177.3236074921905,0.16666666666666666,"{'selection': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'fold_a': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC')), 'fold_b': (Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC'), Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC')), 'fold_c': (Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'held_out': (Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC'), Timestamp('2026-05-19 22:45:39.383514+0000', tz='UTC'))}",INVERT,2,186.6321708697778,3,0.134,186.63217086977778,177.3236074921905,False,False,False
poly_updown_btc_15m_volume_INV_NIGHT|UP|00-05|weekend,poly_updown_btc_15m_volume_INV_NIGHT,UP,00-05,weekend,BTC,volume_INV_NIGHT,61,167.71719864,-281.558974394692,0.5737704918032787,19,55.325639640000006,-92.39809588714218,0,0.0,0.0,42,112.39155899999996,-189.1608785075499,0,0.0,0.0,0.0,"{'selection': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'fold_a': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC')), 'fold_b': (Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC'), Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC')), 'fold_c': (Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'held_out': (Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC'), Timestamp('2026-05-19 22:45:39.383514+0000', tz='UTC'))}",KEEP,2,167.71719863999996,2,0.2005,167.71719864,0.0,False,False,False
poly_updown_btc_15m_volume_INV_NIGHT|UP|06-11|weekday,poly_updown_btc_15m_volume_INV_NIGHT,UP,06-11,weekday,BTC,volume_INV_NIGHT,48,-628.41454552,547.675172662637,0.25,10,-107.36730624,92.06871304487628,18,-208.72384264,184.57989215070305,20,-312.32339663999994,271.0265674670577,27,-286.90678864000006,244.08360172985107,0.2962962962962963,"{'selection': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'fold_a': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC')), 'fold_b': (Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC'), Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC')), 'fold_c': (Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'held_out': (Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC'), Timestamp('2026-05-19 22:45:39.383514+0000', tz='UTC'))}",INVERT,3,547.675172662637,3,0.0005,547.675172662637,244.08360172985107,False,True,True
poly_updown_btc_5m_momo_HEDGE|DOWN|00-05|weekday,poly_updown_btc_5m_momo_HEDGE,DOWN,00-05,weekday,BTC,momo_HEDGE,51,8.835530519999988,-161.14010142129132,0.5294117647058824,7,22.499228,-35.69793169822766,11,5.0385722800000075,-87.06939921221098,33,-18.702269760000025,-38.37277051085266,22,-96.89076104,61.36954084601888,0.4090909090909091,"{'selection': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'fold_a': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC')), 'fold_b': (Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC'), Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC')), 'fold_c': (Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'held_out': (Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC'), Timestamp('2026-05-19 22:45:39.383514+0000', tz='UTC'))}",KEEP,2,8.835530519999981,3,0.4695,8.835530519999988,-96.89076104,False,False,False
poly_updown_btc_5m_momo_HOLD|DOWN|12-17|weekday,poly_updown_btc_5m_momo_HOLD,DOWN,12-17,weekday,BTC,momo_HOLD,54,116.30838692,-190.90948888261994,0.5370370370370371,11,-73.65146487999999,46.78583606889292,22,116.56244956,-134.20300160708075,21,73.39740224,-103.49232334443212,38,141.2295066,-160.16557863561198,0.5789473684210527,"{'selection': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'fold_a': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC')), 'fold_b': (Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC'), Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC')), 'fold_c': (Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'held_out': (Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC'), Timestamp('2026-05-19 22:45:39.383514+0000', tz='UTC'))}",KEEP,2,116.30838692000002,3,0.2475,116.30838692,141.2295066,False,False,False
poly_updown_btc_5m_momo_SELL|DOWN|12-17|weekday,poly_updown_btc_5m_momo_SELL,DOWN,12-17,weekday,BTC,momo_SELL,59,-30.21237271999999,145.03424331111216,0.4067796610169492,10,-48.65146888,25.309420974553305,22,94.70828464000002,-87.47658651274114,27,-76.26918848,207.20140884930004,46,118.97954324,-178.6840971541305,0.5652173913043478,"{'selection': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'fold_a': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC')), 'fold_b': (Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC'), Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC')), 'fold_c': (Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'held_out': (Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC'), Timestamp('2026-05-19 22:45:39.383514+0000', tz='UTC'))}",INVERT,2,145.03424331111222,3,0.2165,145.03424331111216,-178.6840971541305,False,False,False
poly_updown_btc_5m_momo_v2_HEDGE|UP|12-17|weekday,poly_updown_btc_5m_momo_v2_HEDGE,UP,12-17,weekday,BTC,momo_v2_HEDGE,91,275.70541544,-568.9146565945974,0.6043956043956044,10,38.38395204000001,-60.88283179404334,12,-67.26100156,41.99046840958606,69,304.58246496000004,-550.0222932101401,31,-127.42402439999996,57.14460784313721,0.45161290322580644,"{'selection': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'fold_a': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC')), 'fold_b': (Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC'), Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC')), 'fold_c': (Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'held_out': (Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC'), Timestamp('2026-05-19 22:45:39.383514+0000', tz='UTC'))}",KEEP,2,275.70541544,3,0.1085,275.70541544,-127.42402439999996,False,False,False
poly_updown_btc_5m_momo_v2_HOLD|DOWN|12-17|weekday,poly_updown_btc_5m_momo_v2_HOLD,DOWN,12-17,weekday,BTC,momo_v2_HOLD,46,-194.45035218000004,107.93105363960166,0.41304347826086957,12,-49.45834239999999,27.64078374455731,20,109.79438270000001,-132.42916710069798,14,-254.78639248000005,212.71943699574229,29,59.991454319999946,-129.51542865491535,0.5517241379310345,"{'selection': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'fold_a': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC')), 'fold_b': (Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC'), Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC')), 'fold_c': (Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'held_out': (Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC'), Timestamp('2026-05-19 22:45:39.383514+0000', tz='UTC'))}",INVERT,2,107.93105363960161,3,0.2335,107.93105363960166,-129.51542865491535,False,False,False
poly_updown_btc_5m_momo_v2_HOLD|UP|12-17|weekday,poly_updown_btc_5m_momo_v2_HOLD,UP,12-17,weekday,BTC,momo_v2_HOLD,84,454.61683388000006,-590.1646565945975,0.6190476190476191,11,61.92316396000001,-86.13283179404334,12,-57.11949455999999,41.99046840958606,61,449.81316448000007,-546.0222932101401,19,-89.95006887999999,64.98774509803921,0.42105263157894735,"{'selection': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'fold_a': (Timestamp('2026-05-06 23:06:00.702382+0000', tz='UTC'), Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC')), 'fold_b': (Timestamp('2026-05-10 10:12:35.017350533+0000', tz='UTC'), Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC')), 'fold_c': (Timestamp('2026-05-13 21:19:09.332319066+0000', tz='UTC'), Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC')), 'held_out': (Timestamp('2026-05-17 08:25:43.647287600+0000', tz='UTC'), Timestamp('2026-05-19 22:45:39.383514+0000', tz='UTC'))}",KEEP,2,454.61683388000006,3,0.0195,454.61683388000006,-89.95006887999999,False,True,True
