cell_id,sleeve_id,signal,hour_bucket,dow_group,asset,family,n_full,pnl_keep_full,pnl_invert_full,win_keep_full,win_invert_full,n_train,pnl_keep_train,pnl_invert_train,win_keep_train,win_invert_train,n_val,pnl_keep_val,pnl_invert_val,win_keep_val,win_invert_val,n_held,pnl_keep_held,pnl_invert_held,win_keep_held,win_invert_held,n_last_7d,pnl_keep_last_7d,pnl_invert_last_7d,win_keep_last_7d,win_invert_last_7d,n_last_3d,pnl_keep_last_3d,pnl_invert_last_3d,win_keep_last_3d,win_invert_last_3d,action,window_score,full_pnl_action
poly_mint_sell_btc_15m|nan|00-05|weekend,poly_mint_sell_btc_15m,,00-05,weekend,BTC,15m,1964,347.74299990000003,0.0,0.4363543788187373,0.5636456211812627,0,0.0,0.0,0.0,0.0,1964,347.74299990000003,0.0,0.4363543788187373,0.5636456211812627,0,0.0,0.0,0.0,0.0,1964,347.74299990000003,0.0,0.4363543788187373,0.5636456211812627,1964,347.74299990000003,0.0,0.4363543788187373,0.5636456211812627,SKIP,0,0.0
poly_mint_sell_btc_15m|nan|06-11|weekend,poly_mint_sell_btc_15m,,06-11,weekend,BTC,15m,1962,347.09186145,0.0,0.43119266055045874,0.5688073394495413,0,0.0,0.0,0.0,0.0,810,132.16933534999998,0.0,0.41358024691358025,0.5864197530864198,1152,214.9225261,0.0,0.4435763888888889,0.5564236111111112,1962,347.09186145,0.0,0.43119266055045874,0.5688073394495413,1962,347.09186145,0.0,0.43119266055045874,0.5688073394495413,KEEP,4,347.09186145
poly_mint_sell_btc_15m|nan|12-17|weekend,poly_mint_sell_btc_15m,,12-17,weekend,BTC,15m,1991,336.71159350000005,0.0,0.4193872425916625,0.5806127574083375,0,0.0,0.0,0.0,0.0,1236,185.49891305,0.0,0.37459546925566345,0.6254045307443366,755,151.21268045,0.0,0.49271523178807947,0.5072847682119205,1991,336.71159350000005,0.0,0.4193872425916625,0.5806127574083375,755,151.21268045,0.0,0.49271523178807947,0.5072847682119205,KEEP,4,336.71159350000005
poly_mint_sell_btc_15m|nan|18-23|weekend,poly_mint_sell_btc_15m,,18-23,weekend,BTC,15m,2021,334.86080525,0.0,0.4111825828797625,0.5888174171202375,0,0.0,0.0,0.0,0.0,2021,334.86080525,0.0,0.4111825828797625,0.5888174171202375,0,0.0,0.0,0.0,0.0,2021,334.86080525,0.0,0.4111825828797625,0.5888174171202375,421,53.76576125,0.0,0.32779097387173395,0.672209026128266,SKIP,0,0.0
poly_mint_sell_btc_5m|nan|00-05|weekend,poly_mint_sell_btc_5m,,00-05,weekend,BTC,5m,1954,517.36653505,0.0,0.6397134083930399,0.3602865916069601,0,0.0,0.0,0.0,0.0,1954,517.36653505,0.0,0.6397134083930399,0.3602865916069601,0,0.0,0.0,0.0,0.0,1954,517.36653505,0.0,0.6397134083930399,0.3602865916069601,1954,517.36653505,0.0,0.6397134083930399,0.3602865916069601,SKIP,0,0.0
poly_mint_sell_btc_5m|nan|06-11|weekend,poly_mint_sell_btc_5m,,06-11,weekend,BTC,5m,1965,422.022705,0.0,0.5231552162849873,0.4768447837150127,0,0.0,0.0,0.0,0.0,795,156.66278499999999,0.0,0.4918238993710692,0.5081761006289308,1170,265.35992,0.0,0.5444444444444444,0.45555555555555555,1965,422.022705,0.0,0.5231552162849873,0.4768447837150127,1965,422.022705,0.0,0.5231552162849873,0.4768447837150127,KEEP,4,422.022705
poly_mint_sell_btc_5m|nan|12-17|weekend,poly_mint_sell_btc_5m,,12-17,weekend,BTC,5m,1945,465.31909505,0.0,0.5850899742930591,0.41491002570694085,0,0.0,0.0,0.0,0.0,1185,274.13238005000005,0.0,0.5637130801687764,0.43628691983122364,760,191.186715,0.0,0.618421052631579,0.3815789473684211,1945,465.31909505,0.0,0.5850899742930591,0.41491002570694085,760,191.186715,0.0,0.618421052631579,0.3815789473684211,KEEP,4,465.31909505
poly_mint_sell_btc_5m|nan|18-23|weekend,poly_mint_sell_btc_5m,,18-23,weekend,BTC,5m,2035,519.031105,0.0,0.6186732186732187,0.38132678132678133,0,0.0,0.0,0.0,0.0,2035,519.031105,0.0,0.6186732186732187,0.38132678132678133,0,0.0,0.0,0.0,0.0,2035,519.031105,0.0,0.6186732186732187,0.38132678132678133,421,104.613425,0.0,0.6080760095011877,0.3919239904988123,SKIP,0,0.0
poly_mint_sell_eth_15m|nan|00-05|weekend,poly_mint_sell_eth_15m,,00-05,weekend,ETH,15m,1703,240.012449,0.0,0.32061068702290074,0.6793893129770993,0,0.0,0.0,0.0,0.0,1703,240.012449,0.0,0.32061068702290074,0.6793893129770993,0,0.0,0.0,0.0,0.0,1703,240.012449,0.0,0.32061068702290074,0.6793893129770993,1703,240.012449,0.0,0.32061068702290074,0.6793893129770993,SKIP,0,0.0
poly_mint_sell_eth_15m|nan|06-11|weekend,poly_mint_sell_eth_15m,,06-11,weekend,ETH,15m,1800,254.77176,0.0,0.3283333333333333,0.6716666666666666,0,0.0,0.0,0.0,0.0,727,112.152285,0.0,0.35488308115543327,0.6451169188445667,1073,142.61947500000002,0.0,0.3103448275862069,0.6896551724137931,1800,254.77176,0.0,0.3283333333333333,0.6716666666666666,1800,254.77176,0.0,0.3283333333333333,0.6716666666666666,KEEP,4,254.77176
