sleeve_id,n_train,n_held,train_pnl,held_pnl,train_perm_p
poly_updown_btc_15m_momo_HEDGE,51.0,21.0,362.00684837999995,16.65685560000001,0.009
poly_updown_btc_15m_momo_HOLD,47.0,21.0,522.08002342,16.65685560000001,0.003
poly_updown_btc_15m_momo_SELL,49.0,21.0,399.4221906199999,16.65685560000001,0.007
poly_updown_btc_15m_momo_v2_HEDGE,76.0,31.0,87.81524688000002,328.87313024,0.304
poly_updown_btc_15m_momo_v2_HOLD,68.0,27.0,173.67055546,464.98576640000005,0.187
poly_updown_btc_15m_momo_v2_SELL,69.0,29.0,170.51938552000001,336.97516664,0.168
poly_updown_btc_15m_sniper,271.0,130.0,243.15831246,248.33083312000008,0.216
poly_updown_btc_15m_volume_INV_NIGHT,420.0,133.0,-291.01172169999984,-405.18287168,0.716
poly_updown_btc_5m_momo_HEDGE,367.0,177.0,-578.1531085,-611.1392049799999,0.908
poly_updown_btc_5m_momo_HOLD,359.0,165.0,-387.68265177999984,-517.7691775000001,0.776
poly_updown_btc_5m_momo_SELL,366.0,185.0,-540.3440546200002,-559.2910076200001,0.888
poly_updown_btc_5m_momo_v2_HEDGE,347.0,172.0,-495.7682806999998,-13.130407560000037,0.869
poly_updown_btc_5m_momo_v2_HOLD,331.0,140.0,-315.1911294799999,157.30624932000006,0.785
poly_updown_btc_5m_momo_v2_SELL,365.0,176.0,-388.22657225999995,-55.676872040000006,0.833
poly_updown_btc_5m_sniper,429.0,218.0,-908.1542091,-566.27633886,1.0
poly_updown_btc_5m_v3,163.0,76.0,-63.38219803999989,-255.29788113999993,0.612
poly_updown_btc_5m_v3_1,151.0,58.0,-111.1212149199999,-169.41750027999996,0.692
poly_updown_btc_5m_v3_2,111.0,47.0,-128.67394421999995,-182.71619951999995,0.739
poly_updown_btc_5m_v3_3,111.0,47.0,-131.03243421999997,-182.71619951999995,0.741
poly_updown_btc_5m_v4,110.0,45.0,-120.6382084399999,-178.97701727999998,0.761
poly_updown_btc_5m_volume_INV_NIGHT,1250.0,396.0,-814.6084008999997,-406.33707686,0.838
poly_updown_eth_15m_momo_HEDGE,55.0,11.0,-479.85932882000003,72.89199199999999,1.0
poly_updown_eth_15m_momo_HOLD,51.0,11.0,-388.96805882,72.89199199999999,0.988
