slug,fire_us,slot_start_us,outcome,vwap_down,shares,won_down,pnl_down,book_lag_s,ts,date
btc-updown-15m-1777010400,1777009620000000,1777010400000000,Down,0.5,50.0,1,24.5,27.32,2026-04-24 05:47:00+00:00,2026-04-24
btc-updown-15m-1777011300,1777010520000000,1777011300000000,Down,0.5010472864538494,49.89549025788947,1,24.39758045273168,84.871,2026-04-24 06:02:00+00:00,2026-04-24
btc-updown-15m-1777012200,1777011420000000,1777012200000000,Down,0.5,50.0,1,24.5,103.841,2026-04-24 06:17:00+00:00,2026-04-24
btc-updown-15m-1777013100,1777012320000000,1777013100000000,Down,0.49800797001967095,50.19999980926514,1,24.695999813079837,101.785,2026-04-24 06:32:00+00:00,2026-04-24
btc-updown-15m-1777014000,1777013220000000,1777014000000000,Down,0.5,50.0,1,24.5,78.712,2026-04-24 06:47:00+00:00,2026-04-24
btc-updown-15m-1777014900,1777014120000000,1777014900000000,Down,0.49480651106839896,50.524799978923795,1,25.014303979345314,102.62,2026-04-24 07:02:00+00:00,2026-04-24
btc-updown-15m-1777015800,1777015020000000,1777015800000000,Down,0.49507303345621534,50.49759997119904,1,24.987647971775058,101.626,2026-04-24 07:17:00+00:00,2026-04-24
btc-updown-15m-1777016700,1777015920000000,1777016700000000,Up,0.5,50.0,0,-25.0,103.544,2026-04-24 07:32:00+00:00,2026-04-24
btc-updown-15m-1777017600,1777016820000000,1777017600000000,Up,0.48228345856174937,51.836735339325585,0,-25.0,40.814,2026-04-24 07:47:00+00:00,2026-04-24
btc-updown-15m-1777019400,1777018620000000,1777019400000000,Down,0.5299999713897705,47.1698138670551,1,21.726417589713993,2.817,2026-04-24 08:17:00+00:00,2026-04-24
btc-updown-15m-1777020300,1777019520000000,1777020300000000,Up,0.5099999904632568,49.01960875977925,0,-25.0,50.807,2026-04-24 08:32:00+00:00,2026-04-24
btc-updown-15m-1777021200,1777020420000000,1777021200000000,Down,0.5099999904632568,49.01960875977925,1,23.539216584583667,10.293,2026-04-24 08:47:00+00:00,2026-04-24
btc-updown-15m-1777022100,1777021320000000,1777022100000000,Down,0.5,50.0,1,24.5,41.102,2026-04-24 09:02:00+00:00,2026-04-24
btc-updown-15m-1777023000,1777022220000000,1777023000000000,Up,0.5099999904632568,49.01960875977925,0,-25.0,103.865,2026-04-24 09:17:00+00:00,2026-04-24
btc-updown-15m-1777023900,1777023120000000,1777023900000000,Down,0.4855504165319404,51.48795912598183,1,25.958199943462194,85.153,2026-04-24 09:32:00+00:00,2026-04-24
btc-updown-15m-1777025700,1777024920000000,1777025700000000,Up,0.49000000953674316,51.02040717026833,0,-25.0,35.724,2026-04-24 10:02:00+00:00,2026-04-24
btc-updown-15m-1777026600,1777025820000000,1777026600000000,Down,0.5,50.0,1,24.5,90.799,2026-04-24 10:17:00+00:00,2026-04-24
btc-updown-15m-1777027500,1777026720000000,1777027500000000,Up,0.5,50.0,0,-25.0,8.858,2026-04-24 10:32:00+00:00,2026-04-24
btc-updown-15m-1777028400,1777027620000000,1777028400000000,Up,0.5,50.0,0,-25.0,26.478,2026-04-24 10:47:00+00:00,2026-04-24
btc-updown-15m-1777029300,1777028520000000,1777029300000000,Up,0.5299999713897705,47.1698138670551,0,-25.000000000000004,27.623,2026-04-24 11:02:00+00:00,2026-04-24
btc-updown-15m-1777030200,1777029420000000,1777030200000000,Down,0.5299999713897705,47.1698138670551,1,21.726417589713993,97.558,2026-04-24 11:17:00+00:00,2026-04-24
btc-updown-15m-1777031100,1777030320000000,1777031100000000,Down,0.5299999713897705,47.1698138670551,1,21.726417589713993,44.519,2026-04-24 11:32:00+00:00,2026-04-24
btc-updown-15m-1777269600,1777268820000000,1777269600000000,Down,0.4699999988079071,53.19148949661531,1,27.627659706683005,47.988,2026-04-27 05:47:00+00:00,2026-04-27
btc-updown-15m-1777270500,1777269720000000,1777270500000000,Down,0.47999998927116394,52.083334497486575,1,26.541667807536843,4.635,2026-04-27 06:02:00+00:00,2026-04-27
btc-updown-15m-1777271400,1777270620000000,1777271400000000,Down,0.4699999988079071,53.19148949661531,1,27.627659706683005,51.155,2026-04-27 06:17:00+00:00,2026-04-27
btc-updown-15m-1777272300,1777271520000000,1777272300000000,Up,0.46440118359136023,53.832765469431294,0,-25.0,13.432,2026-04-27 06:32:00+00:00,2026-04-27
btc-updown-15m-1777273200,1777272420000000,1777273200000000,Down,0.47999998927116394,52.083334497486575,1,26.541667807536843,51.151,2026-04-27 06:47:00+00:00,2026-04-27
btc-updown-15m-1777274100,1777273320000000,1777274100000000,Up,0.5,50.0,0,-25.0,96.672,2026-04-27 07:02:00+00:00,2026-04-27
btc-updown-15m-1777275000,1777274220000000,1777275000000000,Down,0.4845555325103562,51.59367363010283,1,26.06180015750077,33.237,2026-04-27 07:17:00+00:00,2026-04-27
btc-updown-15m-1777276800,1777276020000000,1777276800000000,Up,0.4946577019141446,50.53999948501587,0,-25.0,24.788,2026-04-27 07:47:00+00:00,2026-04-27
btc-updown-15m-1777277700,1777276920000000,1777277700000000,Down,0.47999998927116394,52.083334497486575,1,26.541667807536843,51.251,2026-04-27 08:02:00+00:00,2026-04-27
btc-updown-15m-1777278600,1777277820000000,1777278600000000,Up,0.5,50.0,0,-25.0,98.982,2026-04-27 08:17:00+00:00,2026-04-27
btc-updown-15m-1777279500,1777278720000000,1777279500000000,Up,0.49000000953674316,51.02040717026833,0,-25.0,98.053,2026-04-27 08:32:00+00:00,2026-04-27
btc-updown-15m-1777280400,1777279620000000,1777280400000000,Up,0.5,50.0,0,-25.0,47.352,2026-04-27 08:47:00+00:00,2026-04-27
btc-updown-15m-1777281300,1777280520000000,1777281300000000,Down,0.5199999809265137,48.07692484037417,1,22.615386343566684,102.738,2026-04-27 09:02:00+00:00,2026-04-27
btc-updown-15m-1777282200,1777281420000000,1777282200000000,Up,0.5199999809265137,48.07692484037417,0,-25.0,84.508,2026-04-27 09:17:00+00:00,2026-04-27
