sym,yr,abs_mean_pct,signed_mean_pct,std_pct,n
BTC,2024,0.01081,0.0105,0.01233,2126
BTC,2025,0.00546,0.00485,0.00443,2190
BTC,2026,0.00345,0.00115,0.00233,685
ETH,2024,0.01057,0.00983,0.01022,2126
ETH,2025,0.00511,0.00389,0.00434,2190
ETH,2026,0.00361,0.00141,0.00241,685
SOL,2024,0.01338,0.01238,0.0155,2126
SOL,2025,0.00575,0.00242,0.0093,2190
SOL,2026,0.00556,-0.00283,0.00543,685
AVAX,2024,0.01246,0.00826,0.01624,2126
AVAX,2025,0.00643,0.00259,0.00624,2190
AVAX,2026,0.00459,0.00195,0.00269,685
LINK,2024,0.01258,0.01208,0.01527,2126
LINK,2025,0.00573,0.00542,0.00579,2190
LINK,2026,0.00423,0.00395,0.00143,685
