sleeve,sharpe,cagr,mdd,calmar,end_eq,fires,sh_2024,sh_2025,sh_2026
CCI_BTC_baseline,-0.314,-0.0857,-0.4969,-0.173,8150.49,81,0.55,-0.862,-1.492
CCI_BTC_V41,-1.088,-0.227,-0.5365,-0.423,5557.99,81,-1.338,-0.76,-2.469
STF_BTC_baseline,0.233,0.0273,-0.301,0.091,10632.64,60,-0.995,0.909,0.883
STF_BTC_V45,0.999,0.2444,-0.2844,0.859,16469.48,44,-0.592,0.866,3.606
DONCH_BTC_20,-0.52,-0.245,-0.6508,-0.377,5265.94,464,-0.146,-1.081,0.236
DONCH_BTC_55,-0.392,-0.1656,-0.5231,-0.317,6615.56,265,-0.367,-0.423,-0.363
DONCH_BTC_20_EMA200,-0.346,-0.1772,-0.5681,-0.312,6408.52,364,-0.136,-0.629,-0.013
DONCH_BTC_55_EMA200,-0.426,-0.1735,-0.5332,-0.325,6474.19,257,-0.531,-0.349,-0.371
DONCH_BTC_20_EMA200_V41,0.708,0.2344,-0.3057,0.767,16169.52,364,1.039,0.036,1.915
DONCH_BTC_20_LONGONLY,0.07,-0.0163,-0.3921,-0.042,9632.64,210,-0.054,0.272,-0.185
