sleeve,gate,sharpe,cagr,mdd,calmar,sh_2024,sh_2025,sh_2026
CCI_ETH,BASELINE,1.32,0.2684,-0.2141,1.254,1.825,1.091,0.42
CCI_ETH,ATR_LOWMID,1.434,0.2806,-0.1876,1.496,2.055,1.168,0.254
CCI_ETH,ATR_NOTOPVOL,1.472,0.2938,-0.1876,1.566,2.055,1.22,0.42
CCI_ETH,FUND_Z<2,1.411,0.289,-0.1847,1.565,2.032,1.091,0.42
CCI_ETH,BTC_EMA200_GATE,0.518,0.0647,-0.2187,0.296,1.397,-0.364,-0.492
STF_SOL,BASELINE,0.987,0.2397,-0.2096,1.144,0.423,2.123,-0.717
STF_SOL,ATR_LOWMID,0.781,0.1625,-0.201,0.809,0.183,1.932,-0.717
STF_SOL,ATR_NOTOPVOL,0.829,0.1771,-0.2263,0.782,0.044,2.174,-0.717
STF_SOL,FUND_Z<2,1.148,0.2833,-0.2096,1.352,0.752,2.123,-0.717
STF_SOL,BTC_EMA200_GATE,1.183,0.2925,-0.2096,1.395,0.666,2.047,0.178
STF_AVAX,BASELINE,2.105,0.6473,-0.1629,3.973,2.426,2.365,0.422
STF_AVAX,ATR_LOWMID,2.026,0.5713,-0.1279,4.466,1.597,2.772,0.422
STF_AVAX,ATR_NOTOPVOL,1.882,0.5274,-0.1629,3.237,1.597,2.498,0.422
STF_AVAX,FUND_Z<2,2.3,0.7181,-0.1279,5.614,2.595,2.628,0.422
STF_AVAX,BTC_EMA200_GATE,1.389,0.2756,-0.212,1.3,1.709,1.403,0.768
LATBB_AVAX,BASELINE,1.519,0.3018,-0.1472,2.051,2.372,1.165,0.148
LATBB_AVAX,ATR_LOWMID,1.38,0.2344,-0.1436,1.633,1.927,1.388,0.148
LATBB_AVAX,ATR_NOTOPVOL,1.251,0.2265,-0.1472,1.539,1.808,1.165,0.148
LATBB_AVAX,FUND_Z<2,1.59,0.3116,-0.1472,2.118,2.603,1.165,0.148
LATBB_AVAX,BTC_EMA200_GATE,0.482,0.0564,-0.2064,0.273,1.415,0.042,-1.393
MFI_SOL,BASELINE,0.627,0.1824,-0.3826,0.477,1.242,0.344,-0.236
MFI_SOL,ATR_LOWMID,1.238,0.4647,-0.3207,1.449,2.613,0.44,-0.083
MFI_SOL,ATR_NOTOPVOL,1.12,0.416,-0.3803,1.094,2.121,0.619,-0.083
MFI_SOL,FUND_Z<2,0.83,0.2718,-0.4209,0.646,1.589,0.356,0.224
MFI_SOL,BTC_EMA200_GATE,-0.629,-0.1766,-0.4602,-0.384,-1.044,-0.798,1.016
VP_LINK,BASELINE,1.346,0.5213,-0.2815,1.852,1.561,1.614,-0.272
VP_LINK,ATR_LOWMID,1.534,0.5767,-0.3049,1.891,1.969,1.987,-1.128
VP_LINK,ATR_NOTOPVOL,1.634,0.6497,-0.305,2.13,2.053,2.107,-1.12
VP_LINK,FUND_Z<2,1.239,0.4503,-0.2284,1.972,1.315,1.529,0.025
VP_LINK,BTC_EMA200_GATE,0.347,0.0586,-0.1976,0.296,0.051,1.077,-1.159
SVD_AVAX,BASELINE,0.381,0.0692,-0.3003,0.23,0.453,-0.321,2.072
SVD_AVAX,ATR_LOWMID,0.606,0.1285,-0.3193,0.402,1.136,-0.469,2.072
SVD_AVAX,ATR_NOTOPVOL,0.538,0.1136,-0.2834,0.401,0.736,-0.222,2.072
SVD_AVAX,FUND_Z<2,0.407,0.0755,-0.2973,0.254,0.446,-0.246,2.072
SVD_AVAX,BTC_EMA200_GATE,-0.631,-0.1221,-0.3655,-0.334,-0.516,-0.579,-1.291
MFI_ETH,BASELINE,0.272,0.0365,-0.2724,0.134,0.401,0.236,0.042
MFI_ETH,ATR_LOWMID,0.625,0.1482,-0.3193,0.464,1.747,-0.456,0.975
MFI_ETH,ATR_NOTOPVOL,0.683,0.1729,-0.3196,0.541,1.088,0.261,0.975
MFI_ETH,FUND_Z<2,0.546,0.1298,-0.3437,0.378,1.029,0.099,0.683
MFI_ETH,BTC_EMA200_GATE,0.212,0.0228,-0.3047,0.075,0.583,-0.498,1.363
