strategy_id,asset,tf,hypothesis,subtest,liq_side,threshold_usd,hold_min,direction_mode,n_trades,win_rate,dollar_per_trade,total_pnl_usd,sharpe,max_dd,p_value,permutation_p,bootstrap_ci_lo,wf_mean,wf_pos_frac,gate_pass,notes
BTC_1m_liq_long_100k_5m_continuation,BTC,1m,N1,threshold_horizon,LONG,100000.0,5,continuation,8,0.375,-0.8193,-6.55,-3.172,-12.24,0.72656,,,,0.0,NONE,liq_long_>=$100k_5m_continuation
BTC_1m_liq_long_100k_5m_reversion,BTC,1m,N1,threshold_horizon,LONG,100000.0,5,reversion,8,0.5,0.2193,1.75,0.849,-10.48,1.0,,,,0.0,G2,liq_long_>=$100k_5m_reversion
BTC_1m_liq_long_100k_15m_continuation,BTC,1m,N1,threshold_horizon,LONG,100000.0,15,continuation,8,0.25,-2.2054,-17.64,-8.209,-22.46,0.28906,,,,0.0,NONE,liq_long_>=$100k_15m_continuation
BTC_1m_liq_long_100k_15m_reversion,BTC,1m,N1,threshold_horizon,LONG,100000.0,15,reversion,8,0.75,1.6054,12.84,5.976,-8.02,0.28906,,,,0.0,G2,liq_long_>=$100k_15m_reversion
BTC_1m_liq_long_100k_30m_continuation,BTC,1m,N1,threshold_horizon,LONG,100000.0,30,continuation,8,0.125,-4.0704,-32.56,-16.207,-32.78,0.07031,,,,0.0,NONE,liq_long_>=$100k_30m_continuation
BTC_1m_liq_long_100k_30m_reversion,BTC,1m,N1,threshold_horizon,LONG,100000.0,30,reversion,8,0.75,3.4704,27.76,13.818,-0.45,0.28906,,,,0.0,G2,liq_long_>=$100k_30m_reversion
BTC_1m_liq_long_100k_60m_continuation,BTC,1m,N1,threshold_horizon,LONG,100000.0,60,continuation,8,0.0,-4.7954,-38.36,-24.8,-37.82,0.00781,,,,0.0,G1,liq_long_>=$100k_60m_continuation
BTC_1m_liq_long_100k_60m_reversion,BTC,1m,N1,threshold_horizon,LONG,100000.0,60,reversion,8,0.875,4.1954,33.56,21.697,0.0,0.07031,,,,0.0,G2,liq_long_>=$100k_60m_reversion
BTC_1m_liq_long_250k_5m_continuation,BTC,1m,N1,threshold_horizon,LONG,250000.0,5,continuation,6,0.3333,-0.002,-0.01,-0.009,-5.69,0.6875,,,,0.0,NONE,liq_long_>=$250k_5m_continuation
BTC_1m_liq_long_250k_5m_reversion,BTC,1m,N1,threshold_horizon,LONG,250000.0,5,reversion,6,0.5,-0.598,-3.59,-2.577,-10.48,1.0,,,,0.0,NONE,liq_long_>=$250k_5m_reversion
BTC_1m_liq_long_250k_15m_continuation,BTC,1m,N1,threshold_horizon,LONG,250000.0,15,continuation,6,0.3333,-0.7797,-4.68,-3.084,-9.5,0.6875,,,,0.0,NONE,liq_long_>=$250k_15m_continuation
BTC_1m_liq_long_250k_15m_reversion,BTC,1m,N1,threshold_horizon,LONG,250000.0,15,reversion,6,0.6667,0.1797,1.08,0.711,-8.02,0.6875,,,,0.0,G2,liq_long_>=$250k_15m_reversion
