label,hypothesis,asset,hold_h,z_thresh,regime_filter,n_signals,status,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,g1_p,g1_pass,g2_pnl_pos,g3_wf_stable,g3_wf_mean_sharpe,g4_perm_p,g4_pass,boot_lo,boot_hi,boot_pos,avg_funding,avg_fees
N2-A|BTC|h1h|z1.5,N2-A,BTC,1,1.5,,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|BTC|h1h|z2.0,N2-A,BTC,1,2.0,,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|BTC|h4h|z1.5,N2-A,BTC,4,1.5,,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|BTC|h4h|z2.0,N2-A,BTC,4,2.0,,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|BTC|h8h|z1.5,N2-A,BTC,8,1.5,,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|BTC|h8h|z2.0,N2-A,BTC,8,2.0,,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|BTC|h24h|z1.5,N2-A,BTC,24,1.5,,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|BTC|h24h|z2.0,N2-A,BTC,24,2.0,,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|BTC|h72h|z1.5,N2-A,BTC,72,1.5,,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-A|BTC|h72h|z2.0,N2-A,BTC,72,2.0,,0,INSUFFICIENT,0,,0.0,,,,False,False,False,,,False,,,False,0.0,0.0
N2-B|BTC|h1h|z1.5,N2-B,BTC,1,1.5,,65,OK,64,0.234375,-34.38560768494196,-0.5372751200772181,-6.1252430688277695,2.436457216293327e-05,True,False,False,-6.275986024594116,1.0,False,-0.7227946130407363,-0.12784877845913697,False,-0.0034078558593749943,0.22500000000000003
N2-B|BTC|h1h|z2.0,N2-B,BTC,1,2.0,,38,OK,38,0.3157894736842105,-15.691290935026423,-0.4129287088164848,-4.6381616936092795,0.03355243967962451,True,False,False,-4.839813647148834,0.9440559440559441,False,-0.8226271051183679,0.03566494940660446,False,-0.004514150657894728,0.22499999999999998
N2-B|BTC|h4h|z1.5,N2-B,BTC,4,1.5,,65,OK,64,0.40625,-6.678094151609384,-0.10434522111889663,-0.6474160751811359,0.16864291143970336,False,False,False,-1.3763049024512988,0.6313686313686314,False,-0.30945431612485946,0.20706926521455277,False,-0.011601868749999997,0.22500000000000003
N2-B|BTC|h4h|z2.0,N2-B,BTC,4,2.0,,38,OK,38,0.47368421052631576,-2.5617148490554587,-0.06741354865935417,-0.4857016286629956,0.8714146793645341,False,False,False,-1.7372589741370963,0.5514485514485514,False,-0.38191686380602274,0.292664384372269,False,-0.016077224342105262,0.22499999999999998
N2-B|BTC|h8h|z1.5,N2-B,BTC,8,1.5,,65,OK,64,0.40625,24.1825737546759,0.37785271491681094,1.5363018306081337,0.16864291143970336,False,True,True,0.427070937271634,0.23876123876123875,False,-0.17362451714130894,0.3038691915038844,False,-0.01934547734375,0.22500000000000003
N2-B|BTC|h8h|z2.0,N2-B,BTC,8,2.0,,38,OK,38,0.34210526315789475,-5.970810244679944,-0.15712658538631433,-0.9387088703395549,0.07295138851623051,False,False,False,-2.506625936178738,0.6363636363636364,False,-0.44469055911792754,0.24799271592037672,False,-0.02798219407894738,0.22499999999999998
N2-B|BTC|h24h|z1.5,N2-B,BTC,24,1.5,,65,OK,64,0.546875,68.4548280419966,1.069606688156197,2.831084892213113,0.5323087760278422,False,True,True,3.3887906439392768,0.0979020979020979,False,-0.06118546128485807,0.43345084784250215,False,-0.031028566406250055,0.22500000000000003
N2-B|BTC|h24h|z2.0,N2-B,BTC,24,2.0,,38,OK,38,0.4473684210526316,8.287282998201226,0.21808639468950594,0.5353452385917952,0.6271025701571489,False,True,False,-0.9597095393288795,0.4385614385614386,False,-0.30926428959782426,0.3522950408395179,False,-0.04764351973684214,0.22499999999999998
N2-B|BTC|h72h|z1.5,N2-B,BTC,72,1.5,,65,OK,65,0.5846153846153846,91.93446035969912,1.4143763132261402,1.8490389730517083,0.2145391940081784,False,True,True,3.7028899482041937,0.17282717282717283,False,-0.11892570624444264,0.4250087785002265,False,-0.03643406076923092,0.22500000000000003
