asset,tf,variant,n_fires,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,max_dd_usd,avg_lev
BTC,5m,baseline_lev2,537,537,0.3221601489757914,-368.3037078733299,-0.6858542046058286,-4.797758655810882,-380.32788651780226,2.0
BTC,5m,markov_sized,537,537,0.3221601489757914,-341.18345872443615,-0.6353509473453187,-4.600825278537974,-342.75654463961826,1.8435754189944134
BTC,5m,markov_gate,537,537,0.3221601489757914,-368.3037078733299,-0.6858542046058286,-4.797758655810882,-380.32788651780226,2.0
BTC,15m,baseline_lev2,238,238,0.3907563025210084,-102.05852671845422,-0.428817339153169,-2.298169576018825,-123.93536444036796,2.0
BTC,15m,markov_sized,238,238,0.3907563025210084,-91.78090430810198,-0.3856340517147142,-2.1937678806022505,-97.55570366797008,1.861344537815126
BTC,15m,markov_gate,238,238,0.3907563025210084,-102.05852671845422,-0.428817339153169,-2.298169576018825,-123.93536444036796,2.0
BTC,1h,baseline_lev2,98,98,0.4897959183673469,7.509031837323916,0.07662277385024405,0.25296140853264715,-32.122040835247695,2.0
BTC,1h,markov_sized,98,98,0.4897959183673469,9.015985038084121,0.09199984732738899,0.30489660653250555,-32.122040835247695,1.9387755102040816
BTC,1h,markov_gate,98,98,0.4897959183673469,7.509031837323916,0.07662277385024405,0.25296140853264715,-32.122040835247695,2.0
BTC,4h,baseline_lev2,31,31,0.3870967741935484,-85.01957549840121,-2.7425669515613293,-4.291807955726309,-102.1085032527439,2.0
BTC,4h,markov_sized,31,31,0.3870967741935484,-78.0162057160697,-2.516651797292571,-4.008185999001541,-88.10176368808088,1.967741935483871
BTC,4h,markov_gate,31,31,0.3870967741935484,-85.01957549840121,-2.7425669515613293,-4.291807955726309,-102.1085032527439,2.0
ETH,5m,baseline_lev2,713,713,0.3267882187938289,-358.05254296316934,-0.5021774796117382,-3.7119538512815207,-359.64309546844885,2.0
ETH,5m,markov_sized,713,713,0.3267882187938289,-321.93288987275105,-0.4515187796251768,-3.4786165432382665,-324.46140664948695,1.812061711079944
ETH,5m,markov_gate,713,713,0.3267882187938289,-358.05254296316934,-0.5021774796117382,-3.7119538512815207,-359.64309546844885,2.0
ETH,15m,baseline_lev2,328,328,0.4268292682926829,-139.85601862378365,-0.42639030068226724,-1.3574200324736587,-209.19610447331493,2.0
ETH,15m,markov_sized,328,328,0.4268292682926829,-140.0904090605361,-0.42710490567236614,-1.3671075065738971,-210.14096015950219,1.9024390243902438
ETH,15m,markov_gate,328,328,0.4268292682926829,-139.85601862378365,-0.42639030068226724,-1.3574200324736587,-209.19610447331493,2.0
ETH,1h,baseline_lev2,55,55,0.5818181818181818,99.59730288078471,1.810860052377904,3.2709906272021763,-49.70286889292248,2.0
ETH,1h,markov_sized,55,55,0.5818181818181818,96.15504255554829,1.748273501009969,3.1666344010753744,-49.70286889292248,1.981818181818182
ETH,1h,markov_gate,55,55,0.5818181818181818,99.59730288078471,1.810860052377904,3.2709906272021763,-49.70286889292248,2.0
ETH,4h,baseline_lev2,23,23,0.17391304347826086,-245.2103625484923,-10.661320110804013,-14.031127511820932,-244.32226868227255,2.0
ETH,4h,markov_sized,23,23,0.17391304347826086,-245.2103625484923,-10.661320110804013,-14.031127511820932,-244.32226868227255,2.0
ETH,4h,markov_gate,23,23,0.17391304347826086,-245.2103625484923,-10.661320110804013,-14.031127511820932,-244.32226868227255,2.0
SOL,5m,baseline_lev2,462,460,0.3869565217391304,-137.04002997472705,-0.29791310864071097,-1.1611852447780093,-202.27490338339186,2.0
SOL,5m,markov_sized,462,460,0.3869565217391304,-87.85748572328474,-0.19099453418105378,-0.760772866502532,-131.43617002029154,1.777056277056277
SOL,5m,markov_gate,462,460,0.3869565217391304,-137.04002997472705,-0.29791310864071097,-1.1611852447780093,-202.27490338339186,2.0
SOL,15m,baseline_lev2,166,166,0.5120481927710844,35.53341191364914,0.21405669827499482,0.6940120281307431,-64.64145296027459,2.0
SOL,15m,markov_sized,166,166,0.5120481927710844,37.75270146863892,0.22742591246168023,0.7595441411162203,-58.5343920154001,1.9216867469879517
SOL,15m,markov_gate,166,166,0.5120481927710844,35.53341191364914,0.21405669827499482,0.6940120281307431,-64.64145296027459,2.0
SOL,1h,baseline_lev2,41,41,0.4634146341463415,63.53647141992527,1.5496700346323236,2.5533386172979267,-39.75415447472615,2.0
SOL,1h,markov_sized,41,41,0.4634146341463415,63.53647141992527,1.5496700346323236,2.5533386172979267,-39.75415447472615,2.0
SOL,1h,markov_gate,41,41,0.4634146341463415,63.53647141992527,1.5496700346323236,2.5533386172979267,-39.75415447472615,2.0
SOL,4h,baseline_lev2,10,10,0.5,23.490070550348058,2.349007055034806,2.152958197133678,-42.41388540676251,2.0
SOL,4h,markov_sized,10,10,0.5,23.490070550348058,2.349007055034806,2.152958197133678,-42.41388540676251,2.0
SOL,4h,markov_gate,10,10,0.5,23.490070550348058,2.349007055034806,2.152958197133678,-42.41388540676251,2.0
