asset,tf,target,window,train_start,train_end,test_start,test_end,n_train,n_test,n_features,base_rate_y,rf_auc,rf_acc,rf_prec,rf_rec,rf_logloss,lgb_auc,lgb_acc,lgb_prec,lgb_rec,lgb_logloss,lgb_n_trades,lgb_sharpe_oos,rf_n_trades,rf_sharpe_oos
BTC,1h,y_next,0,2022-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,17543,4416,126,0.5031702898550725,0.543420522544506,0.532608695652174,0.5263157894736842,0.7110711071107111,0.690924707153775,0.5372405061837086,0.5242300724637681,0.5232245681381957,0.6134113411341134,0.7026356448226553,2852,1.0850217178767776,1385,0.8549514040614137
BTC,1h,y_next_3,0,2022-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,17543,4416,126,0.5067934782608695,0.5360541395759528,0.5246829710144928,0.518236683285227,0.8824843610366399,0.693142908630882,0.5300234040789732,0.5201539855072463,0.5196564255037991,0.7028596961572833,0.7178304279847666,3150,0.9465730725999646,1767,0.6540841824764272
BTC,1h,y_next,1,2022-09-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,17543,4344,126,0.5138121546961326,0.5445514876588465,0.5322283609576427,0.5598086124401914,0.41935483870967744,0.6919373193489325,0.533140439169925,0.5052946593001841,0.564945226917058,0.1617383512544803,0.8321770946762764,3762,0.1413727443390718,1181,0.48381698985554744
BTC,1h,y_next_3,1,2022-09-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,17543,4344,126,0.5202578268876611,0.5342361948601226,0.5126611418047882,0.5613733905579399,0.28938053097345134,0.7028747208130053,0.5249743091060418,0.4958563535911602,0.5605536332179931,0.1433628318584071,0.9875893574690845,3978,-0.17567396188765105,2293,0.2464913953781518
BTC,1h,y_next,2,2023-03-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,17544,4416,126,0.5031702898550725,0.5280851467097485,0.5151721014492754,0.5290322580645161,0.3321332133213321,0.6929561206344628,0.5198442360188616,0.5036231884057971,0.5189393939393939,0.18496849684968497,0.9769077895737213,3789,0.18241055433959866,1078,0.6116144549179832
BTC,1h,y_next_3,2,2023-03-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,17544,4416,126,0.5131340579710145,0.5392971941131797,0.5004528985507246,0.5413223140495868,0.1734333627537511,0.6997402698159322,0.5253014224429895,0.501358695652174,0.5353982300884956,0.21359223300970873,0.9436114931334986,3828,-0.015444006307937989,2696,0.3681565599005886
BTC,1h,y_next,3,2023-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2026-03-31 23:00:00+00:00,17544,4368,126,0.497481684981685,0.528697715910842,0.5185439560439561,0.5128581925055107,0.6424298205246204,0.6925310712756674,0.5289197408241758,0.5267857142857143,0.52,0.6341463414634146,0.7037472571073741,2442,0.7591134949090512,1013,0.3849923421983164
BTC,1h,y_next_3,3,2023-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2026-03-31 23:00:00+00:00,17544,4366,126,0.49770957398076043,0.5316447408595605,0.516491067338525,0.5099935525467441,0.728025770823746,0.6937571619461227,0.524698718194884,0.5155748969308291,0.5116653258246179,0.5853658536585366,0.7131123105640165,2864,0.5660024608123427,1461,0.7487948843026754
ETH,1h,y_next,0,2022-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,17543,4416,126,0.5,0.5537847796550095,0.5387228260869565,0.5381185911725368,0.5466485507246377,0.6889803949980096,0.5474443025034131,0.5339673913043478,0.5421822272215973,0.4365942028985507,0.6988965042223855,2771,1.1236984263873904,1499,1.243971253692055
ETH,1h,y_next_3,0,2022-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,17543,4416,126,0.5045289855072463,0.5318689916272537,0.519927536231884,0.5204081632653061,0.6180430879712747,0.6919418842706897,0.5391924779850269,0.5251358695652174,0.5436375749500333,0.36624775583482944,0.7161390935550155,3148,0.8356517927923752,1073,0.8984324320815511
ETH,1h,y_next,1,2022-09-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,17543,4344,126,0.5059852670349908,0.5456877683431604,0.5317679558011049,0.5343671416596815,0.5800727934485896,0.6901659618307844,0.5357552023486571,0.5290055248618785,0.5343891402714932,0.5373066424021838,0.7090571785620401,2793,0.8717805302690435,1688,1.2111465515978461
ETH,1h,y_next_3,1,2022-09-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,17543,4344,126,0.5064456721915286,0.5294759158751696,0.5234806629834254,0.5250771604938271,0.6186363636363637,0.6932078614570509,0.5279573015603799,0.5177255985267035,0.5218841183826595,0.5690909090909091,0.7266048737356398,3150,0.7044840587148475,1453,0.6513659772063936
ETH,1h,y_next,2,2023-03-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,17544,4416,126,0.5133605072463768,0.5403547325486378,0.5310235507246377,0.5469798657718121,0.5033083370092634,0.6916895833637262,0.5325920715269954,0.5176630434782609,0.533727227966519,0.4781649757388619,0.719178269103345,2946,0.7402020065603986,1721,0.8939526920287962
ETH,1h,y_next_3,2,2023-03-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,2025-03-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,17544,4416,126,0.5160778985507246,0.5438116488711091,0.5278532608695652,0.55083857442348,0.4611671785870996,0.6927828547316299,0.5463696426221141,0.53125,0.5569482288828338,0.4484422992540588,0.7826539913872744,3287,1.0648808381625612,1925,1.0421677419146294
ETH,1h,y_next,3,2023-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2026-03-31 23:00:00+00:00,17544,4368,126,0.4965659340659341,0.5293336109229414,0.516941391941392,0.5108575634891425,0.6399262332872291,0.6932148793304393,0.5336588931093411,0.5208333333333334,0.5155993431855501,0.5790686952512679,0.7021272444459671,2558,0.8942408660544524,1386,0.6974608986565387
ETH,1h,y_next_3,3,2023-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2025-09-30 23:00:00+00:00,2026-03-31 23:00:00+00:00,17544,4366,126,0.5032065964269354,0.53698691769845,0.5295464956481906,0.5275742383339761,0.6226672735548475,0.6923279942374561,0.5256478457882863,0.5178653229500687,0.5189456342668863,0.5735093309057806,0.7163828740283192,2884,0.572998493687624,1329,0.7190639197523988
SOL,1h,y_next,0,2022-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,17543,4416,126,0.49773550724637683,0.526249578475719,0.515625,0.5094279322467242,0.7252047315741583,0.6935538000357727,0.5206311008204032,0.521286231884058,0.5172839506172839,0.5718835304822566,0.7136673167502643,2780,0.3988256042526926,1092,0.3904806576283812
SOL,1h,y_next_3,0,2022-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-03-30 23:00:00+00:00,2024-09-30 23:00:00+00:00,17543,4416,126,0.5018115942028986,0.5245163275352805,0.5106431159420289,0.5120350109409191,0.5279783393501805,0.6933085117992157,0.5239138907121759,0.5120018115942029,0.5099251545720794,0.7071299638989169,0.75330971686466,3289,0.3874949945682991,963,0.685752566115559
