strategy_id,asset,tf,variant,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe_ann,calmar,max_dd_usd,profit_factor,avg_bars_held,is_n_trades,is_sharpe_ann,is_total_pnl_usd,is_win_rate,oos_n_trades,oos_sharpe_ann,oos_total_pnl_usd,oos_win_rate,oos_calmar,oos_profit_factor,oos_max_dd_usd,buy_hold_pnl_usd,perm_p_value,gate_perm_pass,gate_pf_pass,gate_calmar_pass,gate_n_pass,gate_oos_sharpe_pass,gate_beats_bh,gates_passed_n,strategy_family
C1_BTC_4h_lb20_off0.25_trail2.0,BTC,4h,lb20_off0.25_trail2.0,727,0.4883081155433287,2645.9164643849517,3.639499951010937,3.076658770350104,10.400021090736544,-254.4145287110724,1.7513795320482095,6.466299862448418,481,3.960203440156607,2692.8357740751326,0.5239085239085239,246,-0.3431518927058784,-46.919309690181365,0.4186991869918699,-0.2108565682009601,0.9529306894602289,-222.51765781118175,11267.740315571118,,False,False,False,True,False,False,1,C1_atr_breakout
C1_BTC_4h_lb20_off0.25_trail3.0,BTC,4h,lb20_off0.25_trail3.0,532,0.5169172932330827,6053.747016569319,11.379223715355865,2.859668697688673,17.622211125331138,-343.52936606617595,2.4074081273780066,17.765037593984964,362,3.0602968287563947,4986.916566485378,0.5469613259668509,170,2.371222173361005,1066.8304500839422,0.4529411764705882,7.759696754276387,1.97939590621901,-137.483523372999,11267.740315571118,,False,True,True,True,True,False,4,C1_atr_breakout
C1_BTC_4h_lb20_off0.5_trail2.0,BTC,4h,lb20_off0.5_trail2.0,529,0.5293005671077504,2839.448381838206,5.367577281357667,4.638225341410475,21.77255524481821,-130.41410849165186,2.340400810060697,6.264650283553875,349,5.825368219992412,2779.587370846315,0.5759312320916905,180,0.5770360106871046,59.86101099189129,0.4388888888888889,0.5178639607499751,1.0829653094949938,-115.59215455966478,11267.740315571118,,False,False,False,True,True,False,2,C1_atr_breakout
C1_BTC_4h_lb20_off0.5_trail3.0,BTC,4h,lb20_off0.5_trail3.0,423,0.5271867612293144,5545.017471459143,13.108788348603175,3.310355929075479,32.70019972716192,-169.57136401993466,2.8091992261241576,17.106382978723403,288,3.5928533543144034,4608.82483177728,0.5590277777777778,135,2.569195132859176,936.1926396818616,0.4592592592592592,12.004249195793095,2.077528559215098,-77.9884376283984,11267.740315571118,,False,True,True,True,True,False,4,C1_atr_breakout
C1_BTC_4h_lb20_off1.0_trail2.0,BTC,4h,lb20_off1.0_trail2.0,261,0.5440613026819924,1440.931421571374,5.520810044334766,4.980401607917203,10.038276680072828,-143.543704511731,2.6388841414905024,6.160919540229885,172,6.448966699525404,1438.354908944778,0.5988372093023255,89,0.0514165405676823,2.5765126265957976,0.4382022471910112,0.0179493251575184,1.007390625022207,-143.54370451173048,11267.740315571118,,False,False,False,True,True,False,2,C1_atr_breakout
C1_BTC_4h_lb20_off1.0_trail3.0,BTC,4h,lb20_off1.0_trail3.0,250,0.564,3935.083948897498,15.740335795589992,4.152330208883216,35.7926882912137,-109.94100015291316,3.615270384282936,16.912,175,4.69010057374918,3299.303962433094,0.6228571428571429,75,2.7011638432362592,635.7799864644039,0.4266666666666667,7.675140697470201,2.274290006772947,-82.83626470508392,11267.740315571118,0.004975124378109453,True,True,True,True,True,False,5,C1_atr_breakout
C1_BTC_4h_lb50_off0.25_trail2.0,BTC,4h,lb50_off0.25_trail2.0,457,0.5229759299781181,2327.881981986312,5.093833658613375,4.46661451071608,14.099840374038337,-165.09988200097496,2.201515921655053,6.2319474835886215,305,5.573394472146937,2245.6953676408016,0.5639344262295082,152,0.9010087235747448,82.18661434551022,0.4407894736842105,0.4977993524248852,1.138933488194147,-165.0998820009748,11267.740315571118,,False,False,False,True,True,False,2,C1_atr_breakout
C1_BTC_4h_lb50_off0.25_trail3.0,BTC,4h,lb50_off0.25_trail3.0,338,0.5,4664.7670221909575,13.801085864470288,3.341902729526669,31.339269147120287,-148.84734549145014,2.898815449753537,17.28994082840237,230,3.772437583241892,4009.7290256216033,0.5565217391304348,108,2.1335578830358566,655.037996569354,0.3796296296296296,4.400736838178814,1.8750702331320217,-148.8473454914502,11267.740315571118,,False,True,True,True,True,False,4,C1_atr_breakout
C1_BTC_4h_lb50_off0.5_trail2.0,BTC,4h,lb50_off0.5_trail2.0,338,0.5591715976331361,2215.5156670642555,6.554780080071762,6.035090413231214,20.496261328995956,-108.0936484709032,2.9403218952574246,6.068047337278107,229,7.187574718865083,2035.616651193477,0.5982532751091703,109,2.7097082651860287,179.89901587077838,0.4770642201834862,1.6642884981276476,1.5044987440270448,-108.0936484709038,11267.740315571118,0.004975124378109453,True,True,True,True,True,False,5,C1_atr_breakout
C1_BTC_4h_lb50_off0.5_trail3.0,BTC,4h,lb50_off0.5_trail3.0,271,0.5461254612546126,4664.753320358838,17.213111883242945,4.058536214612743,44.88637724538416,-103.92358676793263,3.94387702831884,17.59409594095941,191,4.3688858754650015,3895.2041797736974,0.5863874345549738,80,3.2283076341608465,769.5491405851415,0.45,9.905466103256169,2.828588654441463,-77.68934167895156,11267.740315571118,0.004975124378109453,True,True,True,True,True,False,5,C1_atr_breakout
