strategy,asset,tf,window,auc,n_signals,n_trades,n_wins,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,max_dd_usd,avg_funding_paid,avg_fees_paid,avg_bars_held,n_end_of_data,sharpe_ann,feature,z_thr,sign
F1_prob_sized,BTC,15m,0,0.5429603746093268,561,561,273,0.48663101604278075,-40.63099735327156,-0.07242602023756071,-2.411973731145592,-46.36448798135078,0.0007479027934493162,0.06430748663101604,6.331550802139038,0,-11.303145133376814,,,
F2_ensemble,BTC,15m,0,0.5470158360441406,2432,2432,1217,0.5004111842105263,-119.51258679750231,-0.04914168865028878,-2.4773795084242076,-119.54918944803708,0.00018290507542149343,0.03717338610197368,5.563322368421052,0,-12.385319270697543,,,
F3_rf_band_pos_z1.0_momentum,BTC,15m,0,,400,400,170,0.425,-248.68958577152563,-0.6217239644288141,-2.1966772308452196,-284.3404113322183,0.0009376429999995332,0.22500000000000006,40.0,0,-4.095604685429241,rf_band_pos,1.0,momentum
F3_rf_band_pos_z1.0_fade,BTC,15m,0,,400,400,194,0.485,8.689585771525643,0.021723964428814108,0.07675518518625692,-105.40384937600952,-0.0009376429999995332,0.22500000000000006,40.0,0,0.1431065482291481,rf_band_pos,1.0,fade
F3_rf_band_pos_z1.5_momentum,BTC,15m,0,,300,300,124,0.41333333333333333,-189.36169692397476,-0.6312056564132492,-2.1467874254744874,-208.63291759540303,-0.01064352641667004,0.22500000000000006,39.906666666666666,0,-4.007265287913826,rf_band_pos,1.5,momentum
F3_rf_band_pos_z1.5_fade,BTC,15m,0,,300,300,152,0.5066666666666667,9.361696923974776,0.031205656413249253,0.10613325484488578,-79.75425295409343,0.01064352641667004,0.22500000000000006,39.906666666666666,0,0.19811188708598904,rf_band_pos,1.5,fade
F1_prob_sized,BTC,15m,1,0.5264122944723442,669,669,331,0.4947683109118087,-71.36925840799837,-0.10668050584155213,-2.61168733355296,-72.23955723974136,-0.0001519831970471293,0.06839159192825112,6.245142002989537,0,-12.323435665454996,,,
F2_ensemble,BTC,15m,1,0.5298428169443341,2617,2617,1196,0.45701184562476116,-149.47810000432727,-0.05711811234403029,-2.5681323773967804,-149.88822374246567,-0.0003165618946598787,0.04314127818112342,5.048528849828047,0,-13.47773035623326,,,
F3_rf_band_pos_z1.0_momentum,BTC,15m,1,,397,397,189,0.4760705289672544,5.0746910470022755,0.012782597095723616,0.04661870837086953,-117.60791059535214,0.004326239735518092,0.22500000000000003,39.96977329974811,0,0.08695131862821644,rf_band_pos,1.0,momentum
F3_rf_band_pos_z1.0_fade,BTC,15m,1,,397,397,167,0.42065491183879095,-243.2746910470022,-0.6127825970957234,-2.2348457809334086,-238.92745129593405,-0.004326239735518092,0.22500000000000003,39.96977329974811,0,-4.168343447805427,rf_band_pos,1.0,fade
F3_rf_band_pos_z1.5_momentum,BTC,15m,1,,269,269,120,0.44609665427509293,-174.48338238500548,-0.6486371092379386,-2.4028862047443837,-189.66509984754356,-0.01992059098514305,0.22500000000000006,40.0,0,-4.48007192887311,rf_band_pos,1.5,momentum
F3_rf_band_pos_z1.5_fade,BTC,15m,1,,269,269,129,0.4795539033457249,13.083382385005478,0.04863710923793858,0.1801769235247643,-107.58735780134654,0.01992059098514305,0.22500000000000006,40.0,0,0.3359316707217449,rf_band_pos,1.5,fade
F1_prob_sized,BTC,15m,2,0.5094872377326061,715,715,266,0.37202797202797205,-77.07507423969676,-0.10779730662894652,-4.244101054249322,-77.82592858837174,0.00028126507370639195,0.07206545454545454,8.141258741258742,0,-17.539682021816486,,,
F2_ensemble,BTC,15m,2,0.5189671232086792,1756,1756,786,0.44760820045558086,-80.56931802689141,-0.04588229955973315,-3.0421110790301937,-81.37875170471094,-0.00039712420415769433,0.03796669988610478,7.2750569476082,0,-13.299602088643242,,,
F3_rf_band_pos_z1.0_momentum,BTC,15m,2,,402,402,160,0.39800995024875624,-225.89639002778972,-0.5619313184770889,-2.9307070261464143,-240.42870377476837,0.0008432699004971893,0.2250000000000001,39.975124378109456,0,-5.465869670133524,rf_band_pos,1.0,momentum
F3_rf_band_pos_z1.0_fade,BTC,15m,2,,402,402,184,0.4577114427860697,-15.303609972210284,-0.03806868152291115,-0.19854410805521736,-77.47170220147059,-0.0008432699004971893,0.2250000000000001,39.975124378109456,0,-0.3702916083801376,rf_band_pos,1.0,fade
F3_rf_band_pos_z1.5_momentum,BTC,15m,2,,261,261,111,0.42528735632183906,-120.21211452481855,-0.4605828142713354,-2.5671782820093982,-133.87444169017056,-0.008812741570889323,0.22500000000000003,39.95402298850575,0,-4.789140197749721,rf_band_pos,1.5,momentum
F3_rf_band_pos_z1.5_fade,BTC,15m,2,,261,261,119,0.4559386973180077,-36.387885475181434,-0.1394171857286645,-0.7770779982482136,-57.92242868289,0.008812741570889323,0.22500000000000003,39.95402298850575,0,-1.4496599259496943,rf_band_pos,1.5,fade
F1_prob_sized,BTC,15m,3,0.5431309580340558,397,397,192,0.4836272040302267,-33.44567391198839,-0.08424603000500855,-2.4158997650577674,-36.044017954783506,-0.00022464409263243224,0.0643721032745592,5.521410579345088,0,-12.12371359961816,,,
F1_prob_sized_shuffle,BTC,15m,3,0.5001744235107404,377,377,126,0.33421750663129973,-16.542297789767176,-0.04387877397816227,-1.1289553381454946,-22.507541836096497,0.0001752846799736044,0.06102393899204244,7.862068965517241,0,-4.747774846396223,,,
F2_ensemble,BTC,15m,3,0.5444711750128935,2167,2167,1104,0.509460083064144,-85.99451214766182,-0.03968366965743508,-2.255915374515908,-86.2542138974873,-8.320704012466045e-05,0.034008537148131054,5.753114905399169,0,-11.090549341661564,,,
F3_rf_band_pos_z1.0_momentum,BTC,15m,3,,398,398,170,0.4271356783919598,-106.88610203687045,-0.26855804531877,-1.0040265502289156,-140.84637973738228,-0.0006998859296492733,0.2250000000000001,39.904522613065325,0,-1.874199923809099,rf_band_pos,1.0,momentum
F3_rf_band_pos_z1.0_fade,BTC,15m,3,,398,398,193,0.4849246231155779,-131.91389796312956,-0.33144195468123006,-1.239123266498044,-153.94301999480322,0.0006998859296492733,0.2250000000000001,39.904522613065325,0,-2.313051115163461,rf_band_pos,1.0,fade
F3_rf_band_pos_z1.5_momentum,BTC,15m,3,,283,283,135,0.47703180212014135,-23.777874588987835,-0.08402075826497468,-0.32305312621637794,-85.39766265967441,-0.0011042198763262696,0.22500000000000003,40.0,0,-0.6023178456970079,rf_band_pos,1.5,momentum
F3_rf_band_pos_z1.5_fade,BTC,15m,3,,283,283,119,0.4204946996466431,-146.02212541101213,-0.5159792417350252,-1.9838991047851895,-170.07763400089445,0.0011042198763262696,0.22500000000000003,40.0,0,-3.698889556865268,rf_band_pos,1.5,fade
F1_prob_sized,BTC,1h,0,0.5402332849511022,377,377,215,0.5702917771883289,-6.886256188277182,-0.01826593153389173,-0.26089926636368366,-24.687060457637713,0.0015115826663136993,0.08228912466843502,4.408488063660477,0,-0.7326217468763642,,,
F2_ensemble,BTC,1h,0,0.5417099823017854,723,723,412,0.5698478561549101,-50.2774966492364,-0.06954010601554135,-1.3105277384830423,-54.197371159754354,0.0011336366984097594,0.055119087136929465,4.618257261410788,0,-3.5954970720048776,,,
F3_rf_band_pos_z1.0_momentum,BTC,1h,0,,99,99,45,0.45454545454545453,-80.81652676051273,-0.8163285531364922,-1.5534152715305936,-111.09046195769344,-0.013451836111115778,0.2250000000000001,40.0,0,-1.4481360245287491,rf_band_pos,1.0,momentum
F3_rf_band_pos_z1.0_fade,BTC,1h,0,,99,99,50,0.5050505050505051,21.416526760512678,0.21632855313649169,0.41165787576482765,-81.85473209241653,0.013451836111115778,0.2250000000000001,40.0,0,0.3837586835931185,rf_band_pos,1.0,fade
F3_rf_band_pos_z1.5_momentum,BTC,1h,0,,64,64,29,0.453125,-32.687600116841246,-0.5107437518256445,-1.1178571365112695,-87.17913172262466,-0.07418981328125854,0.22500000000000003,40.0,0,-1.0420968683174425,rf_band_pos,1.5,momentum
F3_rf_band_pos_z1.5_fade,BTC,1h,0,,64,64,33,0.515625,-5.712399883158767,-0.08925624817435573,-0.19535380245627665,-69.0161588155149,0.07418981328125854,0.22500000000000003,40.0,0,-0.18211413525429318,rf_band_pos,1.5,fade
F1_prob_sized,BTC,1h,1,0.5330997092904854,204,204,110,0.5392156862745098,-30.087747915806844,-0.14748896037160217,-0.6504764979577042,-65.0254093578452,-0.04419105970039714,0.10535183823529412,14.965686274509803,0,-0.9913684058555473,,,
F2_ensemble,BTC,1h,1,0.5395758661887694,343,343,216,0.6297376093294461,16.85111072017145,0.0491286026827156,0.33440213586860007,-33.450088388547606,-0.02335855832486771,0.07078250728862973,10.752186588921283,0,0.6012740062219939,,,
F3_rf_band_pos_z1.0_momentum,BTC,1h,1,,99,99,46,0.46464646464646464,31.685520349444744,0.32005576110550243,0.6221477414442041,-57.80518996452014,0.0321241186868566,0.2250000000000001,39.656565656565654,0,0.5824890440880643,rf_band_pos,1.0,momentum
F3_rf_band_pos_z1.0_fade,BTC,1h,1,,99,99,46,0.46464646464646464,-91.08552034944474,-0.9200557611055024,-1.7884715207042574,-151.5637386801925,-0.0321241186868566,0.2250000000000001,39.656565656565654,0,-1.6744657210447784,rf_band_pos,1.0,fade
F3_rf_band_pos_z1.5_momentum,BTC,1h,1,,65,65,37,0.5692307692307692,97.32712827667613,1.4973404350257866,2.8622291272383413,-53.12137332122969,-0.08535185653849672,0.22500000000000003,39.6,0,2.6816900875523126,rf_band_pos,1.5,momentum
F3_rf_band_pos_z1.5_fade,BTC,1h,1,,65,65,27,0.4153846153846154,-136.32712827667615,-2.097340435025787,-4.009154326191798,-148.29957970242523,0.08535185653849672,0.22500000000000003,39.6,0,-3.756271401790099,rf_band_pos,1.5,fade
F1_prob_sized,BTC,1h,2,0.5195785986985206,236,236,135,0.5720338983050848,-14.924043126466632,-0.0632374708748586,-0.43147518568855814,-30.88397144673355,-0.02822602551052689,0.12584936440677968,12.563559322033898,0,-0.7177137385927707,,,
F2_ensemble,BTC,1h,2,0.5241836626689105,396,396,210,0.5303030303030303,-23.650283296451953,-0.059722937617302914,-0.5566198296897373,-40.724482918807404,-0.017719820153935202,0.07771306818181818,9.75,0,-1.0510131478280544,,,
F3_rf_band_pos_z1.0_momentum,BTC,1h,2,,99,99,51,0.5151515151515151,28.292410217032415,0.2857819213841658,0.9304377173214058,-23.815082451779947,0.0020700462121067335,0.2250000000000001,39.73737373737374,0,0.8702409375396024,rf_band_pos,1.0,momentum
F3_rf_band_pos_z1.0_fade,BTC,1h,2,,99,99,43,0.43434343434343436,-87.69241021703242,-0.8857819213841658,-2.8838944919449907,-105.81539182459714,-0.0020700462121067335,0.2250000000000001,39.73737373737374,0,-2.6973143926930594,rf_band_pos,1.0,fade
F3_rf_band_pos_z1.5_momentum,BTC,1h,2,,66,66,31,0.4696969696969697,-49.5270328902441,-0.7504095892461228,-2.298768428743899,-81.7602160157191,-0.0615818246212927,0.22500000000000003,39.60606060606061,0,-2.1536056541139947,rf_band_pos,1.5,momentum
F3_rf_band_pos_z1.5_fade,BTC,1h,2,,66,66,34,0.5151515151515151,9.927032890244094,0.15040958924612263,0.46075745845236216,-38.84187731275928,0.0615818246212927,0.22500000000000003,39.60606060606061,0,0.43166151722399093,rf_band_pos,1.5,fade
F1_prob_sized,BTC,1h,3,0.5297933742650273,299,299,164,0.5484949832775919,-39.99042945078995,-0.13374725568826068,-1.6308962229432518,-42.125140954354755,0.0014385877004210552,0.07669866220735785,4.722408026755853,0,-4.424827610501796,,,
F1_prob_sized_shuffle,BTC,1h,3,0.509529565059694,319,319,137,0.42946708463949845,-14.425144984374816,-0.045219890233149894,-0.5987387538494018,-23.760861977099715,6.396544898149199e-05,0.07245141065830722,5.128526645768025,0,-1.5588087813527076,,,
F2_ensemble,BTC,1h,3,0.5312448175842054,718,718,421,0.5863509749303621,-45.43166974966846,-0.06327530605803407,-1.3580230387277519,-47.015103259418304,0.0006474457027172624,0.047897736768802227,4.476323119777159,0,-3.7844102175877774,,,
F3_rf_band_pos_z1.0_momentum,BTC,1h,3,,99,99,44,0.4444444444444444,-17.700828269917363,-0.17879624515068043,-0.3569969995947609,-76.98520926770243,-0.007888309343444325,0.2250000000000001,39.62626262626262,0,-0.3343680650573789,rf_band_pos,1.0,momentum
F3_rf_band_pos_z1.0_fade,BTC,1h,3,,99,99,47,0.47474747474747475,-41.69917173008267,-0.4212037548493199,-0.8410046674779521,-92.90740437077258,0.007888309343444325,0.2250000000000001,39.62626262626262,0,-0.7876959853669147,rf_band_pos,1.0,fade
F3_rf_band_pos_z1.5_momentum,BTC,1h,3,,64,64,34,0.53125,49.78939142272635,0.7779592409800992,1.4549775653503576,-81.71549419797613,-0.016736817187509336,0.22500000000000003,39.96875,0,1.3568998563742727,rf_band_pos,1.5,momentum
F3_rf_band_pos_z1.5_fade,BTC,1h,3,,64,64,30,0.46875,-88.18939142272637,-1.3779592409800996,-2.5771270215485993,-98.07812411434239,0.016736817187509336,0.22500000000000003,39.96875,0,-2.403407013740105,rf_band_pos,1.5,fade
F1_prob_sized,BTC,4h,0,0.5146034790834559,126,126,67,0.5317460317460317,0.9056188795494421,0.007187451424995572,0.03181446980867354,-37.400005048151854,0.0137814990033784,0.11444821428571428,3.8174603174603177,0,0.04800198661173203,,,
F2_ensemble,BTC,4h,0,0.5170242537313433,167,167,95,0.5688622754491018,28.80675802459614,0.1724955570335098,0.9543611130349907,-45.42759203164131,0.016468511927248453,0.0817059880239521,5.053892215568863,0,1.2514731439838944,,,
F3_cvd_60s_z1.0_momentum,BTC,4h,0,,21,21,11,0.5238095238095238,41.74021066871195,1.987629079462474,1.8719904636195752,-69.77069651717808,-0.03328309166659961,0.22499999999999995,41.19047619047619,0,0.8598585473120808,cvd_60s,1.0,momentum
F3_cvd_60s_z1.0_fade,BTC,4h,0,,21,21,10,0.47619047619047616,-54.340210668711975,-2.587629079462475,-2.4370829598893002,-102.07729422542164,0.03328309166659961,0.22499999999999995,41.19047619047619,0,-1.1194216286324499,cvd_60s,1.0,fade
F3_cvd_60s_z1.5_momentum,BTC,4h,0,,16,16,8,0.5,2.1224959933164307,0.13265599958227692,0.1307244383663454,-62.15016478824244,-0.2339686406249608,0.225,40.9375,0,0.060230700338178456,cvd_60s,1.5,momentum
F3_cvd_60s_z1.5_fade,BTC,4h,0,,16,16,8,0.5,-11.722495993316429,-0.7326559995822768,-0.7219880319225483,-78.22005940098201,0.2339686406249608,0.225,40.9375,0,-0.33265275676008205,cvd_60s,1.5,fade
F1_prob_sized,BTC,4h,1,0.5139236205490623,96,96,51,0.53125,-38.156927699117645,-0.3974679968658088,-1.4838554316125807,-45.08779725040063,-0.029226539157557362,0.12024140624999997,5.34375,0,-1.892301404691045,,,
F2_ensemble,BTC,4h,1,0.5261416145691764,142,142,87,0.6126760563380281,-14.332288446112102,-0.10093160877543735,-0.447184672037639,-55.50609362391841,-0.03752617301726023,0.09055140845070422,5.830985915492958,0,-0.5459309295588226,,,
F3_cvd_60s_z1.0_momentum,BTC,4h,1,,20,20,8,0.4,-71.91236483479807,-3.5956182417399036,-3.1977460692221022,-74.5176658538085,-0.09254757625026183,0.22499999999999995,40.55,0,-1.4803701911184919,cvd_60s,1.0,momentum
