asset,tf,strategy,n_windows,sum_pnl,sum_trades,mean_sharpe_ann,min_sharpe_ann,n_positive_pnl_windows,mean_win_rate,mean_avg_pnl,mean_auc,sum_funding,sum_fees,all_windows_pos_pnl,quality_pass
ETH,4h,F3_rf_dist_bps_z1.5_momentum,4,220.1625501719849,48,1.1601946487129882,-0.22169428918516806,3,0.46448863636363635,4.3089920166401185,,-0.3313819396000345,0.9,False,False
ETH,1h,F3_rsi_14_z1.0_momentum,4,217.85323109714443,357,0.9095608251469924,-0.4785802948459386,3,0.49859479627738057,0.6056193687224121,,0.0641656308155631,0.9000000000000004,False,False
BTC,1h,F3_rf_band_pos_z1.5_momentum,4,64.90188669231713,259,0.21072185537378701,-2.1536056541139947,2,0.5058256847319347,0.2535365837335296,,-0.2378603116285573,0.9000000000000001,False,False
ETH,4h,F2_ensemble,4,45.64529186417757,643,0.2353842970627052,-0.9990299923501099,2,0.6151110467348875,0.08670028375588319,0.5213538035676668,-0.049632303121512594,0.3324925761102535,False,False
BTC,4h,F3_cvd_60s_z1.0_momentum,4,41.12786238110994,83,0.40892568492995424,-1.4803701911184919,3,0.5166666666666666,0.4468124302305957,,0.053010142797471085,0.8999999999999998,False,False
BTC,4h,F3_cvd_60s_z1.5_momentum,4,32.65210567966931,66,-0.09277056457434962,-2.675072181168939,3,0.4834558823529412,0.5252740492251234,,0.19786980147044683,0.9,False,False
BTC,4h,F2_ensemble,4,19.589575439745527,557,0.10230491954802312,-1.5118025385503953,2,0.5687872846627372,0.07106778387111638,0.5191662614110537,-0.13903658475855665,0.35104282363785455,False,False
ETH,4h,F3_rf_dist_bps_z1.0_fade,4,4.131159756532824,85,0.09497090545127973,-2.0981339360706777,2,0.4962662337662338,0.18910444198021426,,-0.20660348677491872,0.8999999999999997,False,False
BTC,1h,F1_prob_sized_shuffle,1,-14.425144984374816,319,-1.5588087813527076,-1.5588087813527076,0,0.42946708463949845,-0.045219890233149894,0.509529565059694,6.396544898149199e-05,0.07245141065830722,False,False
BTC,15m,F1_prob_sized_shuffle,1,-16.542297789767176,377,-4.747774846396223,-4.747774846396223,0,0.33421750663129973,-0.04387877397816227,0.5001744235107404,0.0001752846799736044,0.06102393899204244,False,False
BTC,4h,F1_prob_sized_shuffle,1,-17.79409963031067,136,-1.2736644672876425,-1.2736644672876425,0,0.45588235294117646,-0.13083896786993138,0.49716519055287167,0.00020499564080694193,0.1009935661764706,False,False
ETH,15m,F1_prob_sized_shuffle,1,-20.395254887600455,414,-4.397603183429302,-4.397603183429302,0,0.391304347826087,-0.04926390069468709,0.5001839810753038,0.00021933951038680198,0.0658391304347826,False,False
ETH,1h,F1_prob_sized_shuffle,1,-36.2506930047545,306,-3.292140412167411,-3.292140412167411,0,0.38235294117647056,-0.11846631700900165,0.5058282286407481,0.0008117574013900969,0.07811617647058824,False,False
ETH,1h,F3_rsi_14_z1.5_momentum,4,-38.518761410477836,281,-0.10661549278672366,-1.2272879436198234,3,0.5195731166830245,-0.12433965331649582,,0.0900845605179053,0.9000000000000001,False,False
BTC,1h,F3_rf_band_pos_z1.0_momentum,4,-38.53942446395293,396,-0.08244352698961532,-1.4481360245287491,2,0.46969696969696967,-0.0973217789493761,,0.01285401944440323,0.9000000000000004,False,False
ETH,4h,F3_rf_dist_bps_z1.0_momentum,4,-55.13115975653295,85,-0.3027020672832876,-2.994552674811193,2,0.5037337662337662,-0.7891044419802156,,0.20660348677491872,0.8999999999999997,False,False
ETH,4h,F1_prob_sized_shuffle,1,-57.68886116846269,145,-2.703637844122736,-2.703637844122736,0,0.4068965517241379,-0.3978542149549151,0.4794845551099851,0.0029879342913816816,0.0978858620689655,False,False
BTC,4h,F1_prob_sized,4,-63.92978145119934,398,-0.9428501186178927,-2.160135141235253,2,0.5492260194307608,-0.14597616519425072,0.5151364650700937,-0.13987736703794224,0.469315999846059,False,False
BTC,4h,F3_cvd_60s_z1.5_fade,4,-72.25210567966931,66,-0.21209497156076507,-1.5180954252279688,1,0.48621323529411764,-1.1252740492251234,,-0.19786980147044683,0.9,False,False
ETH,4h,F1_prob_sized,4,-87.61438148775987,419,-0.978297745844183,-1.9582747826739555,0,0.5501838369776741,-0.1932730812208453,0.5184460124678805,-0.04660564059298568,0.45403427721184414,False,False
BTC,4h,F3_cvd_60s_z1.0_fade,4,-90.92786238110992,83,-0.7394781327955102,-1.8197601845201365,1,0.4589285714285714,-1.0468124302305954,,-0.053010142797471085,0.8999999999999998,False,False
BTC,1h,F1_prob_sized,4,-91.8884766813406,1116,-1.7166328754566196,-4.424827610501796,0,0.5575090862613789,-0.0906849046171533,0.5306762418012839,-0.06946691484418928,0.3901889895178667,False,False
BTC,1h,F2_ensemble,4,-102.50833897518535,2180,-1.9574116077996788,-3.7844102175877774,1,0.5790598676794372,-0.03585243675204068,0.5341785821859176,-0.03929729607767589,0.2515123993761796,False,False
ETH,15m,F1_prob_sized,4,-107.77523121589287,1797,-5.630903321167576,-8.262248327513332,0,0.5901301794160148,-0.062124170853136595,0.5391017562781754,-0.001872829933867901,0.2600790202655756,False,False
ETH,1h,F1_prob_sized,4,-127.89565261753054,1414,-2.443152908514347,-6.186635973898176,1,0.5523270236839956,-0.08504378512030358,0.5393020639320312,-0.007618451947271815,0.327197135802255,False,False
ETH,1h,F3_rsi_14_z1.5_fade,4,-130.0812385895222,281,-0.5964046047174184,-1.4171806642088345,1,0.46250496943989783,-0.4756603466835043,,-0.0900845605179053,0.9000000000000001,False,False
ETH,15m,F3_rf_band_pos_z1.0_momentum,4,-159.92499912676462,1596,-0.49657884212119824,-1.4449655214879995,1,0.466235498549855,-0.10008243646034376,,0.010028943993587976,0.9000000000000002,False,False
BTC,15m,F3_rf_band_pos_z1.5_fade,4,-159.9649315772133,1113,-1.1536264812518071,-3.698889556865268,2,0.4656634917442606,-0.14388841545312547,,0.04048107884902868,0.9000000000000001,False,False
