slug,slot_start_us,outcome
btc-updown-15m-1787320800,1787320800000000,Down
btc-updown-15m-1787321700,1787321700000000,Up
btc-updown-15m-1787322600,1787322600000000,Up
btc-updown-15m-1787323500,1787323500000000,Up
btc-updown-15m-1787324400,1787324400000000,Up
btc-updown-15m-1787325300,1787325300000000,Down
btc-updown-15m-1787326200,1787326200000000,Down
btc-updown-15m-1787327100,1787327100000000,Down
btc-updown-15m-1787328000,1787328000000000,Down
btc-updown-15m-1787328900,1787328900000000,Up
btc-updown-15m-1787329800,1787329800000000,Down
btc-updown-15m-1787330700,1787330700000000,Up
btc-updown-15m-1787331600,1787331600000000,Up
btc-updown-15m-1787332500,1787332500000000,Down
btc-updown-15m-1787333400,1787333400000000,Down
btc-updown-15m-1787334300,1787334300000000,Up
btc-updown-15m-1787335200,1787335200000000,Down
btc-updown-15m-1787336100,1787336100000000,Up
btc-updown-15m-1787337000,1787337000000000,Down
btc-updown-15m-1787337900,1787337900000000,Up
btc-updown-15m-1787338800,1787338800000000,Up
btc-updown-15m-1787339700,1787339700000000,Up
btc-updown-15m-1787340600,1787340600000000,Down
btc-updown-15m-1787341500,1787341500000000,Down
btc-updown-15m-1787342400,1787342400000000,Up
btc-updown-15m-1787343300,1787343300000000,Up
btc-updown-15m-1787344200,1787344200000000,Up
btc-updown-15m-1787345100,1787345100000000,Up
btc-updown-15m-1787346000,1787346000000000,Up
btc-updown-15m-1787346900,1787346900000000,Up
btc-updown-15m-1787347800,1787347800000000,Up
btc-updown-15m-1787348700,1787348700000000,Up
btc-updown-15m-1787349600,1787349600000000,Up
btc-updown-15m-1787350500,1787350500000000,Down
btc-updown-15m-1787351400,1787351400000000,Up
btc-updown-15m-1787352300,1787352300000000,Down
btc-updown-15m-1787353200,1787353200000000,Up
btc-updown-15m-1787354100,1787354100000000,Down
btc-updown-15m-1787355000,1787355000000000,Down
btc-updown-15m-1787355900,1787355900000000,Down
btc-updown-15m-1787356800,1787356800000000,Down
btc-updown-15m-1787357700,1787357700000000,Up
btc-updown-15m-1787358600,1787358600000000,Down
btc-updown-15m-1787359500,1787359500000000,Up
btc-updown-15m-1787360400,1787360400000000,Up
btc-updown-15m-1787361300,1787361300000000,Down
btc-updown-15m-1787362200,1787362200000000,Down
btc-updown-15m-1787363100,1787363100000000,Up
btc-updown-15m-1787364000,1787364000000000,Up
btc-updown-15m-1787364900,1787364900000000,Up
btc-updown-15m-1787365800,1787365800000000,Up
btc-updown-15m-1787366700,1787366700000000,Down
btc-updown-15m-1787367600,1787367600000000,Down
btc-updown-15m-1787368500,1787368500000000,Up
btc-updown-15m-1787369400,1787369400000000,Down
btc-updown-15m-1787370300,1787370300000000,Down
btc-updown-15m-1787371200,1787371200000000,Down
btc-updown-15m-1787372100,1787372100000000,Up
btc-updown-15m-1787373000,1787373000000000,Up
btc-updown-15m-1787373900,1787373900000000,Down
btc-updown-15m-1787374800,1787374800000000,Down
btc-updown-15m-1787375700,1787375700000000,Down
btc-updown-15m-1787376600,1787376600000000,Down
btc-updown-15m-1787377500,1787377500000000,Up
btc-updown-15m-1787378400,1787378400000000,Down
btc-updown-15m-1787379300,1787379300000000,Up
btc-updown-15m-1787380200,1787380200000000,Up
btc-updown-15m-1787381100,1787381100000000,Up
btc-updown-15m-1787382000,1787382000000000,Down
btc-updown-15m-1787382900,1787382900000000,Up
btc-updown-15m-1787383800,1787383800000000,Down
btc-updown-15m-1787384700,1787384700000000,Down
btc-updown-15m-1787385600,1787385600000000,Up
btc-updown-15m-1787386500,1787386500000000,Down
btc-updown-15m-1787387400,1787387400000000,Up
btc-updown-15m-1787388300,1787388300000000,Down
btc-updown-15m-1787389200,1787389200000000,Up
btc-updown-15m-1787390100,1787390100000000,Down
btc-updown-15m-1787391000,1787391000000000,Down
btc-updown-15m-1787391900,1787391900000000,Down
btc-updown-15m-1787392800,1787392800000000,Down
btc-updown-15m-1787393700,1787393700000000,Up
btc-updown-15m-1787394600,1787394600000000,Up
btc-updown-15m-1787395500,1787395500000000,Down
btc-updown-15m-1787396400,1787396400000000,Down
btc-updown-15m-1787397300,1787397300000000,Up
btc-updown-15m-1787398200,1787398200000000,Up
btc-updown-15m-1787399100,1787399100000000,Down
btc-updown-15m-1787400000,1787400000000000,Up
btc-updown-15m-1787400900,1787400900000000,Up
btc-updown-15m-1787401800,1787401800000000,Up
btc-updown-15m-1787402700,1787402700000000,Down
btc-updown-15m-1787403600,1787403600000000,Down
btc-updown-15m-1787404500,1787404500000000,Down
btc-updown-15m-1787405400,1787405400000000,Down
btc-updown-15m-1787406300,1787406300000000,Up
btc-updown-15m-1787407200,1787407200000000,Down
btc-updown-15m-1787408100,1787408100000000,Up
btc-updown-15m-1787409000,1787409000000000,Down
btc-updown-15m-1787409900,1787409900000000,Up
btc-updown-15m-1787410800,1787410800000000,Down
btc-updown-15m-1787411700,1787411700000000,Up
btc-updown-15m-1787412600,1787412600000000,Up
btc-updown-15m-1787413500,1787413500000000,Down
btc-updown-15m-1787414400,1787414400000000,Up
btc-updown-15m-1787415300,1787415300000000,Up
btc-updown-15m-1787416200,1787416200000000,Up
btc-updown-15m-1787417100,1787417100000000,Down
btc-updown-15m-1787418000,1787418000000000,Down
btc-updown-15m-1787418900,1787418900000000,Down
btc-updown-15m-1787419800,1787419800000000,Up
btc-updown-15m-1787420700,1787420700000000,Up
btc-updown-15m-1787421600,1787421600000000,Down
btc-updown-15m-1787422500,1787422500000000,Up
btc-updown-15m-1787423400,1787423400000000,Down
btc-updown-15m-1787424300,1787424300000000,Up
