event_type,sleeve_id,asset,tf,direction,slug,fire_us,slot_start_us,fire_offset_s,fill_vwap,fill_shares,placed_size_usd,intended_size_usd,outcome,pnl_usd,book_source,exit_type,won,up_vwap,dn_vwap
sleeve_fire_placed,poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,15m,UP,btc-updown-15m-1779892200,1779893040000000,1779892200000000,840,0.5,10.0,5.0,5.0,,,,,,,0.06946334939676511
sleeve_fire_resolved,poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,15m,UP,btc-updown-15m-1779892200,1779893100000000,1779892200000000,840,0.5,10.0,5.0,5.0,Up,4.9,,,,,0.06946334939676511
sleeve_fire_placed,poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,15m,DOWN,btc-updown-15m-1779893100,1779893940000000,1779893100000000,840,0.8217821782178217,6.0843373493975905,5.0,5.0,,,,,,0.29064019751553344,0.9415049165863075
sleeve_fire_resolved,poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,15m,DOWN,btc-updown-15m-1779893100,1779894000000000,1779893100000000,840,0.8217821782178217,6.0843373493975905,5.0,5.0,Down,1.062650602409639,,,,0.29064019751553344,0.9415049165863075
sleeve_fire_placed,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,15m,DOWN,btc-updown-15m-1779895800,1779896400000000,1779895800000000,600,0.28,17.857142857142854,5.0,5.0,,,,,,0.8638913094138307,0.39604938154760266
sleeve_fire_placed,poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,15m,DOWN,btc-updown-15m-1779895800,1779896640000000,1779895800000000,840,0.5,10.0,5.0,5.0,,,,,,0.10026353515841045,
sleeve_fire_resolved,poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,15m,DOWN,btc-updown-15m-1779895800,1779896700000000,1779895800000000,840,0.5,10.0,5.0,5.0,Down,4.9,,,,0.10026353515841045,
sleeve_fire_resolved,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,15m,DOWN,btc-updown-15m-1779895800,1779896700000000,1779895800000000,600,0.28,17.857142857142854,5.0,5.0,Down,12.599999999999996,,,,0.8638913094138307,0.39604938154760266
sleeve_fire_placed,poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,15m,DOWN,btc-updown-15m-1779896700,1779897300000000,1779896700000000,600,0.19,26.31578947368421,5.0,5.0,,,,,,0.9341185302857914,0.3144840798857937
sleeve_fire_placed,poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,15m,DOWN,btc-updown-15m-1779897600,1779898440000000,1779897600000000,840,0.9,5.555555555555555,5.0,5.0,,,ws_mirror,,,0.19755176560910395,0.9587737328207169
