event_type,sleeve_id,asset,tf,direction,slug,fire_us,slot_start_us,fire_offset_s,fill_vwap,fill_shares,placed_size_usd,intended_size_usd,outcome,pnl_usd,book_source,exit_type,won,up_vwap,dn_vwap
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,UP,eth-updown-5m-1779894300,1779894390000000,1779894300000000,90,0.75,6.666666666666667,5.0,5.0,,,,,,0.9065615463217594,0.3838317868311524
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,UP,eth-updown-5m-1779894300,1779894600000000,1779894300000000,90,0.75,6.666666666666667,5.0,5.0,Up,1.6333333333333333,,,,0.9065615463217594,0.3838317868311524
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,UP,eth-updown-5m-1779894900,1779894990000000,1779894900000000,90,0.58,8.620689655172415,5.0,5.0,,,,,,0.6803416313321917,0.5491441977879356
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,UP,eth-updown-5m-1779894900,1779895200000000,1779894900000000,90,0.58,8.620689655172415,5.0,5.0,Up,3.5482758620689663,,,,0.6803416313321917,0.5491441977879356
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,DOWN,eth-updown-5m-1779895500,1779895590000000,1779895500000000,90,0.68,7.352941176470588,5.0,5.0,,,,,,0.4686176001042582,0.7682401735696572
sleeve_fire_placed,poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,15m,UP,eth-updown-15m-1779897600,1779897660000000,1779897600000000,60,0.61,8.19672131147541,5.0,5.0,,,ws_mirror,,,0.7516966779439509,0.4790107574968818
sleeve_fire_resolved,poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,15m,UP,eth-updown-15m-1779897600,1779898500000000,1779897600000000,60,0.61,8.19672131147541,5.0,5.0,Down,-4.999999999999999,ws_mirror,,False,0.7516966779439509,0.4790107574968818
sleeve_fire_placed,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,DOWN,eth-updown-5m-1779898500,1779898590000000,1779898500000000,90,0.78,6.41025641025641,5.0,5.0,,,ws_mirror,,,0.33301800381192664,0.95563799176939
sleeve_fire_resolved,poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,ETH,5m,DOWN,eth-updown-5m-1779898500,1779898800000000,1779898500000000,90,0.78,6.41025641025641,5.0,5.0,Down,1.3820512820512816,ws_mirror,,True,0.33301800381192664,0.95563799176939
sleeve_fire_placed,poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,15m,DOWN,eth-updown-15m-1779902100,1779902130000000,1779902100000000,30,0.6,8.333333333333334,5.0,5.0,,,ws_mirror,,,0.523388392507624,0.7006743764906804
