sleeve,filter,n,wr,avg,sum
btc_15m_v1,NO_FILTER,47,57.45,2.832,133.1
btc_15m_v1,F7_only,25,60.0,4.964,124.09
btc_15m_v1,MARKOV:w20_1m_voladaptive,26,61.54,5.438,141.38
btc_15m_v1,F7+MARKOV:w20_1m_voladaptive,20,65.0,7.474,149.47
btc_15m_v1,MARKOV:w20_5m_voladaptive,13,69.23,10.031,130.4
btc_15m_v1,F7+MARKOV:w20_5m_voladaptive,11,63.64,7.377,81.14
btc_15m_v1,MARKOV:w20_1m_fixed,18,50.0,-0.248,-4.46
btc_15m_v1,F7+MARKOV:w20_1m_fixed,15,53.33,1.61,24.16
btc_15m_v1,MARKOV:w20_5m_fixed,10,50.0,0.097,0.97
btc_15m_v1,F7+MARKOV:w20_5m_fixed,8,50.0,0.216,1.73
btc_15m_v2,NO_FILTER,64,51.56,-0.354,-22.68
btc_15m_v2,F7_only,33,51.52,-0.037,-1.22
btc_15m_v2,MARKOV:w20_1m_voladaptive,42,52.38,0.353,14.85
btc_15m_v2,F7+MARKOV:w20_1m_voladaptive,29,51.72,0.06,1.74
btc_15m_v2,MARKOV:w20_5m_voladaptive,22,50.0,-0.748,-16.46
btc_15m_v2,F7+MARKOV:w20_5m_voladaptive,15,53.33,0.977,14.66
btc_15m_v2,MARKOV:w20_1m_fixed,18,50.0,-0.729,-13.12
btc_15m_v2,F7+MARKOV:w20_1m_fixed,17,52.94,0.749,12.73
btc_15m_v2,MARKOV:w20_5m_fixed,14,42.86,-4.286,-60.0
btc_15m_v2,F7+MARKOV:w20_5m_fixed,9,55.56,2.262,20.36
btc_5m_v1,NO_FILTER,161,49.07,-1.351,-217.45
btc_5m_v1,F7_only,97,47.42,-1.855,-179.95
btc_5m_v1,MARKOV:w20_1m_voladaptive,93,46.24,-2.682,-249.46
btc_5m_v1,F7+MARKOV:w20_1m_voladaptive,70,45.71,-2.858,-200.04
btc_5m_v1,MARKOV:w20_5m_voladaptive,49,51.02,-0.154,-7.52
btc_5m_v1,F7+MARKOV:w20_5m_voladaptive,40,47.5,-1.864,-74.56
btc_5m_v1,MARKOV:w20_1m_fixed,43,46.51,-1.894,-81.45
btc_5m_v1,F7+MARKOV:w20_1m_fixed,42,45.24,-2.514,-105.58
btc_5m_v1,MARKOV:w20_5m_fixed,32,37.5,-6.669,-213.39
btc_5m_v1,F7+MARKOV:w20_5m_fixed,28,35.71,-7.457,-208.8
btc_5m_v2,NO_FILTER,205,47.8,-1.882,-385.83
btc_5m_v2,F7_only,129,49.61,-0.667,-86.01
btc_5m_v2,MARKOV:w20_1m_voladaptive,110,49.09,-1.135,-124.88
btc_5m_v2,F7+MARKOV:w20_1m_voladaptive,87,49.43,-0.887,-77.21
btc_5m_v2,MARKOV:w20_5m_voladaptive,70,41.43,-4.91,-343.7
btc_5m_v2,F7+MARKOV:w20_5m_voladaptive,55,40.0,-5.489,-301.88
btc_5m_v2,MARKOV:w20_1m_fixed,65,47.69,-1.315,-85.49
btc_5m_v2,F7+MARKOV:w20_1m_fixed,65,47.69,-1.315,-85.49
btc_5m_v2,MARKOV:w20_5m_fixed,51,37.25,-6.792,-346.4
btc_5m_v2,F7+MARKOV:w20_5m_fixed,42,35.71,-7.399,-310.77
eth_5m_v1,NO_FILTER,11,36.36,-8.287,-91.16
eth_5m_v1,F7_only,7,14.29,-18.472,-129.3
eth_5m_v1,MARKOV:w20_1m_voladaptive,5,20.0,-15.497,-77.49
eth_5m_v1,F7+MARKOV:w20_1m_voladaptive,4,25.0,-12.881,-51.52
eth_5m_v1,MARKOV:w20_5m_voladaptive,5,20.0,-15.497,-77.49
eth_5m_v1,F7+MARKOV:w20_5m_voladaptive,4,25.0,-12.881,-51.52
eth_5m_v1,MARKOV:w20_1m_fixed,5,20.0,-15.5,-77.5
eth_5m_v1,F7+MARKOV:w20_1m_fixed,5,20.0,-15.5,-77.5
eth_5m_v1,MARKOV:w20_5m_fixed,3,33.33,-8.549,-25.65
eth_5m_v1,F7+MARKOV:w20_5m_fixed,3,33.33,-8.549,-25.65
eth_5m_v2,NO_FILTER,25,40.0,-6.142,-153.54
eth_5m_v2,F7_only,17,35.29,-7.93,-134.81
eth_5m_v2,MARKOV:w20_1m_voladaptive,14,35.71,-7.793,-109.1
eth_5m_v2,F7+MARKOV:w20_1m_voladaptive,13,38.46,-6.404,-83.26
eth_5m_v2,MARKOV:w20_5m_voladaptive,10,50.0,-0.692,-6.92
eth_5m_v2,F7+MARKOV:w20_5m_voladaptive,9,44.44,-3.249,-29.24
eth_5m_v2,MARKOV:w20_1m_fixed,8,37.5,-6.718,-53.75
eth_5m_v2,F7+MARKOV:w20_1m_fixed,8,37.5,-6.718,-53.75
eth_5m_v2,MARKOV:w20_5m_fixed,7,42.86,-4.126,-28.88
eth_5m_v2,F7+MARKOV:w20_5m_fixed,7,42.86,-4.126,-28.88
