filter,n,wr,avg,sum,week,date_min,date_max
NO_FILTER,30,40.0,-5.465,-163.94,17,2026-04-26,2026-04-26
F7_only,24,33.33,-8.314,-199.54,17,2026-04-26,2026-04-26
MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0,17,2026-04-26,2026-04-26
F7+MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0,17,2026-04-26,2026-04-26
MARKOV:w20_5m_voladaptive,0,0.0,0.0,0.0,17,2026-04-26,2026-04-26
F7+MARKOV:w20_5m_voladaptive,0,0.0,0.0,0.0,17,2026-04-26,2026-04-26
MARKOV:w20_1m_fixed,18,22.22,-13.895,-250.1,17,2026-04-26,2026-04-26
F7+MARKOV:w20_1m_fixed,18,22.22,-13.895,-250.1,17,2026-04-26,2026-04-26
MARKOV:w20_5m_fixed,3,33.33,-8.185,-24.56,17,2026-04-26,2026-04-26
F7+MARKOV:w20_5m_fixed,3,33.33,-8.185,-24.56,17,2026-04-26,2026-04-26
NO_FILTER,157,49.68,-1.106,-173.57,18,2026-04-28,2026-05-03
F7_only,94,52.13,0.574,53.93,18,2026-04-28,2026-05-03
MARKOV:w20_1m_voladaptive,56,51.79,0.004,0.24,18,2026-04-28,2026-05-03
F7+MARKOV:w20_1m_voladaptive,46,52.17,0.315,14.48,18,2026-04-28,2026-05-03
MARKOV:w20_5m_voladaptive,16,43.75,-3.798,-60.77,18,2026-04-28,2026-05-03
F7+MARKOV:w20_5m_voladaptive,16,43.75,-3.798,-60.77,18,2026-04-28,2026-05-03
MARKOV:w20_1m_fixed,43,60.47,5.055,217.34,18,2026-04-28,2026-05-03
F7+MARKOV:w20_1m_fixed,43,60.47,5.055,217.34,18,2026-04-28,2026-05-03
MARKOV:w20_5m_fixed,28,35.71,-7.379,-206.62,18,2026-04-28,2026-05-03
F7+MARKOV:w20_5m_fixed,24,41.67,-4.297,-103.12,18,2026-04-28,2026-05-03
NO_FILTER,223,47.53,-2.085,-465.04,19,2026-05-04,2026-05-10
F7_only,131,47.33,-1.887,-247.19,19,2026-05-04,2026-05-10
MARKOV:w20_1m_voladaptive,160,45.0,-3.136,-501.8,19,2026-05-04,2026-05-10
F7+MARKOV:w20_1m_voladaptive,121,45.45,-2.798,-338.52,19,2026-05-04,2026-05-10
MARKOV:w20_5m_voladaptive,103,47.57,-1.739,-179.17,19,2026-05-04,2026-05-10
F7+MARKOV:w20_5m_voladaptive,79,48.1,-1.344,-106.2,19,2026-05-04,2026-05-10
MARKOV:w20_1m_fixed,63,47.62,-1.471,-92.7,19,2026-05-04,2026-05-10
F7+MARKOV:w20_1m_fixed,60,46.67,-1.901,-114.07,19,2026-05-04,2026-05-10
MARKOV:w20_5m_fixed,58,46.55,-2.133,-123.7,19,2026-05-04,2026-05-10
F7+MARKOV:w20_5m_fixed,46,45.65,-2.458,-113.09,19,2026-05-04,2026-05-10
NO_FILTER,106,52.83,0.373,39.49,20,2026-05-11,2026-05-15
F7_only,61,50.82,-0.23,-14.05,20,2026-05-11,2026-05-15
MARKOV:w20_1m_voladaptive,77,53.25,0.927,71.35,20,2026-05-11,2026-05-15
F7+MARKOV:w20_1m_voladaptive,58,53.45,1.096,63.57,20,2026-05-11,2026-05-15
MARKOV:w20_5m_voladaptive,52,48.08,-1.565,-81.4,20,2026-05-11,2026-05-15
F7+MARKOV:w20_5m_voladaptive,41,41.46,-4.734,-194.1,20,2026-05-11,2026-05-15
MARKOV:w20_1m_fixed,34,41.18,-4.827,-164.13,20,2026-05-11,2026-05-15
F7+MARKOV:w20_1m_fixed,32,43.75,-3.513,-112.42,20,2026-05-11,2026-05-15
MARKOV:w20_5m_fixed,29,31.03,-10.079,-292.3,20,2026-05-11,2026-05-15
F7+MARKOV:w20_5m_fixed,25,28.0,-11.403,-285.07,20,2026-05-11,2026-05-15
