sleeve,filter,n,wr%,avg$,sum$,keep%
btc_15m_v1,NO_FILTER,47,57.45,2.832,133.1,100.0
btc_15m_v1,F7_only,15,60.0,3.962,59.42,31.9
btc_15m_v1,MARKOV:w20_1m_voladaptive,26,61.54,5.438,141.38,55.3
btc_15m_v1,MARKOV:w20_1m_fixed,18,50.0,-0.248,-4.46,38.3
btc_15m_v1,MARKOV:w20_5m_voladaptive,13,69.23,10.031,130.4,27.7
btc_15m_v1,MARKOV:w20_5m_fixed,10,50.0,0.097,0.97,21.3
btc_15m_v1,F7+MARKOV:w20_1m_voladaptive,9,66.67,8.085,72.76,19.1
btc_15m_v1,F7+MARKOV:w20_1m_fixed,7,42.86,-4.23,-29.61,14.9
btc_15m_v1,F7+MARKOV:w20_5m_voladaptive,4,75.0,12.517,50.07,8.5
btc_15m_v1,F7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0,0.0
btc_15m_v1,notF7,32,56.25,2.302,73.68,68.1
btc_15m_v1,notF7+MARKOV:w20_1m_voladaptive,17,58.82,4.036,68.62,36.2
btc_15m_v1,notF7+MARKOV:w20_5m_voladaptive,9,66.67,8.926,80.33,19.1
btc_15m_v2,NO_FILTER,64,51.56,-0.354,-22.68,100.0
btc_15m_v2,F7_only,12,33.33,-9.203,-110.44,18.8
btc_15m_v2,MARKOV:w20_1m_voladaptive,42,52.38,0.353,14.85,65.6
btc_15m_v2,MARKOV:w20_1m_fixed,18,50.0,-0.729,-13.12,28.1
btc_15m_v2,MARKOV:w20_5m_voladaptive,22,50.0,-0.748,-16.46,34.4
btc_15m_v2,MARKOV:w20_5m_fixed,14,42.86,-4.286,-60.0,21.9
btc_15m_v2,F7+MARKOV:w20_1m_voladaptive,10,30.0,-10.771,-107.71,15.6
btc_15m_v2,F7+MARKOV:w20_1m_fixed,4,25.0,-13.396,-53.59,6.2
btc_15m_v2,F7+MARKOV:w20_5m_voladaptive,4,50.0,-1.133,-4.53,6.2
btc_15m_v2,F7+MARKOV:w20_5m_fixed,3,33.33,-9.553,-28.66,4.7
btc_15m_v2,notF7,52,55.77,1.688,87.76,81.2
btc_15m_v2,notF7+MARKOV:w20_1m_voladaptive,32,59.38,3.83,122.56,50.0
btc_15m_v2,notF7+MARKOV:w20_5m_voladaptive,18,50.0,-0.662,-11.92,28.1
btc_5m_v1,NO_FILTER,161,49.07,-1.351,-217.45,100.0
btc_5m_v1,F7_only,95,42.11,-4.529,-430.29,59.0
btc_5m_v1,MARKOV:w20_1m_voladaptive,93,46.24,-2.682,-249.46,57.8
btc_5m_v1,MARKOV:w20_1m_fixed,43,46.51,-1.894,-81.45,26.7
btc_5m_v1,MARKOV:w20_5m_voladaptive,49,51.02,-0.154,-7.52,30.4
