cell,filter,n,wr,avg,pnl,keep%
btc_15m_v1,NO_FILTER,47,57.45,2.832,133.1,9.1
btc_15m_v1,F7_only,26,50.0,-0.171,-4.45,5.0
btc_15m_v1,MARKOV_only:w20_1m_voladaptive,26,61.54,5.438,141.38,5.0
btc_15m_v1,F7+MARKOV:w20_1m_voladaptive,19,57.89,3.825,72.67,3.7
btc_15m_v1,MARKOV_only:w20_1m_fixed,18,50.0,-0.248,-4.46,3.5
btc_15m_v1,F7+MARKOV:w20_1m_fixed,16,50.0,-0.11,-1.76,3.1
btc_15m_v1,MARKOV_only:w20_5m_voladaptive,13,69.23,10.031,130.4,2.5
btc_15m_v1,F7+MARKOV:w20_5m_voladaptive,10,60.0,5.538,55.38,1.9
btc_15m_v1,MARKOV_only:w20_5m_fixed,10,50.0,0.097,0.97,1.9
btc_15m_v1,F7+MARKOV:w20_5m_fixed,8,37.5,-6.24,-49.92,1.6
btc_15m_v2,NO_FILTER,64,51.56,-0.354,-22.68,12.4
btc_15m_v2,F7_only,43,51.16,-0.347,-14.9,8.3
btc_15m_v2,MARKOV_only:w20_1m_voladaptive,42,52.38,0.353,14.85,8.1
btc_15m_v2,F7+MARKOV:w20_1m_voladaptive,35,51.43,-0.137,-4.81,6.8
btc_15m_v2,MARKOV_only:w20_1m_fixed,18,50.0,-0.729,-13.12,3.5
btc_15m_v2,F7+MARKOV:w20_1m_fixed,17,52.94,0.749,12.73,3.3
btc_15m_v2,MARKOV_only:w20_5m_voladaptive,22,50.0,-0.748,-16.46,4.3
btc_15m_v2,F7+MARKOV:w20_5m_voladaptive,16,43.75,-3.812,-60.99,3.1
btc_15m_v2,MARKOV_only:w20_5m_fixed,14,42.86,-4.286,-60.0,2.7
btc_15m_v2,F7+MARKOV:w20_5m_fixed,10,40.0,-5.528,-55.28,1.9
btc_5m_v1,NO_FILTER,161,49.07,-1.351,-217.45,31.2
btc_5m_v1,F7_only,94,46.81,-2.121,-199.34,18.2
btc_5m_v1,MARKOV_only:w20_1m_voladaptive,93,46.24,-2.682,-249.46,18.0
btc_5m_v1,F7+MARKOV:w20_1m_voladaptive,70,45.71,-2.83,-198.08,13.6
btc_5m_v1,MARKOV_only:w20_1m_fixed,43,46.51,-1.894,-81.45,8.3
btc_5m_v1,F7+MARKOV:w20_1m_fixed,41,48.78,-0.724,-29.67,7.9
btc_5m_v1,MARKOV_only:w20_5m_voladaptive,49,51.02,-0.154,-7.52,9.5
btc_5m_v1,F7+MARKOV:w20_5m_voladaptive,33,51.52,0.281,9.27,6.4
btc_5m_v1,MARKOV_only:w20_5m_fixed,32,37.5,-6.669,-213.39,6.2
btc_5m_v1,F7+MARKOV:w20_5m_fixed,24,41.67,-4.314,-103.53,4.7
btc_5m_v2,NO_FILTER,205,47.8,-1.882,-385.83,39.7
btc_5m_v2,F7_only,146,48.63,-1.241,-181.12,28.3
btc_5m_v2,MARKOV_only:w20_1m_voladaptive,110,49.09,-1.135,-124.88,21.3
btc_5m_v2,F7+MARKOV:w20_1m_voladaptive,99,49.49,-0.92,-91.1,19.2
btc_5m_v2,MARKOV_only:w20_1m_fixed,65,47.69,-1.315,-85.49,12.6
btc_5m_v2,F7+MARKOV:w20_1m_fixed,63,47.62,-1.329,-83.73,12.2
btc_5m_v2,MARKOV_only:w20_5m_voladaptive,70,41.43,-4.91,-343.7,13.6
btc_5m_v2,F7+MARKOV:w20_5m_voladaptive,52,40.38,-5.326,-276.97,10.1
btc_5m_v2,MARKOV_only:w20_5m_fixed,51,37.25,-6.792,-346.4,9.9
btc_5m_v2,F7+MARKOV:w20_5m_fixed,38,39.47,-5.501,-209.02,7.4
eth_5m_v1,NO_FILTER,11,36.36,-8.287,-91.16,2.1
eth_5m_v1,F7_only,7,14.29,-18.472,-129.3,1.4
eth_5m_v1,MARKOV_only:w20_1m_voladaptive,5,20.0,-15.497,-77.49,1.0
eth_5m_v1,F7+MARKOV:w20_1m_voladaptive,4,25.0,-12.881,-51.52,0.8
eth_5m_v1,MARKOV_only:w20_1m_fixed,5,20.0,-15.5,-77.5,1.0
eth_5m_v1,F7+MARKOV:w20_1m_fixed,5,20.0,-15.5,-77.5,1.0
eth_5m_v1,MARKOV_only:w20_5m_voladaptive,5,20.0,-15.497,-77.49,1.0
eth_5m_v1,F7+MARKOV:w20_5m_voladaptive,4,25.0,-12.881,-51.52,0.8
eth_5m_v1,MARKOV_only:w20_5m_fixed,3,33.33,-8.549,-25.65,0.6
eth_5m_v1,F7+MARKOV:w20_5m_fixed,3,33.33,-8.549,-25.65,0.6
eth_5m_v2,NO_FILTER,25,40.0,-6.142,-153.54,4.8
eth_5m_v2,F7_only,18,33.33,-8.925,-160.65,3.5
eth_5m_v2,MARKOV_only:w20_1m_voladaptive,14,35.71,-7.793,-109.1,2.7
eth_5m_v2,F7+MARKOV:w20_1m_voladaptive,14,35.71,-7.793,-109.1,2.7
eth_5m_v2,MARKOV_only:w20_1m_fixed,8,37.5,-6.718,-53.75,1.6
eth_5m_v2,F7+MARKOV:w20_1m_fixed,8,37.5,-6.718,-53.75,1.6
eth_5m_v2,MARKOV_only:w20_5m_voladaptive,10,50.0,-0.692,-6.92,1.9
eth_5m_v2,F7+MARKOV:w20_5m_voladaptive,9,44.44,-3.249,-29.24,1.7
eth_5m_v2,MARKOV_only:w20_5m_fixed,7,42.86,-4.126,-28.88,1.4
eth_5m_v2,F7+MARKOV:w20_5m_fixed,7,42.86,-4.126,-28.88,1.4
