sleeve,n_base,wr_base,avg_base,sum_base,best_filter,n_best,wr_best,avg_best,sum_best,lift_avg,lift_sum
btc_5m_momo,240,72.08,10.054,2412.9,MARKOV:w20_1m_voladaptive,234,72.65,10.331,2417.34,0.277,4.44
sol_5m_momo_v2,109,73.39,7.303,795.98,MARKOV:w20_1m_fixed,88,90.91,13.828,1216.91,6.525,420.93
eth_5m_momo,161,54.04,6.207,999.39,MARKOV:w20_1m_voladaptive,161,54.04,6.207,999.39,0.0,0.0
btc_5m_volume_INV_NIGHT,343,56.27,2.46,843.64,MARKOV:w20_5m_voladaptive,136,64.71,6.986,950.16,4.526,106.52
sol_5m_momo,60,70.0,9.273,556.41,MARKOV:w20_1m_fixed,30,100.0,24.344,730.33,15.071,173.92
eth_15m_momo_v2,90,64.44,7.265,653.88,MARKOV:w20_1m_voladaptive,90,64.44,7.265,653.88,0.0,0.0
btc_15m_momo,30,80.0,15.634,469.02,F7_only,30,80.0,15.634,469.02,0.0,0.0
eth_5m_v3_2,20,100.0,23.305,466.1,F7_only,20,100.0,23.305,466.1,0.0,0.0
eth_5m_v3_3,20,100.0,23.305,466.1,F7_only,20,100.0,23.305,466.1,0.0,0.0
btc_5m_momo_v2,438,42.01,-2.536,-1110.67,MARKOV:w20_1m_fixed,200,52.0,2.101,420.16,4.637,1530.83
eth_5m_v3,19,100.0,23.264,442.01,F7_only,18,100.0,23.279,419.02,0.015,-22.99
sol_15m_sniper,117,55.56,-1.27,-148.57,MARKOV:w20_5m_fixed,16,100.0,24.578,393.25,25.848,541.82
eth_5m_sniper_DOWN_INV,56,62.5,3.69,206.64,MARKOV:w20_5m_voladaptive,16,100.0,21.345,341.52,17.655,134.88
eth_5m_sniper,105,54.29,3.126,328.23,MARKOV:w20_5m_voladaptive,49,71.43,6.408,313.98,3.282,-14.25
eth_5m_volume_INV_NIGHT,170,59.41,3.429,582.96,MARKOV:w20_5m_voladaptive,60,61.67,4.819,289.17,1.39,-293.79
eth_5m_v3_1,12,100.0,23.526,282.31,F7_only,12,100.0,23.526,282.31,0.0,0.0
eth_5m_v4,12,100.0,23.526,282.31,F7_only,12,100.0,23.526,282.31,0.0,0.0
sol_5m_v3_1,17,76.47,10.624,180.62,MARKOV:w20_1m_voladaptive,16,81.25,12.882,206.11,2.258,25.49
btc_5m_sniper,315,53.33,-1.815,-571.88,MARKOV:w20_1m_fixed,116,58.62,1.753,203.38,3.568,775.26
sol_5m_v3_3,14,78.57,11.306,158.29,F7_only,14,78.57,11.306,158.29,0.0,0.0
sol_5m_v3_2,14,78.57,11.306,158.29,F7_only,14,78.57,11.306,158.29,0.0,0.0
sol_5m_v4,14,78.57,11.306,158.29,F7_only,14,78.57,11.306,158.29,0.0,0.0
sol_5m_v3,19,68.42,6.855,130.24,MARKOV:w20_1m_voladaptive,18,72.22,8.652,155.74,1.797,25.5
sol_5m_sniper_INV,69,52.17,-0.796,-54.9,MARKOV:w20_5m_voladaptive,17,70.59,8.238,140.04,9.034,194.94
eth_15m_sniper,99,66.67,-2.276,-225.29,MARKOV:w20_5m_fixed,12,66.67,8.501,102.01,10.777,327.3
sol_5m_sniper,77,42.86,-3.191,-245.72,MARKOV:w20_5m_fixed,26,30.77,3.754,97.59,6.945,343.31
sol_5m_volume_INV_NIGHT,122,64.75,5.27,642.94,MARKOV:w20_5m_voladaptive,41,56.1,1.371,56.2,-3.899,-586.74
btc_5m_v3_1,52,50.0,4.536,235.85,F7_only,43,39.53,0.893,38.4,-3.643,-197.45
btc_5m_v3_2,55,38.18,-1.31,-72.06,F7+MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31,4.047,110.37
btc_5m_v3,59,40.68,-0.614,-36.23,F7+MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31,3.351,74.54
btc_5m_v4,45,46.67,2.887,129.9,MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31,-0.15,-91.59
btc_5m_v3_3,51,41.18,-1.336,-68.14,F7+MARKOV:w20_1m_voladaptive,14,57.14,2.737,38.31,4.073,106.45
eth_5m_momo_v2,115,2.61,-20.247,-2328.41,MARKOV:w20_1m_fixed,20,0.0,-7.139,-142.78,13.108,2185.63
btc_15m_volume_INV_NIGHT,117,32.48,-9.253,-1082.61,MARKOV:w20_5m_fixed,10,0.0,-25.0,-250.0,-15.747,832.61
eth_15m_volume_INV_NIGHT,123,42.28,-4.655,-572.61,MARKOV:w20_5m_fixed,12,0.0,-25.037,-300.44,-20.382,272.17
btc_15m_sniper,155,41.94,-5.084,-788.07,MARKOV:w20_1m_fixed,28,42.86,-11.139,-311.89,-6.055,476.18
btc_15m_momo_v2,65,13.85,-9.797,-636.82,MARKOV:w20_1m_voladaptive,30,20.0,-14.692,-440.75,-4.895,196.07
sol_15m_volume_INV_NIGHT,117,30.77,-10.765,-1259.47,MARKOV:w20_5m_voladaptive,50,28.0,-12.115,-605.73,-1.35,653.74
