fire_us,fire_at,sleeve_id,symbol,tf,signal,condition_id,won,pnl_usd,outcome,cell,version,policy,symbol_tf,regime_w20_1m_voladaptive,regime_w20_1m_fixed,regime_w20_5m_voladaptive,regime_w20_5m_fixed,pass_w20_1m_voladaptive,pass_w20_1m_fixed,pass_w20_5m_voladaptive,pass_w20_5m_fixed
1778113324125900,2026-05-07 00:22:04.125900,poly_updown_btc_5m_momo_SELL,BTC,5m,DOWN,0x161cddc1194d4fdb8a24aad994d70b0b14a707c9fa7da1963efea0066b7a4c88,True,24.5,Down,btc_5m_momo_SELL,v1,SELL,btc_5m,0,1,1,1,True,False,False,False
1778113324129713,2026-05-07 00:22:04.129713,poly_updown_btc_5m_momo_HEDGE,BTC,5m,DOWN,0x161cddc1194d4fdb8a24aad994d70b0b14a707c9fa7da1963efea0066b7a4c88,True,24.5,Down,btc_5m_momo_HEDGE,v1,HEDGE,btc_5m,0,1,1,1,True,False,False,False
1778113324137240,2026-05-07 00:22:04.137240,poly_updown_btc_5m_momo_HOLD,BTC,5m,DOWN,0x161cddc1194d4fdb8a24aad994d70b0b14a707c9fa7da1963efea0066b7a4c88,True,24.5,Down,btc_5m_momo_HOLD,v1,HOLD,btc_5m,0,1,1,1,True,False,False,False
1778114530346025,2026-05-07 00:42:10.346025,poly_updown_sol_5m_momo_HEDGE,SOL,5m,DOWN,0x0703787d4f37a147fb92206b2c503b9883a1acbe1fbc6060808b06f40665fbfc,False,-25.090917,Up,sol_5m_momo_HEDGE,v1,HEDGE,sol_5m,0,1,0,1,True,False,True,False
1778114530354268,2026-05-07 00:42:10.354268,poly_updown_sol_5m_momo_SELL,SOL,5m,DOWN,0x0703787d4f37a147fb92206b2c503b9883a1acbe1fbc6060808b06f40665fbfc,False,-25.090917,Up,sol_5m_momo_SELL,v1,SELL,sol_5m,0,1,0,1,True,False,True,False
1778114530355327,2026-05-07 00:42:10.355327,poly_updown_sol_5m_momo_HOLD,SOL,5m,DOWN,0x0703787d4f37a147fb92206b2c503b9883a1acbe1fbc6060808b06f40665fbfc,False,-25.090917,Up,sol_5m_momo_HOLD,v1,HOLD,sol_5m,0,1,0,1,True,False,True,False
1778115726385433,2026-05-07 01:02:06.385433,poly_updown_btc_5m_momo_SELL,BTC,5m,UP,0xdc7720ebaaa8ae32afe5ad786ef1bce50552d0b29123403fc7544eb5a73bdde7,True,22.61537376,Up,btc_5m_momo_SELL,v1,SELL,btc_5m,1,1,0,1,False,False,False,False
1778115726388079,2026-05-07 01:02:06.388079,poly_updown_btc_5m_momo_HOLD,BTC,5m,UP,0xdc7720ebaaa8ae32afe5ad786ef1bce50552d0b29123403fc7544eb5a73bdde7,True,22.61537376,Up,btc_5m_momo_HOLD,v1,HOLD,btc_5m,1,1,0,1,False,False,False,False
1778115726393428,2026-05-07 01:02:06.393428,poly_updown_btc_5m_momo_HEDGE,BTC,5m,UP,0xdc7720ebaaa8ae32afe5ad786ef1bce50552d0b29123403fc7544eb5a73bdde7,True,-20.65383624,Up,btc_5m_momo_HEDGE,v1,HEDGE,btc_5m,1,1,0,1,False,False,False,False
1778116022764566,2026-05-07 01:07:02.764566,poly_updown_btc_5m_momo_SELL,BTC,5m,DOWN,0xcb635abb005bfc73755579485bf73423a8c289a4147a2ba54cebbae11bb04c03,False,-25.071872,Up,btc_5m_momo_SELL,v1,SELL,btc_5m,0,1,0,1,True,False,True,False
