family,sleeve,filter,n,wr,avg,sum
momo,btc_15m_v1,ALL,30,80.0,15.634,469.02
momo,btc_15m_v1,no_F7 (baseline),3,100.0,27.628,82.88
momo,btc_15m_v1,F7_only,27,77.78,14.301,386.13
momo,btc_15m_v1,MARKOV:w20_1m_voladaptive,30,80.0,15.634,469.02
momo,btc_15m_v1,F7+MARKOV:w20_1m_voladaptive,27,77.78,14.301,386.13
momo,btc_15m_v1,noF7+MARKOV:w20_1m_voladaptive,3,100.0,27.628,82.88
momo,btc_15m_v1,MARKOV:w20_5m_voladaptive,18,66.67,9.723,175.02
momo,btc_15m_v1,F7+MARKOV:w20_5m_voladaptive,15,60.0,6.142,92.13
momo,btc_15m_v1,noF7+MARKOV:w20_5m_voladaptive,3,100.0,27.628,82.88
momo,btc_15m_v1,MARKOV:w20_1m_fixed,12,50.0,0.771,9.25
momo,btc_15m_v1,F7+MARKOV:w20_1m_fixed,12,50.0,0.771,9.25
momo,btc_15m_v1,noF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,btc_15m_v1,MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
momo,btc_15m_v1,F7+MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
momo,btc_15m_v1,noF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,btc_15m_v2,ALL,65,13.85,-9.797,-636.82
momo,btc_15m_v2,no_F7 (baseline),3,100.0,7.845,23.53
momo,btc_15m_v2,F7_only,62,9.68,-10.651,-660.36
momo,btc_15m_v2,MARKOV:w20_1m_voladaptive,30,20.0,-14.692,-440.75
momo,btc_15m_v2,F7+MARKOV:w20_1m_voladaptive,30,20.0,-14.692,-440.75
momo,btc_15m_v2,noF7+MARKOV:w20_1m_voladaptive,0,0.0,0.0,0.0
momo,btc_15m_v2,MARKOV:w20_5m_voladaptive,30,20.0,-14.692,-440.75
momo,btc_15m_v2,F7+MARKOV:w20_5m_voladaptive,30,20.0,-14.692,-440.75
momo,btc_15m_v2,noF7+MARKOV:w20_5m_voladaptive,0,0.0,0.0,0.0
momo,btc_15m_v2,MARKOV:w20_1m_fixed,30,20.0,-14.692,-440.75
momo,btc_15m_v2,F7+MARKOV:w20_1m_fixed,30,20.0,-14.692,-440.75
momo,btc_15m_v2,noF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,btc_15m_v2,MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
momo,btc_15m_v2,F7+MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
momo,btc_15m_v2,noF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,btc_5m_v1,ALL,240,72.08,10.054,2412.9
momo,btc_5m_v1,no_F7 (baseline),15,60.0,4.912,73.68
momo,btc_5m_v1,F7_only,225,72.89,10.397,2339.22
momo,btc_5m_v1,MARKOV:w20_1m_voladaptive,234,72.65,10.331,2417.34
momo,btc_5m_v1,F7+MARKOV:w20_1m_voladaptive,225,72.89,10.397,2339.22
momo,btc_5m_v1,noF7+MARKOV:w20_1m_voladaptive,9,66.67,8.681,78.12
momo,btc_5m_v1,MARKOV:w20_5m_voladaptive,120,75.0,9.25,1109.95
momo,btc_5m_v1,F7+MARKOV:w20_5m_voladaptive,111,75.68,9.296,1031.83
momo,btc_5m_v1,noF7+MARKOV:w20_5m_voladaptive,9,66.67,8.681,78.12
momo,btc_5m_v1,MARKOV:w20_1m_fixed,138,82.61,14.414,1989.09
momo,btc_5m_v1,F7+MARKOV:w20_1m_fixed,138,82.61,14.414,1989.09
momo,btc_5m_v1,noF7+MARKOV:w20_1m_fixed,0,0.0,0.0,0.0
momo,btc_5m_v1,MARKOV:w20_5m_fixed,54,100.0,16.584,895.52
momo,btc_5m_v1,F7+MARKOV:w20_5m_fixed,54,100.0,16.584,895.52
momo,btc_5m_v1,noF7+MARKOV:w20_5m_fixed,0,0.0,0.0,0.0
momo,btc_5m_v2,ALL,438,42.01,-2.536,-1110.67
momo,btc_5m_v2,no_F7 (baseline),15,20.0,-15.493,-232.39
momo,btc_5m_v2,F7_only,423,42.79,-2.076,-878.28
momo,btc_5m_v2,MARKOV:w20_1m_voladaptive,347,36.89,-6.264,-2173.45
momo,btc_5m_v2,F7+MARKOV:w20_1m_voladaptive,338,37.87,-5.765,-1948.45
momo,btc_5m_v2,noF7+MARKOV:w20_1m_voladaptive,9,0.0,-25.0,-225.0
momo,btc_5m_v2,MARKOV:w20_5m_voladaptive,220,45.45,-2.889,-635.66
momo,btc_5m_v2,F7+MARKOV:w20_5m_voladaptive,217,46.08,-2.584,-560.66
momo,btc_5m_v2,noF7+MARKOV:w20_5m_voladaptive,3,0.0,-25.0,-75.0
momo,btc_5m_v2,MARKOV:w20_1m_fixed,200,52.0,2.101,420.16
