rule,asset,tf,fire_offset_s,n,wr,dpt,sum_pnl
MP-D,BTC,5m,195,113,0.6548672566371682,17.680931842836983,1997.9452982405792
MP-D,BTC,ALL,195,113,0.6548672566371682,17.680931842836983,1997.9452982405792
MP-D,ETH,15m,540,47,0.6808510638297872,10.112657703730385,475.29491207532806
MP-D,ETH,ALL,540,47,0.6808510638297872,10.112657703730385,475.29491207532806
MP-D,ETH,15m,420,50,0.52,8.066218868946004,403.31094344730025
MP-D,ETH,ALL,420,50,0.52,8.066218868946004,403.31094344730025
MP-D,ALL,ALL,420,157,0.6050955414012739,7.1649700821150155,1124.9003028920574
MP-D,ALL,15m,420,157,0.6050955414012739,7.1649700821150155,1124.9003028920574
MP-D,BTC,ALL,420,107,0.6448598130841121,6.743825789203339,721.5893594447573
MP-D,BTC,15m,420,107,0.6448598130841121,6.743825789203339,721.5893594447573
MP-D,SOL,15m,240,87,0.6206896551724138,3.5688575116147225,310.49060351048087
MP-D,SOL,5m,75,197,0.5736040609137056,2.167559104463425,427.0091435792947
MP-D,SOL,ALL,75,197,0.5736040609137056,2.167559104463425,427.0091435792947
MP-D,ETH,5m,255,202,0.594059405940594,2.1575944675377454,435.8340824426246
MP-D,ETH,ALL,255,202,0.594059405940594,2.1575944675377454,435.8340824426246
MP-D,BTC,ALL,45,154,0.5454545454545454,1.971852192250918,303.66523760664137
MP-D,BTC,5m,45,154,0.5454545454545454,1.971852192250918,303.66523760664137
MP-D,BTC,5m,180,685,0.5562043795620438,1.9534249491072517,1338.0960901384674
MP-C,ETH,15m,780,382,0.6020942408376964,1.8696940553130055,714.2231291295681
MP-C,ETH,ALL,780,382,0.6020942408376964,1.8696940553130055,714.2231291295681
MP-C,BTC,ALL,420,567,0.5432098765432098,1.8570883947351051,1052.9691198148046
MP-C,BTC,15m,420,567,0.5432098765432098,1.8570883947351051,1052.9691198148046
MP-E,BTC,ALL,540,588,0.4880952380952381,1.8191974829168822,1069.6881199551267
MP-E,BTC,15m,540,588,0.4880952380952381,1.8191974829168822,1069.6881199551267
MP-D,BTC,ALL,180,763,0.5439056356487549,1.5682015859033234,1196.5378100442358
MP-D,BTC,5m,135,148,0.5405405405405406,1.562482755264003,231.24744777907244
MP-D,BTC,ALL,135,148,0.5405405405405406,1.562482755264003,231.24744777907244
MP-D,ALL,ALL,195,591,0.5634517766497462,1.5341094898349665,906.6587084924652
MP-D,ALL,5m,195,591,0.5634517766497462,1.5341094898349665,906.6587084924652
MP-D,ETH,15m,240,229,0.5545851528384279,1.5096619850590776,345.71259457852875
MP-B,ETH,15m,300,594,0.5656565656565656,1.426304881564381,847.2250996492423
MP-A,ETH,15m,300,594,0.5656565656565656,1.426304881564381,847.2250996492423
MP-B,BTC,15m,420,651,0.5376344086021505,1.367531807846544,890.2632069081001
MP-A,BTC,15m,420,651,0.5376344086021505,1.367531807846544,890.2632069081001
MP-B,BTC,ALL,420,651,0.5376344086021505,1.367531807846544,890.2632069081001
MP-A,BTC,ALL,420,651,0.5376344086021505,1.367531807846544,890.2632069081001
MP-C,ETH,15m,300,542,0.5682656826568265,1.178273145516346,638.6240448698595
MP-A,BTC,ALL,45,1992,0.5381526104417671,1.065999237402696,2123.4704809061705
MP-B,BTC,5m,45,1992,0.5381526104417671,1.065999237402696,2123.4704809061705
MP-A,BTC,5m,45,1992,0.5381526104417671,1.065999237402696,2123.4704809061705
MP-B,BTC,ALL,45,1992,0.5381526104417671,1.065999237402696,2123.4704809061705
MP-E,ALL,ALL,540,1131,0.5269672855879752,1.052976727212406,1190.9166784772312
