asset,tf,bet,regime,n,wr,dpt
BTC,5m,UP,both_pos,17707,0.46913649968938836,-1.615418064298272
BTC,5m,UP,only_L1,6781,0.37251142899277395,-2.8118002888156335
BTC,5m,UP,only_MP,6809,0.6215303275077104,-0.500541483711678
BTC,5m,UP,neither,17860,0.530515117581187,-2.259316297994919
BTC,15m,UP,both_pos,5085,0.4953785644051131,-1.934995136339177
BTC,15m,UP,only_L1,2386,0.40737636211232187,-2.187264823985207
BTC,15m,UP,only_MP,2274,0.575197889182058,-2.3933904178416285
BTC,15m,UP,neither,5033,0.5066560699384065,-2.30639179553121
ETH,5m,UP,both_pos,16151,0.4884527273853012,-2.272775265057911
ETH,5m,UP,only_L1,7447,0.403518195246408,-4.298011787405676
ETH,5m,UP,only_MP,6917,0.6040190834176666,-2.346392420700378
ETH,5m,UP,neither,15571,0.5019587695074177,-2.6013385689682464
ETH,15m,UP,both_pos,4665,0.4357984994640943,-3.6913076215825793
ETH,15m,UP,only_L1,2247,0.40587449933244324,-4.064891675468017
ETH,15m,UP,only_MP,2055,0.5732360097323601,-2.2777390133607907
ETH,15m,UP,neither,4415,0.5614949037372593,-2.7758465944232027
SOL,5m,UP,both_pos,10093,0.3607450708411771,-6.877770280988715
SOL,5m,UP,only_L1,6190,0.41195476575121165,-5.386437943765264
SOL,5m,UP,only_MP,5795,0.6008628127696289,-3.459800547346816
SOL,5m,UP,neither,10206,0.620615324319028,-2.5268851364923943
SOL,15m,UP,both_pos,3688,0.38774403470715835,-5.033622328804497
SOL,15m,UP,only_L1,1983,0.4291477559253656,-3.8319131894700713
SOL,15m,UP,only_MP,2037,0.6126656848306333,-2.12976130396209
SOL,15m,UP,neither,3746,0.6230646022423919,-2.2004094202886337
