rule,asset,tf,n,wr,dpt,sum_pnl
ruleC,BTC,15m,12476,0.7835844822058352,-0.07114219602735625,-887.5700376372965
ruleC,BTC,ALL,54466,0.7808908309771233,-0.13061895561528006,-7114.292036541843
ruleC,BTC,5m,41990,0.7800904977375566,-0.14829059297224445,-6226.721998904544
ruleC,ALL,15m,34190,0.7858438139806961,-0.25138794183044993,-8594.953731183083
ruleC,ALL,ALL,145029,0.7895110633045804,-0.2727966662286954,-39563.42770648147
ruleC,ALL,5m,110839,0.7906422829509469,-0.279400517645399,-30968.47397529838
ruleC,ETH,5m,40312,0.7914516769200238,-0.2850280210664455,-11490.04958523055
ruleC,ETH,ALL,51966,0.7890736250625409,-0.29624069270831105,-15394.443837280092
ruleC,ETH,15m,11654,0.7808477775870946,-0.3350261070919463,-3904.3942520495425
ruleC,SOL,15m,10060,0.7944333996023857,-0.37803075959207183,-3802.9894414962428
ruleC,SOL,ALL,38597,0.80226442469622,-0.44186573652510647,-17054.691832659533
ruleC,SOL,5m,28537,0.8050250551915058,-0.4643691485146754,-13251.702391163293
ruleB,BTC,15m,14748,0.5241388662869542,-1.4515179269785208,-21406.986387079225
ruleB,BTC,ALL,63873,0.5154133984625742,-1.5085032734069999,-96352.6295823253
ruleB,BTC,5m,49125,0.512793893129771,-1.5256110574095896,-74945.64319524608
ruleB,ETH,5m,45933,0.5258964143426295,-2.3177362465057763,-106460.57901074982
ruleB,ETH,ALL,59309,0.5168692778499048,-2.392257649035502,-141882.4089066466
ruleB,ETH,15m,13376,0.48587021531100477,-2.6481631202075953,-35421.82989589679
ruleB,ALL,15m,39506,0.4912671492937782,-2.664058324092805,-105246.28815161035
ruleB,ALL,ALL,166562,0.49957973607425465,-2.703631224150011,-450322.22395687416
ruleB,ALL,5m,127056,0.5021643999496285,-2.7159357748179054,-345075.9358052638
ruleA,BTC,5m,14012,0.34363402797602055,-3.5293288479408296,-49452.955817346905
ruleA,BTC,ALL,16939,0.3492532026683984,-3.6351575595010184,-61575.933900387754
ruleA,BTC,15m,2927,0.3761530577382986,-4.1417759081109855,-12122.978083040854
ruleB,SOL,15m,11382,0.4550166930240731,-4.253863281377115,-48417.471868634326
ruleA,ETH,5m,11337,0.35520860897944784,-4.824245115219867,-54692.466871247634
ruleB,SOL,ALL,43380,0.45262793914246197,-4.889054528997285,-212087.18546790222
ruleA,ETH,ALL,14967,0.35117257967528565,-5.0198156190894165,-75131.5803709113
ruleB,SOL,5m,31998,0.45177823613975876,-5.114998237366957,-163669.71359926788
ruleA,ETH,15m,3630,0.33856749311294765,-5.6306097795216665,-20439.11349966365
ruleA,ALL,5m,35591,0.32024950127841306,-5.846572677579128,-208085.36816771876
ruleA,ALL,ALL,45990,0.3204827136333986,-5.884121522853857,-270610.7488360489
ruleA,ALL,15m,10399,0.3212808923934994,-6.012633971375142,-62525.38066833011
ruleA,SOL,15m,3842,0.2631441957313899,-7.798877950449141,-29963.289085625598
ruleA,SOL,ALL,14084,0.2532661175802329,-9.507471923086468,-133903.23456474982
ruleA,SOL,5m,10242,0.24956063268892795,-10.148403190697541,-103939.94547912422
ruleE,SOL,15m,1110,0.3864864864864865,-11.486656551523756,-12750.18877219137
ruleE,SOL,ALL,9796,0.22366271947733768,-14.24339366840095,-139528.2843756557
ruleE,SOL,5m,8686,0.20285516923785402,-14.595682201642221,-126778.09560346433
ruleE,ALL,15m,3392,0.20518867924528303,-15.605422533245969,-52933.59323277033
ruleE,ALL,ALL,29679,0.12449880386805486,-16.69908845491826,-495612.246253519
ruleE,ALL,5m,26287,0.11408681097120249,-16.84021200672381,-442678.65302074875
ruleE,ETH,5m,8640,0.07407407407407407,-16.863010087491634,-145696.40715592774
ruleE,ETH,ALL,9725,0.08287917737789204,-16.9613912162363,-164949.52957789804
ruleE,BTC,15m,1197,0.08437761069340016,-17.485615738185984,-20930.282038608624
ruleE,ETH,15m,1085,0.15299539170506912,-17.744813292138552,-19253.12242197033
ruleE,BTC,ALL,10158,0.06871431384130734,-18.816148090171815,-191134.4322999653
ruleE,BTC,5m,8961,0.06662202879142953,-18.993879060524122,-170204.15026135667
