asset,tf,bet_side,gate_expr,n_train,wr_train,dpt_train,sum_train,n_test,wr_test,dpt_test,sum_test,bootstrap_p_test_neg,pass_walkfwd
BTC,15m,DOWN,g_spread_wide_skew,5500,0.7514545454545455,0.23367010588267145,1285.185582354693,1779,0.7532321528948848,0.5655613171642606,1006.1335832352197,0.055,True
BTC,ALL,DOWN,g_spread_wide_skew,24191,0.7486255218883056,0.0049751349344693795,120.35348919974876,7672,0.7434827945776851,0.0305830739680922,234.63334348320336,0.405,False
ETH,15m,DOWN,g_spread_wide_skew,5041,0.7633406070224162,0.2331913914937487,1175.5178045199873,1585,0.7394321766561515,-0.5328565033912218,-844.5775578750865,0.895,False
ALL,15m,DOWN,g_spread_wide_skew,14523,0.7583143978516835,-0.01365568293317117,-198.3214832384449,4779,0.7524586733626282,0.0866404329012894,414.054628835262,0.33,False
SOL,15m,UP,g_imb_change_with,298,0.6073825503355704,1.526466938819405,454.8871477681827,95,0.5368421052631579,-3.099479582239108,-294.45056031271525,0.87,False
ALL,ALL,UP,g_spread_tight,55,0.5636363636363636,-4.298978282887378,-236.44380555880582,13,0.6153846153846154,26.35383815428395,342.59989600569133,0.225,False
ALL,ALL,DOWN,g_spread_tight,55,0.43636363636363634,-9.804600134657855,-539.2530074061821,13,0.38461538461538464,3.78971584582937,49.266305995781806,0.46,False
ETH,15m,DOWN,g_imb_change_with,592,0.5320945945945946,-1.8402594233586504,-1089.4335786283211,190,0.5526315789473685,2.13385783500961,405.4329886518259,0.195,False
BTC,5m,DOWN,g_imb_change_with,1940,0.527319587628866,-0.16604321165960784,-322.1238306196392,579,0.5215889464594128,-1.4596883736752564,-845.1595683579735,0.885,False
BTC,15m,UP,g_imb_change_with,1059,0.5174693106704438,-0.946347400882927,-1002.1818975350197,344,0.5087209302325582,-1.9875706881366844,-683.7243167190194,0.86,False
ETH,15m,UP,g_imb_change_with,546,0.489010989010989,-3.3211465740683432,-1813.3460294413153,154,0.5844155844155844,-0.41911271273890344,-64.54335776179113,0.535,False
BTC,15m,DOWN,g_imb_change_with,1114,0.5089766606822262,-1.4666863488379354,-1633.88859260546,345,0.5159420289855072,-0.7777378209983561,-268.31954824443284,0.68,False
BTC,5m,DOWN,g_spread_wide_skew,18691,0.7477930554812476,-0.06232048007891188,-1164.832093154942,5893,0.7405396232818598,-0.13091807903479005,-771.5002397520177,0.73,False
SOL,15m,DOWN,g_imb_change_with,300,0.52,-3.8843457855820787,-1165.3037356746236,115,0.4434782608695652,-6.88205232299954,-791.4360171449471,1.0,False
