rule,asset,tf,n,wr,dpt,sum_pnl,median_pnl,sharpe_dpt
O_C,BTC,15m,3323,0.7038820343063497,0.010206655889928175,33.91671752223132,1.5638298533415025,0.006948137117095894
O_C,BTC,ALL,28878,0.7294133942793822,-0.3221014719179316,-9301.646306046028,1.5638298533415025,-0.2260118901665548
O_C,BTC,5m,25555,0.7327333202895715,-0.3653125816305326,-9335.56302356826,1.5638298533415025,-0.2573781027018806
O_C,ALL,5m,66181,0.7563651198984603,-0.52998923413961,-35075.21750459353,1.2894740078257771,-0.315603068504317
O_C,ETH,5m,23700,0.7610548523206752,-0.5768048463381372,-13670.274858213852,1.2894740078257771,-0.4218765395946856
O_A,BTC,5m,49019,0.6556845304881781,-0.613303686234206,-30063.533395514543,1.8440858188950686,-0.35558369056678873
O_B,BTC,5m,49017,0.6556092784136116,-0.6164324389059223,-30215.66885785159,1.8440858188950686,-0.357369280687334
O_C,ALL,ALL,78138,0.7467173462335868,-0.6335949811151056,-49507.84463437212,1.2894740078257771,-0.3827600936051128
O_C,ETH,ALL,27884,0.7489599770477693,-0.6558731473376666,-18288.366840363495,1.2894740078257771,-0.46890785388315287
O_C,SOL,5m,16926,0.7854779628973177,-0.7130674478796771,-12069.379622811415,0.7577312137840356,-0.307789017320535
O_E,BTC,5m,49010,0.6522342379106305,-0.7296610354010322,-35760.68734500459,1.8440858188950686,-0.42282150850655925
O_E,ETH,5m,46269,0.673906935529188,-0.7429402546799033,-34375.10264378445,1.5638298533415025,-0.42645177043578464
O_A,BTC,ALL,63770,0.643923474988239,-0.756870111056888,-48265.60698209774,1.5638298533415025,-0.43011331886137466
O_B,BTC,ALL,63769,0.6438238015336606,-0.7615642638418098,-48564.19154092837,1.5638298533415025,-0.43275853564666555
O_A,ETH,5m,46256,0.6776850570736769,-0.7907937864296831,-36578.957385091424,1.7053063728154068,-0.5012573478807486
O_B,ETH,5m,46250,0.6776216216216217,-0.7941880090504816,-36731.19541858477,1.7035318491193379,-0.5034999353883544
O_A,ALL,5m,127351,0.6721344944287835,-0.8075836055864297,-102846.57975503741,1.5638298533415025,-0.460418559354038
O_B,ALL,5m,127344,0.6720615027013443,-0.8140689868204779,-103666.80105766693,1.5638298533415025,-0.46426792032664577
O_E,BTC,ALL,63765,0.6409785932721712,-0.8436653544672953,-53796.32132760708,1.5638298533415025,-0.4771588559163264
O_E,ALL,5m,127379,0.6654786110740389,-0.8567075792036718,-109126.55473138452,1.4635012211224974,-0.4709212905091476
O_E,ETH,ALL,59369,0.6559483905742054,-0.9254065386849079,-54940.46079518429,1.4641201623991895,-0.5082724236425722
O_B,ETH,ALL,59343,0.6603474714793657,-0.9331873296747154,-55378.135704886634,1.5638298533415025,-0.5500599699502429
O_A,ETH,ALL,59347,0.6603366640268252,-0.9341896010660469,-55441.350254466684,1.5638298533415025,-0.5506017866173739
O_A,ALL,ALL,165887,0.6568266349985231,-0.9826950495336022,-163016.33368198067,1.3926318054780433,-0.5522191916067168
O_B,ALL,ALL,165883,0.6567520481303087,-0.9878731690815152,-163871.364906749,1.3926318054780433,-0.5552405405085161
O_C,SOL,ALL,21376,0.7671687874251497,-1.025347655686873,-21917.831487962598,0.7577312137840356,-0.47198087795640553
O_E,ALL,ALL,165930,0.6509311155306454,-1.0288967774812317,-170724.84228746075,1.2894740078257771,-0.5612559247376313
O_C,ETH,15m,4184,0.6804493307839388,-1.1037504737451345,-4618.091982149643,0.8685626911375777,-0.7052444516856893
O_A,SOL,5m,32076,0.6892692355655319,-1.1286971247796311,-36204.08897443145,1.109340067251678,-0.5588491135066587
O_B,SOL,5m,32077,0.6891853976369361,-1.1447434854017076,-36719.93678123057,1.108625492566892,-0.5673226933569808
