ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason,sleeve_id
1779321604523855,ACC-H,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.50,20,10.00,ACC-H-00000327,0,0,0,0,0,0,0,0,0.0,0.021443,post_initial_bid,poly_acc_h_btc_5m_shadow
1779321604523855,ACC-H,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.45,20,9.00,ACC-H-00000328,0,0,0,0,0,0,0,0,0.0,0.021443,post_initial_bid,poly_acc_h_btc_5m_shadow
1779321604524749,ACC-H,btc-updown-15m-1779321600,BTC,15m,POST_BID,up,0.50,20,10.00,ACC-H-00000058,0,0,0,0,0,0,0,0,0.0,0.008975,post_initial_bid,poly_acc_h_btc_15m_shadow
1779321604524749,ACC-H,btc-updown-15m-1779321600,BTC,15m,POST_BID,dn,0.49,20,9.80,ACC-H-00000059,0,0,0,0,0,0,0,0,0.0,0.008975,post_initial_bid,poly_acc_h_btc_15m_shadow
1779321604734167,ACC-H,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.50,20,10.00,ACC-H-00000327,0,0,0,0,0,0,0,0,0.0,0.231755,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779321604734794,ACC-H,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.45,20,9.00,ACC-H-00000328,0,0,0,0,0,0,0,0,0.0,0.232382,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779321604843544,ACC-H,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.55,20,11.00,ACC-H-00000329,0,0,0,0,0,0,0,0,0.0,0.341132,post_initial_bid,poly_acc_h_btc_5m_shadow
1779321604843544,ACC-H,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.40,20,8.00,ACC-H-00000330,0,0,0,0,0,0,0,0,0.0,0.341132,post_initial_bid,poly_acc_h_btc_5m_shadow
1779321605559245,ACC-H,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.55,20,11.00,ACC-H-00000329,0,0,0,0,0,0,0,0,0.0,1.056833,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779321605559245,ACC-H,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.51,20,10.20,ACC-H-00000331,0,0,0,0,0,0,0,0,0.0,1.056833,post_initial_bid,poly_acc_h_btc_5m_shadow
1779321605559855,ACC-H,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.40,20,8.00,ACC-H-00000330,0,0,0,0,0,0,0,0,0.0,1.057443,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779321605559855,ACC-H,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.44,20,8.80,ACC-H-00000332,0,0,0,0,0,0,0,0,0.0,1.057443,post_initial_bid,poly_acc_h_btc_5m_shadow
1779321606071766,ACC-H,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.44,20,8.80,ACC-H-00000332,0,0,0,0,0,0,0,0,0.0,1.569354,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779321606071766,ACC-H,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.47,20,9.40,ACC-H-00000333,0,0,0,0,0,0,0,0,0.0,1.569354,post_initial_bid,poly_acc_h_btc_5m_shadow
1779321606891260,ACC-H,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.47,20,9.40,ACC-H-00000333,0,0,0,0,0,0,0,0,0.0,2.388848,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779321606891260,ACC-H,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.42,20,8.40,ACC-H-00000334,0,0,0,0,0,0,0,0,0.0,2.388848,post_initial_bid,poly_acc_h_btc_5m_shadow
1779321607094540,ACC-H,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.51,20,10.20,ACC-H-00000331,0,0,0,0,0,0,0,0,0.0,2.592128,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779321607094540,ACC-H,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.55,20,11.00,ACC-H-00000335,0,0,0,0,0,0,0,0,0.0,2.592128,post_initial_bid,poly_acc_h_btc_5m_shadow
1779321607502637,ACC-H,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.55,20,11.00,ACC-H-00000335,0,0,0,0,0,0,0,0,0.0,3.000225,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
1779321607812580,ACC-H,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.58,20,11.60,ACC-H-00000336,0,0,0,0,0,0,0,0,0.0,3.310168,post_initial_bid,poly_acc_h_btc_5m_shadow
1779321608119218,ACC-H,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.58,20,11.60,ACC-H-00000336,0,0,0,0,0,0,0,0,0.0,3.616806,cancel_displaced_3c,poly_acc_h_btc_5m_shadow
