ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779299761143907,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,up,0.44,20,8.80,ACC-M-00000001,0,0,0,0,0,,0,0,,,post_initial_bid
1779299761143907,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,dn,0.55,20,11.00,ACC-M-00000002,0,0,0,0,0,,0,0,,,post_initial_bid
1779299778709174,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,dn,0.55,20,11.00,ACC-M-00000002,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299778709174,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,dn,0.52,20,10.40,ACC-M-00000003,0,0,0,0,0,,0,0,,,post_initial_bid
1779299779424314,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,up,0.44,20,8.80,ACC-M-00000001,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299779424314,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,up,0.48,20,9.60,ACC-M-00000004,0,0,0,0,0,,0,0,,,post_initial_bid
1779299779628609,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,dn,0.52,20,10.40,ACC-M-00000003,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299779628609,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,dn,0.49,20,9.80,ACC-M-00000005,0,0,0,0,0,,0,0,,,post_initial_bid
1779299779731013,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,up,0.48,20,9.60,ACC-M-00000004,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299779731619,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,up,0.51,20,10.20,ACC-M-00000006,0,0,0,0,0,,0,0,,,post_initial_bid
1779299780661896,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,dn,0.49,20,9.80,ACC-M-00000005,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299780661896,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,dn,0.46,20,9.20,ACC-M-00000007,0,0,0,0,0,,0,0,,,post_initial_bid
1779299781888326,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,dn,0.46,20,9.20,ACC-M-00000007,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299781888326,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,dn,0.43,20,8.60,ACC-M-00000008,0,0,0,0,0,,0,0,,,post_initial_bid
1779299782195150,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,up,0.51,20,10.20,ACC-M-00000006,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299782195150,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,up,0.54,20,10.80,ACC-M-00000009,0,0,0,0,0,,0,0,,,post_initial_bid
1779299782506390,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,up,0.54,20,10.80,ACC-M-00000009,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299782506390,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,up,0.57,20,11.40,ACC-M-00000010,0,0,0,0,0,,0,0,,,post_initial_bid
1779299782609750,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,dn,0.43,20,8.60,ACC-M-00000008,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299782609750,ACC-M,btc-updown-5m-1779299700,BTC,5m,POST_BID,dn,0.40,20,8.00,ACC-M-00000011,0,0,0,0,0,,0,0,,,post_initial_bid
1779299782819188,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,up,0.57,20,11.40,ACC-M-00000010,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299782819651,ACC-M,btc-updown-5m-1779299700,BTC,5m,CANCEL,dn,0.40,20,8.00,ACC-M-00000011,0,0,0,0,0,,0,0,,,cancel_displaced_3c
