ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason,sleeve_id
1779321604523855,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.50,20,10.00,ACC-M-00000331,0,0,0,0,0,0,0,0,0.0,0.033036,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321604523855,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.45,20,9.00,ACC-M-00000332,0,0,0,0,0,0,0,0,0.0,0.033036,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321604734167,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.50,20,10.00,ACC-M-00000331,0,0,0,0,0,0,0,0,0.0,0.243348,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321604734794,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.45,20,9.00,ACC-M-00000332,0,0,0,0,0,0,0,0,0.0,0.243975,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321604843544,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.55,20,11.00,ACC-M-00000333,0,0,0,0,0,0,0,0,0.0,0.352725,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321604843544,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.40,20,8.00,ACC-M-00000334,0,0,0,0,0,0,0,0,0.0,0.352725,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321605559245,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.55,20,11.00,ACC-M-00000333,0,0,0,0,0,0,0,0,0.0,1.068426,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321605559245,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.51,20,10.20,ACC-M-00000335,0,0,0,0,0,0,0,0,0.0,1.068426,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321605559855,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.40,20,8.00,ACC-M-00000334,0,0,0,0,0,0,0,0,0.0,1.069036,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321605559855,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.44,20,8.80,ACC-M-00000336,0,0,0,0,0,0,0,0,0.0,1.069036,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321606071766,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.44,20,8.80,ACC-M-00000336,0,0,0,0,0,0,0,0,0.0,1.580947,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321606071766,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.47,20,9.40,ACC-M-00000337,0,0,0,0,0,0,0,0,0.0,1.580947,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321606891260,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.47,20,9.40,ACC-M-00000337,0,0,0,0,0,0,0,0,0.0,2.400441,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321606891260,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.42,20,8.40,ACC-M-00000338,0,0,0,0,0,0,0,0,0.0,2.400441,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321607094540,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.51,20,10.20,ACC-M-00000335,0,0,0,0,0,0,0,0,0.0,2.603721,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321607094540,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.55,20,11.00,ACC-M-00000339,0,0,0,0,0,0,0,0,0.0,2.603721,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321607502637,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.55,20,11.00,ACC-M-00000339,0,0,0,0,0,0,0,0,0.0,3.011818,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321607812580,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.58,20,11.60,ACC-M-00000340,0,0,0,0,0,0,0,0,0.0,3.321761,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321608119218,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.58,20,11.60,ACC-M-00000340,0,0,0,0,0,0,0,0,0.0,3.628399,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321608733585,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.54,20,10.80,ACC-M-00000341,0,0,0,0,0,0,0,0,0.0,4.242766,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321608836822,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.54,20,10.80,ACC-M-00000341,0,0,0,0,0,0,0,0,0.0,4.346003,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321609144307,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.56,20,11.20,ACC-M-00000342,0,0,0,0,0,0,0,0,0.0,4.653488,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321609867309,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.56,20,11.20,ACC-M-00000342,0,0,0,0,0,0,0,0,0.0,5.37649,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321609975000,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.42,20,8.40,ACC-M-00000338,0,0,0,0,0,0,0,0,0.0,5.484181,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321609975000,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.47,20,9.40,ACC-M-00000343,0,0,0,0,0,0,0,0,0.0,5.484181,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321609975000,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.50,20,10.00,ACC-M-00000344,0,0,0,0,0,0,0,0,0.0,5.484181,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321610077186,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.47,20,9.40,ACC-M-00000343,0,0,0,0,0,0,0,0,0.0,5.586367,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321610077610,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.50,20,10.00,ACC-M-00000345,0,0,0,0,0,0,0,0,0.0,5.586791,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321610181552,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.50,20,10.00,ACC-M-00000344,0,0,0,0,0,0,0,0,0.0,5.690733,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321610181552,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.47,20,9.40,ACC-M-00000346,0,0,0,0,0,0,0,0,0.0,5.690733,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321610283291,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.50,20,10.00,ACC-M-00000345,0,0,0,0,0,0,0,0,0.0,5.792472,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321611001466,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.47,20,9.40,ACC-M-00000346,0,0,0,0,0,0,0,0,0.0,6.510647,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321611001466,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.48,20,9.60,ACC-M-00000347,0,0,0,0,0,0,0,0,0.0,6.510647,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321611001466,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.50,20,10.00,ACC-M-00000348,0,0,0,0,0,0,0,0,0.0,6.510647,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321611104203,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.48,20,9.60,ACC-M-00000347,0,0,0,0,0,0,0,0,0.0,6.613384,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321611104775,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.50,20,10.00,ACC-M-00000348,0,0,0,0,0,0,0,0,0.0,6.613956,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321611207631,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.52,20,10.40,ACC-M-00000349,0,0,0,0,0,0,0,0,0.0,6.716812,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321611207631,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.47,20,9.40,ACC-M-00000350,0,0,0,0,0,0,0,0,0.0,6.716812,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321612027777,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.52,20,10.40,ACC-M-00000349,0,0,0,0,0,0,0,0,0.0,7.536958,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321612027777,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.49,20,9.80,ACC-M-00000351,0,0,0,0,0,0,0,0,0.0,7.536958,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321617558384,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.49,20,9.80,ACC-M-00000351,0,0,0,0,0,0,0,0,0.0,13.067565,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321617558811,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.52,20,10.40,ACC-M-00000352,0,0,0,0,0,0,0,0,0.0,13.067992,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321617767444,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.52,20,10.40,ACC-M-00000352,0,0,0,0,0,0,0,0,0.0,13.276625,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321617767773,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.47,20,9.40,ACC-M-00000350,0,0,0,0,0,0,0,0,0.0,13.276954,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321617767773,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.58,20,11.60,ACC-M-00000353,0,0,0,0,0,0,0,0,0.0,13.276954,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321617767773,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.40,20,8.00,ACC-M-00000354,0,0,0,0,0,0,0,0,0.0,13.276954,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321623401115,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.58,20,11.60,ACC-M-00000353,0,0,0,0,0,0,0,0,0.0,18.910296,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321623401115,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.53,20,10.60,ACC-M-00000355,0,0,0,0,0,0,0,0,0.0,18.910296,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321623911965,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.53,20,10.60,ACC-M-00000355,0,5,0,2.5,0,0,0,0,0.0,19.421146,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321623911965,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.49,20,9.80,ACC-M-00000356,0,5,0,2.5,0,0,0,0,0.0,19.421146,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321623912442,ACC-M,btc-updown-5m-1779321600,BTC,5m,FILL,up,0.5,5,2.5,TAKE-ACC-M-1779321623912442,1,5,0,2.5,0,0,0,0,0.0,19.421623,sim_take_vwap_filled=5,poly_acc_m_btc_5m_shadow
1779321623911965,ACC-M,btc-updown-5m-1779321600,BTC,5m,TAKE,up,0.5,5,2.5,,0,0,0,5.05,0,4.95,0,0,-0.10,19.421146,pat_pair_cost=0.9949,poly_acc_m_btc_5m_shadow
1779321623915168,ACC-M,btc-updown-5m-1779321600,BTC,5m,FILL,dn,0.51,5,2.55,TAKE-ACC-M-1779321623915168,1,0,0,5.05,0,4.95,0,0,-0.10,19.424349,sim_take_vwap_filled=5,poly_acc_m_btc_5m_shadow
1779321623915168,ACC-M,btc-updown-5m-1779321600,BTC,5m,MERGE,,,5,,,1,0,0,5.05,0,4.95,0,0,-0.10,19.424349,sim_merge_pairs=5_gas=0.05,poly_acc_m_btc_5m_shadow
1779321623911965,ACC-M,btc-updown-5m-1779321600,BTC,5m,TAKE,dn,0.46,5,2.30,,0,0,0,5.05,0,4.95,0,0,-0.10,19.421146,pat_pair_cost=0.9949,poly_acc_m_btc_5m_shadow
1779321623930620,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.40,20,8.00,ACC-M-00000354,0,0,0,5.05,0,4.95,0,0,-0.10,19.439801,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321623930620,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.50,20,10.00,ACC-M-00000357,0,0,0,5.05,0,4.95,0,0,-0.10,19.439801,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321631407669,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.49,20,9.80,ACC-M-00000356,0,0,0,5.05,0,4.95,0,0,-0.10,26.91685,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321631408101,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.50,20,10.00,ACC-M-00000357,0,0,0,5.05,0,4.95,0,0,-0.10,26.917282,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321631408101,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.52,20,10.40,ACC-M-00000358,0,0,0,5.05,0,4.95,0,0,-0.10,26.917282,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321631408101,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,dn,0.45,20,9.00,ACC-M-00000359,0,0,0,5.05,0,4.95,0,0,-0.10,26.917282,post_initial_bid,poly_acc_m_btc_5m_shadow
1779321637553802,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,dn,0.45,20,9.00,ACC-M-00000359,0,0,0,5.05,0,4.95,0,0,-0.10,33.062983,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321637759124,ACC-M,btc-updown-5m-1779321600,BTC,5m,CANCEL,up,0.52,20,10.40,ACC-M-00000358,0,0,0,5.05,0,4.95,0,0,-0.10,33.268305,cancel_displaced_3c,poly_acc_m_btc_5m_shadow
1779321637759520,ACC-M,btc-updown-5m-1779321600,BTC,5m,POST_BID,up,0.58,20,11.60,ACC-M-00000360,0,0,0,5.05,0,4.95,0,0,-0.10,33.268701,post_initial_bid,poly_acc_m_btc_5m_shadow
