ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779299761523918,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,up,0.05,20,1.00,ACC-PC-00000001,0,0,0,0,0,,0,0,,,post_initial_bid
1779299761523918,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,dn,0.94,20,18.80,ACC-PC-00000002,0,0,0,0,0,,0,0,,,post_initial_bid
1779299781581600,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,up,0.05,20,1.00,ACC-PC-00000001,0,0,0,0,0,,0,0,,,cancel_age_20s
1779299781581600,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,up,0.05,20,1.00,ACC-PC-00000003,0,0,0,0,0,,0,0,,,post_initial_bid
1779299781582099,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,dn,0.94,20,18.80,ACC-PC-00000002,0,0,0,0,0,,0,0,,,cancel_age_20s
1779299781582099,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,dn,0.92,20,18.40,ACC-PC-00000004,0,0,0,0,0,,0,0,,,post_initial_bid
1779299798351867,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,up,0.05,20,1.00,ACC-PC-00000003,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299798351867,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,up,0.08,20,1.60,ACC-PC-00000005,0,0,0,0,0,,0,0,,,post_initial_bid
1779299801623286,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,dn,0.92,20,18.40,ACC-PC-00000004,0,0,0,0,0,,0,0,,,cancel_age_20s
1779299801623286,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,dn,0.91,20,18.20,ACC-PC-00000006,0,0,0,0,0,,0,0,,,post_initial_bid
1779299811463176,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,up,0.08,20,1.60,ACC-PC-00000005,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299811463176,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,up,0.05,20,1.00,ACC-PC-00000007,0,0,0,0,0,,0,0,,,post_initial_bid
1779299811463470,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,dn,0.91,20,18.20,ACC-PC-00000006,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779299811463470,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,dn,0.94,20,18.80,ACC-PC-00000008,0,0,0,0,0,,0,0,,,post_initial_bid
1779299831536171,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,up,0.05,20,1.00,ACC-PC-00000007,0,0,0,0,0,,0,0,,,cancel_age_20s
1779299831536409,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,dn,0.94,20,18.80,ACC-PC-00000008,0,0,0,0,0,,0,0,,,cancel_age_20s
1779299831536409,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,dn,0.94,20,18.80,ACC-PC-00000009,0,0,0,0,0,,0,0,,,post_initial_bid
1779299842373466,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,up,0.05,20,1.00,ACC-PC-00000010,0,0,0,0,0,,0,0,,,post_initial_bid
1779299851628471,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,dn,0.94,20,18.80,ACC-PC-00000009,0,0,0,0,0,,0,0,,,cancel_age_20s
1779299858485832,ACC-PC,btc-updown-15m-1779299100,BTC,15m,POST_BID,dn,0.95,20,19.00,ACC-PC-00000011,0,0,0,0,0,,0,0,,,post_initial_bid
1779299862473937,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,up,0.05,20,1.00,ACC-PC-00000010,0,0,0,0,0,,0,0,,,cancel_age_20s
1779299870351438,ACC-PC,btc-updown-15m-1779299100,BTC,15m,CANCEL,dn,0.95,20,19.00,ACC-PC-00000011,0,0,0,0,0,,0,0,,,cancel_displaced_3c
