ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason,sleeve_id
1779321604530838,MAS,btc-updown-5m-1779321600,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779321600,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779321604530838,MAS,btc-updown-5m-1779321600,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779321604549510,MAS,btc-updown-15m-1779321600,BTC,15m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-15m-1779321600,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_15m_shadow
1779321604549510,MAS,btc-updown-15m-1779321600,BTC,15m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_15m_shadow
1779321604626572,MAS,btc-updown-5m-1779321600,BTC,5m,POST_ASK,up,0.55,10,5.50,MAS-00000010,0,30.00,30.00,30.00,0,0,0,0,0.000,0.095734,post_ask_inventory,poly_mas_btc_5m_shadow
1779321604631722,MAS,btc-updown-5m-1779321600,BTC,5m,POST_ASK,dn,0.49,10,4.90,MAS-00000011,0,30.00,30.00,30.00,0,0,0,0,0.000,0.100884,post_ask_inventory,poly_mas_btc_5m_shadow
1779321604632403,MAS,btc-updown-15m-1779321600,BTC,15m,POST_ASK,up,0.51,10,5.10,MAS-00000003,0,30.00,30.00,30.00,0,0,0,0,0.000,0.082893,post_ask_inventory,poly_mas_btc_15m_shadow
1779321604632763,MAS,btc-updown-15m-1779321600,BTC,15m,POST_ASK,dn,0.50,10,5.00,MAS-00000004,0,30.00,30.00,30.00,0,0,0,0,0.000,0.083253,post_ask_inventory,poly_mas_btc_15m_shadow
1779321674763561,MAS,btc-updown-15m-1779320700,BTC,15m,REDEEM,up,1.00,30.00,30.0000,REDEEM-btc-updown-15m-1779320700-up,1,0,30.00,30.00,0,30.0000,0,0,15.0000,913.081382,sim_redeem_winner=up_size=30.00,poly_mas_btc_15m_shadow
1779321674763502,MAS,btc-updown-15m-1779320700,BTC,15m,REDEEM,up,,30.00,,,0,0,30.00,30.00,0,30.0000,0,0,15.0000,913.081323,redeem_winner_residual,poly_mas_btc_15m_shadow
1779321675419132,MAS,btc-updown-5m-1779321300,BTC,5m,REDEEM,up,1.00,20.00,20.0000,REDEEM-btc-updown-5m-1779321300-up,1,0,30.00,30.00,4.80,20.0000,0.03494400,0,9.83494400,371.86224,sim_redeem_winner=up_size=20.00,poly_mas_btc_5m_shadow
1779321675419102,MAS,btc-updown-5m-1779321300,BTC,5m,REDEEM,up,,20.00,,,0,0,30.00,30.00,4.80,20.0000,0.03494400,0,9.83494400,371.86221,redeem_winner_residual,poly_mas_btc_5m_shadow
1779321905726678,MAS,btc-updown-5m-1779321900,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779321900,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779321905726678,MAS,btc-updown-5m-1779321900,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779321905738264,MAS,btc-updown-5m-1779321900,BTC,5m,POST_ASK,up,0.46,10,4.60,MAS-00000012,0,30.00,30.00,30.00,0,0,0,0,0.000,0.011586,post_ask_inventory,poly_mas_btc_5m_shadow
1779321905739709,MAS,btc-updown-5m-1779321900,BTC,5m,POST_ASK,dn,0.55,10,5.50,MAS-00000013,0,30.00,30.00,30.00,0,0,0,0,0.000,0.013031,post_ask_inventory,poly_mas_btc_5m_shadow
1779321916249268,MAS,btc-updown-5m-1779321900,BTC,5m,FILL,dn,0.55,10,5.50,MAS-00000013,1,30.00,20.00,30.00,5.50,0,0.03465000,0,0.53465000,10.52259,sim_fill_q0_initq=78_via=POST_ASK,poly_mas_btc_5m_shadow
1779321916271215,MAS,btc-updown-5m-1779321900,BTC,5m,POST_ASK,dn,0.64,10,6.40,MAS-00000014,0,30.00,20.00,30.00,5.50,0,0.03465000,0,0.53465000,10.544537,post_ask_inventory,poly_mas_btc_5m_shadow
1779321918654785,MAS,btc-updown-5m-1779321600,BTC,5m,REDEEM,up,1.00,30.00,30.0000,REDEEM-btc-updown-5m-1779321600-up,1,0,30.00,30.00,0,30.0000,0,0,15.0000,314.123947,sim_redeem_winner=up_size=30.00,poly_mas_btc_5m_shadow
