ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779233803160692,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,up,0.27,5,1.35,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0179
1779233803160692,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,dn,0.72,5,3.60,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0179
1779233825435103,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,up,0.17,14.37,2.4429,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=0.9911
1779233825435103,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,dn,0.8,14.37,11.496,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=0.9911
1779233830452692,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,up,0.13,5,0.65,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0063
1779233830452692,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,dn,0.86,5,4.30,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0063
1779233854461539,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,up,0.16,10.25,1.6400,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0188
1779233854461539,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,dn,0.84,10.25,8.6100,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0188
1779233858843773,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,up,0.14,5.02,0.7028,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0074
1779233858843773,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,dn,0.85,5.02,4.2670,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0074
1779233869769415,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,up,0.12,16.12,1.9344,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0148
1779233869769415,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,dn,0.88,16.12,14.1856,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0148
1779233874164756,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,up,0.12,19.94,2.3928,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0148
1779233874164756,PAT-SHADOW,btc-updown-5m-1779233700,BTC,5m,TAKE,dn,0.88,19.94,17.5472,,0,0,0,0,0,,0,0,,,pat_shadow_pair_cost=1.0148
