ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason,sleeve_id
1779321609970002,PAT-SHADOW,btc-updown-5m-1779321600,BTC,5m,FILL,up,0.5,13.69,6.845,TAKE-PAT-SHADOW-1779321609970002,1,13.69,0,6.845,0,0,0,0,0.000,5.380268,sim_take_vwap_filled=13.69,poly_pat_shadow_btc_5m_shadow
1779321609969709,PAT-SHADOW,btc-updown-5m-1779321600,BTC,5m,TAKE,up,0.5,13.69,6.845,,0,0.00,0.00,14.23610000000000000000000000,0,13.64,0,0,-0.59610000000000000000000000,5.379975,pat_shadow_pair_cost=1.0150,poly_pat_shadow_btc_5m_shadow
1779321609971756,PAT-SHADOW,btc-updown-5m-1779321600,BTC,5m,FILL,dn,0.5398904309715120525931336742,13.69,7.391100000000000000000000000,TAKE-PAT-SHADOW-1779321609971756,1,0.00,0.00,14.23610000000000000000000000,0,13.64,0,0,-0.59610000000000000000000000,5.382022,sim_take_vwap_filled=13.69,poly_pat_shadow_btc_5m_shadow
1779321609971756,PAT-SHADOW,btc-updown-5m-1779321600,BTC,5m,MERGE,,,13.69,,,1,0.00,0.00,14.23610000000000000000000000,0,13.64,0,0,-0.59610000000000000000000000,5.382022,sim_merge_pairs=13.69_gas=0.05,poly_pat_shadow_btc_5m_shadow
1779321609969709,PAT-SHADOW,btc-updown-5m-1779321600,BTC,5m,TAKE,dn,0.48,13.69,6.5712,,0,0.00,0.00,14.23610000000000000000000000,0,13.64,0,0,-0.59610000000000000000000000,5.379975,pat_shadow_pair_cost=1.0150,poly_pat_shadow_btc_5m_shadow
1779321623920899,PAT-SHADOW,btc-updown-5m-1779321600,BTC,5m,FILL,up,0.5,5,2.5,TAKE-PAT-SHADOW-1779321623920899,1,5.00,0.00,16.73610000000000000000000000,0,13.64,0,0,-0.59610000000000000000000000,19.331165,sim_take_vwap_filled=5,poly_pat_shadow_btc_5m_shadow
1779321623911965,PAT-SHADOW,btc-updown-5m-1779321600,BTC,5m,TAKE,up,0.5,5,2.5,,0,0.00,0.00,19.28610000000000000000000000,0,18.59,0,0,-0.69610000000000000000000000,19.322231,pat_shadow_pair_cost=0.9949,poly_pat_shadow_btc_5m_shadow
1779321623926616,PAT-SHADOW,btc-updown-5m-1779321600,BTC,5m,FILL,dn,0.51,5,2.55,TAKE-PAT-SHADOW-1779321623926616,1,0.00,0.00,19.28610000000000000000000000,0,18.59,0,0,-0.69610000000000000000000000,19.336882,sim_take_vwap_filled=5,poly_pat_shadow_btc_5m_shadow
1779321623926616,PAT-SHADOW,btc-updown-5m-1779321600,BTC,5m,MERGE,,,5.00,,,1,0.00,0.00,19.28610000000000000000000000,0,18.59,0,0,-0.69610000000000000000000000,19.336882,sim_merge_pairs=5.00_gas=0.05,poly_pat_shadow_btc_5m_shadow
1779321623911965,PAT-SHADOW,btc-updown-5m-1779321600,BTC,5m,TAKE,dn,0.46,5,2.30,,0,0.00,0.00,19.28610000000000000000000000,0,18.59,0,0,-0.69610000000000000000000000,19.322231,pat_shadow_pair_cost=0.9949,poly_pat_shadow_btc_5m_shadow
