rule,is_n,is_wr,is_avg_pnl,oos_n,oos_wr,oos_avg_pnl,oos_pass
L-A: bet UP | liq_short_60s > $100k,39,0.717948717948718,14.18012854781132,12,0.5,29.21409028348729,False
L-A: bet UP | liq_short_60s > $500k,10,0.8,12.018958264140277,3,0.3333333333333333,26.208333333333332,False
L-A: bet UP | liq_short_60s > $50k,67,0.6865671641791045,7.00647621322556,18,0.4444444444444444,14.221860112626501,False
B-B: bet DOWN | basis > +30bps (mean rev),13,0.9230769230769231,9.340558801786658,5,1.0,2.191228070175439,False
L-A: bet UP | liq_short_60s > $250k,24,0.7916666666666666,5.093709722567358,4,0.25,13.40625,False
L-C: bet UP | liq_imbalance_60s > +0.5,185,0.6,1.5830343042996224,36,0.3611111111111111,4.5844545436596595,True
OI-A: bet DOWN | OI rising & price down,2095,0.5875894988066825,1.696907411760396,768,0.5703125,1.7053111621629622,True
OI-D: bet WITH price | oi_pct_1h > 0.5%,2457,0.577940577940578,1.126901290369046,816,0.5625,1.319506706427439,True
OI-A: bet UP | OI rising & price up,3446,0.559489262913523,1.13096920400999,1061,0.5617342130065975,0.8080888433402246,True
F-A2: bet DOWN | funding_z > +2.0,80,0.55,0.833318586374809,0,,,False
