asset,tf,off,rule,bet_dir,gate,n_base,n_pass,pass_rate,wr_pass,pnl_per_pass,sum_pnl_pass,pnl_per_base,lift_per,wr_base
BTC,5m,90,V7,Down,g_flow_with,332,161,0.48493975903614456,75.77639751552795,5.292736227496278,852.1305326269008,2.6976480764981687,2.5950881509981096,70.78313253012048
BTC,5m,90,V7,Down,g_flow_against,332,170,0.5120481927710844,65.88235294117646,0.16367467815380207,27.82469528614635,2.6976480764981687,-2.533973398344367,70.78313253012048
BTC,5m,90,V7,Down,g_flow_strong_with,332,87,0.2620481927710843,79.3103448275862,5.452865085523331,474.3992624405298,2.6976480764981687,2.755217009025162,70.78313253012048
BTC,5m,90,V7,Down,g_flow_strong_against,332,98,0.29518072289156627,69.38775510204081,-0.7494380141466152,-73.44492538636828,2.6976480764981687,-3.4470860906447838,70.78313253012048
BTC,5m,90,V7,Down,g_pm_volume_spike_flag,332,4,0.012048192771084338,75.0,-5.252367160946556,-21.009468643786224,2.6976480764981687,-7.950015237444725,70.78313253012048
BTC,5m,90,V7,Down,g_pm_no_whale,332,261,0.786144578313253,69.34865900383141,2.3070775506532555,602.1472407204997,2.6976480764981687,-0.39057052584491325,70.78313253012048
BTC,5m,90,V7,Down,g_whale_with,332,31,0.09337349397590361,70.96774193548387,2.6217799482381157,81.27517839538159,2.6976480764981687,-0.07586812826005307,70.78313253012048
BTC,5m,90,V7,Down,g_whale_against,332,40,0.12048192771084337,80.0,5.304918557037773,212.19674228151092,2.6976480764981687,2.6072704805396043,70.78313253012048
BTC,5m,90,V7,Down,g_flow_with_and_no_whale,332,119,0.35843373493975905,77.31092436974791,6.621825600022157,787.9972464026366,2.6976480764981687,3.924177523523988,70.78313253012048
BTC,5m,150,V7,Down,g_flow_with,288,141,0.4895833333333333,71.63120567375887,5.093137843565797,718.1324359427774,3.039756645541955,2.053381198023842,66.66666666666666
BTC,5m,150,V7,Down,g_flow_against,288,145,0.5034722222222222,62.06896551724138,1.144718250086506,165.9841462625434,3.039756645541955,-1.895038395455449,66.66666666666666
BTC,5m,150,V7,Down,g_flow_strong_with,288,101,0.3506944444444444,69.3069306930693,2.5391107169533242,256.45018241228576,3.039756645541955,-0.5006459285886309,66.66666666666666
BTC,5m,150,V7,Down,g_flow_strong_against,288,105,0.3645833333333333,66.66666666666666,2.7932695233901135,293.2932999559619,3.039756645541955,-0.24648712215184165,66.66666666666666
BTC,5m,150,V7,Down,g_pm_volume_spike_flag,288,16,0.05555555555555555,56.25,-6.383565255377458,-102.13704408603932,3.039756645541955,-9.423321900919413,66.66666666666666
BTC,5m,150,V7,Down,g_pm_no_whale,288,244,0.8472222222222222,65.1639344262295,1.7444171360218441,425.63778118933,3.039756645541955,-1.295339509520111,66.66666666666666
BTC,5m,150,V7,Down,g_whale_with,288,23,0.0798611111111111,60.86956521739131,8.088825398698761,186.0429841700715,3.039756645541955,5.049068753156806,66.66666666666666
BTC,5m,150,V7,Down,g_whale_against,288,22,0.0763888888888889,90.9090909090909,12.04811920747761,265.0586225645074,3.039756645541955,9.008362561935655,66.66666666666666
BTC,5m,150,V7,Down,g_flow_with_and_no_whale,288,122,0.4236111111111111,70.49180327868852,4.859238473376641,592.8270937519502,3.039756645541955,1.8194818278346863,66.66666666666666
ETH,5m,60,V5,Down,g_flow_with,263,119,0.4524714828897338,68.90756302521008,3.577139327793696,425.67958000744983,2.7642142314032188,0.8129250963904773,66.15969581749049
ETH,5m,60,V5,Down,g_flow_against,263,144,0.5475285171102662,63.888888888888886,2.092421964247199,301.3087628515966,2.7642142314032188,-0.6717922671560199,66.15969581749049
ETH,5m,60,V5,Down,g_flow_strong_with,263,67,0.25475285171102663,64.17910447761194,-0.38781648489910886,-25.983704488240292,2.7642142314032188,-3.1520307163023276,66.15969581749049
ETH,5m,60,V5,Down,g_flow_strong_against,263,87,0.33079847908745247,64.36781609195403,2.5890206309699733,225.24479489438767,2.7642142314032188,-0.1751936004332455,66.15969581749049
ETH,5m,60,V5,Down,g_pm_volume_spike_flag,263,22,0.08365019011406843,59.09090909090909,-3.350177892007717,-73.70391362416977,2.7642142314032188,-6.114392123410935,66.15969581749049
ETH,5m,60,V5,Down,g_pm_no_whale,263,261,0.9923954372623575,66.28352490421456,2.844604011092672,742.4416468951874,2.7642142314032188,0.08038977968945327,66.15969581749049
ETH,5m,60,V5,Down,g_whale_with,263,3,0.011406844106463879,100.0,21.99570274492145,65.98710823476435,2.7642142314032188,19.23148851351823,66.15969581749049
ETH,5m,60,V5,Down,g_whale_against,263,7,0.026615969581749048,71.42857142857143,3.9600979740062363,27.720685818043656,2.7642142314032188,1.1958837426030176,66.15969581749049
ETH,5m,60,V5,Down,g_flow_with_and_no_whale,263,119,0.4524714828897338,68.90756302521008,3.577139327793696,425.67958000744983,2.7642142314032188,0.8129250963904773,66.15969581749049
BTC,5m,60,V7,Down,g_flow_with,297,116,0.39057239057239057,61.206896551724135,-0.14667787624756679,-17.014633644717748,2.190377221692061,-2.337055097939628,68.68686868686868
BTC,5m,60,V7,Down,g_flow_against,297,179,0.6026936026936027,73.74301675977654,3.752437429719251,671.6862999197459,2.190377221692061,1.56206020802719,68.68686868686868
BTC,5m,60,V7,Down,g_flow_strong_with,297,42,0.1414141414141414,66.66666666666666,2.0042113743257386,84.17687772168102,2.190377221692061,-0.18616584736632236,68.68686868686868
BTC,5m,60,V7,Down,g_flow_strong_against,297,77,0.25925925925925924,72.72727272727273,0.8853833156353101,68.17451530391888,2.190377221692061,-1.3049939060567508,68.68686868686868
BTC,5m,60,V7,Down,g_pm_volume_spike_flag,297,6,0.020202020202020204,83.33333333333334,1.9573263344765037,11.743958006859023,2.190377221692061,-0.23305088721555722,68.68686868686868
BTC,5m,60,V7,Down,g_pm_no_whale,297,227,0.7643097643097643,68.28193832599119,1.9543061296457915,443.62749142959467,2.190377221692061,-0.23607109204626942,68.68686868686868
BTC,5m,60,V7,Down,g_whale_with,297,38,0.12794612794612795,73.68421052631578,1.3612615769048062,51.72793992238263,2.190377221692061,-0.8291156447872547,68.68686868686868
BTC,5m,60,V7,Down,g_whale_against,297,33,0.1111111111111111,66.66666666666666,5.0208061844427645,165.68660408661123,2.190377221692061,2.8304289627507035,68.68686868686868
BTC,5m,60,V7,Down,g_flow_with_and_no_whale,297,92,0.30976430976430974,60.86956521739131,-0.6811918675246393,-62.66965181226682,2.190377221692061,-2.8715690892167003,68.68686868686868
ETH,5m,60,V6,Down,g_flow_with,225,94,0.4177777777777778,65.95744680851064,2.791030419889873,262.3568594696481,2.409798749087256,0.3812316708026171,66.22222222222223
ETH,5m,60,V6,Down,g_flow_against,225,131,0.5822222222222222,66.41221374045801,2.136243199045683,279.84785907498446,2.409798749087256,-0.27355555004157317,66.22222222222223
ETH,5m,60,V6,Down,g_flow_strong_with,225,53,0.23555555555555555,69.81132075471697,2.118053628732008,112.25684232279643,2.409798749087256,-0.29174512035524813,66.22222222222223
ETH,5m,60,V6,Down,g_flow_strong_against,225,78,0.3466666666666667,60.256410256410255,-1.0741121427831875,-83.78074713708862,2.409798749087256,-3.4839108918704436,66.22222222222223
ETH,5m,60,V6,Down,g_pm_volume_spike_flag,225,14,0.06222222222222222,64.28571428571429,-0.17119074302075837,-2.396670402290617,2.409798749087256,-2.5809894921080145,66.22222222222223
ETH,5m,60,V6,Down,g_pm_no_whale,225,225,1.0,66.22222222222223,2.409798749087256,542.2047185446327,2.409798749087256,0.0,66.22222222222223
ETH,5m,60,V6,Down,g_whale_with,225,1,0.0044444444444444444,100.0,6.1249995436519455,6.1249995436519455,2.409798749087256,3.7152007945646894,66.22222222222223
ETH,5m,60,V6,Down,g_whale_against,225,4,0.017777777777777778,75.0,9.789780205994175,39.1591208239767,2.409798749087256,7.379981456906918,66.22222222222223
ETH,5m,60,V6,Down,g_flow_with_and_no_whale,225,94,0.4177777777777778,65.95744680851064,2.791030419889873,262.3568594696481,2.409798749087256,0.3812316708026171,66.22222222222223
SOL,5m,90,V7,Down,g_flow_with,116,47,0.4051724137931034,80.85106382978722,4.9059146675011025,230.57798937255183,3.9927491013105265,0.913165566190576,73.27586206896551
SOL,5m,90,V7,Down,g_flow_against,116,69,0.5948275862068966,68.11594202898551,3.3707377736154958,232.5809063794692,3.9927491013105265,-0.6220113276950308,73.27586206896551
SOL,5m,90,V7,Down,g_flow_strong_with,116,37,0.31896551724137934,81.08108108108108,2.0570848803804282,76.11214057407584,3.9927491013105265,-1.9356642209300983,73.27586206896551
SOL,5m,90,V7,Down,g_flow_strong_against,116,49,0.4224137931034483,71.42857142857143,5.182736946634895,253.95411038510986,3.9927491013105265,1.1899878453243686,73.27586206896551
SOL,5m,90,V7,Down,g_pm_volume_spike_flag,116,10,0.08620689655172414,70.0,-2.774266211080197,-27.742662110801973,3.9927491013105265,-6.767015312390724,73.27586206896551
SOL,5m,90,V7,Down,g_pm_no_whale,116,115,0.9913793103448276,73.04347826086956,4.002669456450592,460.30698749181806,3.9927491013105265,0.009920355140065507,73.27586206896551
SOL,5m,90,V7,Down,g_whale_with,116,1,0.008620689655172414,100.0,2.851908260202955,2.851908260202955,3.9927491013105265,-1.1408408411075714,73.27586206896551
SOL,5m,90,V7,Down,g_whale_against,116,1,0.008620689655172414,100.0,1.8680465884473638,1.8680465884473638,3.9927491013105265,-2.1247025128631627,73.27586206896551
SOL,5m,90,V7,Down,g_flow_with_and_no_whale,116,47,0.4051724137931034,80.85106382978722,4.9059146675011025,230.57798937255183,3.9927491013105265,0.913165566190576,73.27586206896551
SOL,5m,120,V7,Up,g_flow_with,111,57,0.5135135135135135,75.43859649122807,1.3312184811190804,75.87945342378758,2.874885723269162,-1.5436672421500814,75.67567567567568
SOL,5m,120,V7,Up,g_flow_against,111,54,0.4864864864864865,75.92592592592592,4.504312256649803,243.23286185908938,2.874885723269162,1.6294265333806415,75.67567567567568
SOL,5m,120,V7,Up,g_flow_strong_with,111,46,0.4144144144144144,71.73913043478261,-1.026815745901106,-47.23352431145088,2.874885723269162,-3.901701469170268,75.67567567567568
SOL,5m,120,V7,Up,g_flow_strong_against,111,42,0.3783783783783784,76.19047619047619,3.2467597976462437,136.36391150114224,2.874885723269162,0.37187407437708186,75.67567567567568
SOL,5m,120,V7,Up,g_pm_volume_spike_flag,111,18,0.16216216216216217,77.77777777777779,0.39799524762245664,7.1639144572042195,2.874885723269162,-2.476890475646705,75.67567567567568
SOL,5m,120,V7,Up,g_pm_no_whale,111,110,0.990990990990991,76.36363636363637,3.1282937752988813,344.1123152828769,2.874885723269162,0.2534080520297195,75.67567567567568
SOL,5m,120,V7,Up,g_whale_with,111,1,0.009009009009009009,100.0,2.793538883762216,2.793538883762216,2.874885723269162,-0.08134683950694566,75.67567567567568
SOL,5m,120,V7,Up,g_whale_against,111,1,0.009009009009009009,0.0,-25.0,-25.0,2.874885723269162,-27.874885723269163,75.67567567567568
SOL,5m,120,V7,Up,g_flow_with_and_no_whale,111,56,0.5045045045045045,76.78571428571429,1.8014188111390637,100.87945342378757,2.874885723269162,-1.0734669121300981,75.67567567567568
