sleeve_idx,asset_pool,offset_bin,r4_gate_stack,r5_combo,train_n,train_WR,train_dpt,train_sum,val_n,val_WR,val_dpt,val_sum,lockbox_n,lockbox_WR,lockbox_dpt,lockbox_sum,lockbox_p,dpt_lift_vs_base,wr_lift_vs_base,sum_lift_vs_base,n_kept_pct,val_pass,lockbox_pass,deployable
0,POOL,120-240,g_trend_slope_with,g_lm_extreme_against,307,0.8729641693811075,4.899275745902479,1504.077653992061,162,0.8888888888888888,6.052407607625843,980.4900324353865,466,0.7532188841201717,8.894888934585296,4145.018243516748,0.0,0.0,0.0,0.0,1.0,True,True,True
1,POOL,120-240,g_tr_stack_with&g_trend_slope_with,g_lm_extreme_against,256,0.89453125,5.654341473316004,1447.511417168897,142,0.8732394366197183,5.580756629418086,792.4674413773681,315,0.780952380952381,10.822333352170544,3409.0350059337215,0.0,0.0,0.0,0.0,1.0,True,True,True
2,POOL,120-240,g_di_with&g_trend_slope_with,g_lm_extreme_against,185,0.9081081081081082,5.748896221382937,1063.5458009558433,118,0.8728813559322034,4.680151446139153,552.25787064442,314,0.767515923566879,10.445121292887354,3279.768085966629,0.0,0.0,0.0,0.0,1.0,True,True,True
3,POOL,120-240,g_tr_stack_with&g_trend_slope_with&g_vwap_ge_30,g_lm_extreme_against,256,0.89453125,5.654341473316004,1447.511417168897,142,0.8732394366197183,5.580756629418086,792.4674413773681,302,0.7980132450331126,10.6767929694728,3224.3914767807855,0.0,0.0,0.0,0.0,1.0,True,True,True
4,POOL,60-120,g_trend_slope_with&g_tr_stack_with,g_lm_extreme_against,114,0.868421052631579,6.290335358664755,717.098230887782,88,0.8636363636363636,7.289499140718977,641.47592438327,338,0.7544378698224852,9.507625784110493,3213.5775150293466,0.0,0.0,0.0,0.0,1.0,True,True,True
5,POOL,60-120,g_tr_stack_with&g_trend_slope_with&g_vwap_ge_30,g_lm_extreme_against,114,0.868421052631579,6.290335358664755,717.098230887782,88,0.8636363636363636,7.289499140718977,641.47592438327,334,0.7574850299401198,9.256774074137082,3091.762540761785,0.0,0.0,0.0,0.0,1.0,True,True,True
6,POOL,60-120,g_di_with&g_trend_slope_with,g_lm_extreme_against,75,0.8533333333333334,5.4773623289528794,410.80217467146593,57,0.8771929824561403,7.752728568419203,441.90552839989454,330,0.7393939393939394,9.01863284149585,2976.1488376936304,0.0,0.0,0.0,0.0,1.0,True,True,True
0,POOL,120-240,g_trend_slope_with,g_mp_no_extreme,303,0.8712871287128713,4.945656338178677,1498.533870468139,160,0.8875,6.1153022789240605,978.4483646278497,345,0.7536231884057971,8.185199978506208,2823.8939925846416,0.0,-0.7096889560790878,0.0004043042856254342,-1321.1242509321064,0.740343347639485,True,True,True
0,POOL,120-240,g_trend_slope_with,g_mp_no_extreme&g_lm_extreme_against,303,0.8712871287128713,4.945656338178677,1498.533870468139,160,0.8875,6.1153022789240605,978.4483646278497,345,0.7536231884057971,8.185199978506208,2823.8939925846416,0.0,-0.7096889560790878,0.0004043042856254342,-1321.1242509321064,0.740343347639485,True,True,True
0,POOL,120-240,g_trend_slope_with,g_mp_no_extreme&g_mp_very_no_extreme&g_lm_extreme_against,222,0.8513513513513513,5.1907884408817715,1152.3550338757532,110,0.8636363636363636,7.062924185217607,776.9216603739368,315,0.746031746031746,8.567914149180112,2698.8929569917354,0.0,-0.3269747854051843,-0.0071871380884256375,-1446.1252865250126,0.6759656652360515,True,True,True
