symbol,lev_1h,lev_4h_cap,risk_4h,buy_hold_x,leg_1h_eq_x,leg_1h_mdd,leg_4h_eq_x,leg_4h_mdd,leg_4h_blew_up,combined_eq_x,combined_mdd,combined_sharpe,combined_roi_pct,combined_blew_up,combined_outperform,final_dollar
BTCUSDT,1,1,0.02,2.608,2.461,-0.2488,1.423,-0.1505,False,1.942,-0.1851,1.348,94.19,False,0.745,19420.0
BTCUSDT,1,1,0.03,2.608,2.461,-0.2488,1.59,-0.2099,False,2.026,-0.1908,1.307,102.56,False,0.777,20260.0
BTCUSDT,1,1,0.05,2.608,2.461,-0.2488,1.7,-0.2917,False,2.08,-0.2046,1.243,108.04,False,0.798,20800.0
BTCUSDT,1,1,0.07,2.608,2.461,-0.2488,1.712,-0.3247,False,2.086,-0.2037,1.223,108.64,False,0.8,20860.0
BTCUSDT,1,2,0.02,2.608,2.461,-0.2488,1.408,-0.1505,False,1.934,-0.1864,1.336,93.42,False,0.742,19340.0
BTCUSDT,1,2,0.03,2.608,2.461,-0.2488,1.627,-0.2236,False,2.044,-0.1929,1.293,104.37,False,0.784,20440.0
BTCUSDT,1,2,0.05,2.608,2.461,-0.2488,1.903,-0.3626,False,2.182,-0.2561,1.116,118.18,False,0.837,21820.0
BTCUSDT,1,2,0.07,2.608,2.461,-0.2488,2.152,-0.4438,False,2.306,-0.3143,1.017,130.61,False,0.884,23060.0
BTCUSDT,1,3,0.02,2.608,2.461,-0.2488,1.408,-0.1505,False,1.934,-0.1864,1.336,93.42,False,0.742,19340.0
BTCUSDT,1,3,0.03,2.608,2.461,-0.2488,1.604,-0.2236,False,2.032,-0.1941,1.282,103.24,False,0.779,20320.0
BTCUSDT,1,3,0.05,2.608,2.461,-0.2488,2.004,-0.362,False,2.232,-0.2566,1.125,123.23,False,0.856,22320.0
BTCUSDT,1,3,0.07,2.608,2.461,-0.2488,2.144,-0.4872,False,2.302,-0.3271,0.97,130.22,False,0.883,23020.0
BTCUSDT,1,5,0.02,2.608,2.461,-0.2488,1.408,-0.1505,False,1.934,-0.1864,1.336,93.42,False,0.742,19340.0
BTCUSDT,1,5,0.03,2.608,2.461,-0.2488,1.604,-0.2236,False,2.032,-0.1941,1.282,103.24,False,0.779,20320.0
BTCUSDT,1,5,0.05,2.608,2.461,-0.2488,1.928,-0.362,False,2.194,-0.2557,1.106,119.41,False,0.841,21940.0
BTCUSDT,1,5,0.07,2.608,2.461,-0.2488,2.137,-0.4869,False,2.299,-0.3264,0.959,129.87,False,0.882,22990.0
BTCUSDT,1,10,0.02,2.608,2.461,-0.2488,1.408,-0.1505,False,1.934,-0.1864,1.336,93.42,False,0.742,19340.0
BTCUSDT,1,10,0.03,2.608,2.461,-0.2488,1.604,-0.2236,False,2.032,-0.1941,1.282,103.24,False,0.779,20320.0
BTCUSDT,1,10,0.05,2.608,2.461,-0.2488,1.928,-0.362,False,2.194,-0.2557,1.106,119.41,False,0.841,21940.0
BTCUSDT,1,10,0.07,2.608,2.461,-0.2488,2.097,-0.4869,False,2.279,-0.3253,0.954,127.86,False,0.874,22790.0
BTCUSDT,2,1,0.02,2.608,1.342,-0.5967,1.423,-0.1505,False,1.383,-0.4177,0.519,38.27,False,0.53,13830.0
BTCUSDT,2,1,0.03,2.608,1.342,-0.5967,1.59,-0.2099,False,1.466,-0.4139,0.577,46.63,False,0.562,14660.0
BTCUSDT,2,1,0.05,2.608,1.342,-0.5967,1.7,-0.2917,False,1.521,-0.3973,0.601,52.11,False,0.583,15210.0
BTCUSDT,2,1,0.07,2.608,1.342,-0.5967,1.712,-0.3247,False,1.527,-0.3969,0.602,52.72,False,0.586,15270.0
BTCUSDT,2,2,0.02,2.608,1.342,-0.5967,1.408,-0.1505,False,1.375,-0.4196,0.511,37.49,False,0.527,13750.0
BTCUSDT,2,2,0.03,2.608,1.342,-0.5967,1.627,-0.2236,False,1.484,-0.4154,0.586,48.44,False,0.569,14840.0
BTCUSDT,2,2,0.05,2.608,1.342,-0.5967,1.903,-0.3626,False,1.622,-0.4271,0.631,62.25,False,0.622,16220.0
BTCUSDT,2,2,0.07,2.608,1.342,-0.5967,2.152,-0.4438,False,1.747,-0.4267,0.658,74.69,False,0.67,17470.0
BTCUSDT,2,3,0.02,2.608,1.342,-0.5967,1.408,-0.1505,False,1.375,-0.4196,0.511,37.49,False,0.527,13750.0
