indicator,horizon_h,pearson_corr,n
z_lsr,4,-0.05126635679652409,5156
z_fund,4,0.0028806037546493823,5156
z_oi,4,0.0015361360964246474,5156
z_oi_silent,4,-0.027019997075119605,5151
z_cb_premium,4,0.008522175651588025,5156
z_dom_stables,4,0.06739810573388295,1726
z_top_lsr_count,4,-0.0448401460708555,5155
z_top_lsr_sum,4,-0.02307656394371198,5154
z_taker_ratio,4,-0.029278492947462126,5156
brigalS,4,-0.05121116234746863,5156
oilsr,4,0.03555079548685496,5156
cross_institutional_lead,4,0.012901045314674722,5156
cross_leverage_heat,4,,5018
cross_risk_off,4,-0.02972400727238906,5156
cross_real_money,4,,5018
rsi_14,4,0.026354980494509555,5156
atr_pct,4,0.07622593015343945,5154
z_lsr,12,-0.030888130345168158,5148
z_fund,12,0.017999935613473985,5148
z_oi,12,0.009438294456351852,5148
z_oi_silent,12,0.0201893411004395,5143
z_cb_premium,12,0.004155120841479807,5148
z_dom_stables,12,0.06944255919643147,1722
z_top_lsr_count,12,-0.021218877098399317,5147
z_top_lsr_sum,12,0.0015079865081061663,5146
z_taker_ratio,12,-0.012426741007250951,5148
brigalS,12,-0.03084160940319847,5148
oilsr,12,0.026926142471668753,5148
cross_institutional_lead,12,0.0007937141409883399,5148
cross_leverage_heat,12,,5010
cross_risk_off,12,-0.029615504708705224,5148
cross_real_money,12,,5010
rsi_14,12,0.04208398463880929,5148
atr_pct,12,0.057077743689338906,5146
z_lsr,24,-0.03156940519637168,5136
z_fund,24,0.029553513434992146,5136
z_oi,24,0.037210181754338864,5136
z_oi_silent,24,0.016627888399304565,5131
z_cb_premium,24,-0.000501216155346195,5136
z_dom_stables,24,0.0706279048230663,1718
z_top_lsr_count,24,-0.02501433758508486,5135
z_top_lsr_sum,24,0.0034956592134362183,5134
z_taker_ratio,24,0.00515645274946103,5136
brigalS,24,-0.03142296236545336,5136
oilsr,24,0.045599812519154855,5136
cross_institutional_lead,24,-0.012656714677013684,5136
cross_leverage_heat,24,,4998
cross_risk_off,24,-0.02631391606215697,5136
cross_real_money,24,,4998
rsi_14,24,0.030904745191414278,5136
atr_pct,24,0.030396932872627673,5134
z_lsr,48,-0.03103938825867282,5112
z_fund,48,0.03558444290940001,5112
z_oi,48,0.009349266219176765,5112
z_oi_silent,48,-0.006915813194492151,5107
z_cb_premium,48,0.004957018659753211,5112
z_dom_stables,48,0.08290681436352028,1710
z_top_lsr_count,48,-0.033142380849020464,5111
z_top_lsr_sum,48,-0.006337597647766562,5110
z_taker_ratio,48,0.009985379503424591,5112
brigalS,48,-0.03087607671112076,5112
oilsr,48,0.027050019681750245,5112
cross_institutional_lead,48,-0.03334047270521944,5112
cross_leverage_heat,48,,4974
cross_risk_off,48,-0.005411256219830915,5112
cross_real_money,48,,4974
rsi_14,48,0.06466438158779539,5112
atr_pct,48,0.03434288159722403,5110
