label,indicator,offset_h,n_samples,mean,median,std
bull,z_lsr,-24,1229,0.007492781551141324,0.018767347066988807,1.4489494492086357
bull,z_lsr,-12,1229,-0.020090266057326906,-0.10712162014441744,1.4589276968111566
bull,z_lsr,-8,1231,-0.0539810782153207,-0.10655199228637632,1.4443621430636964
bull,z_lsr,-4,1235,0.025580518242261697,0.08624138598817316,1.4599393257996938
bull,z_lsr,-2,1235,-0.04492895900441199,-0.06410247109016248,1.4603712569016103
bull,z_lsr,-1,1235,-0.05763955505595471,-0.10751056606466221,1.4392080694126397
bull,z_lsr,0,1235,-0.08664482009634046,-0.22059205903422413,1.4415082729769852
bull,z_fund,-24,1229,0.01849640707574112,0.22360679774989164,0.6520488170886524
bull,z_fund,-12,1229,0.03270039771066463,0.2236067977499471,0.6510768748913742
bull,z_fund,-8,1231,0.041485710865367204,0.2236067977499561,0.6511506168126482
bull,z_fund,-4,1235,0.021716917199668753,0.22360679774963196,0.6524075429139449
bull,z_fund,-2,1235,0.028729002135921874,0.22360679774993197,0.651774237810508
bull,z_fund,-1,1235,0.013443361096072914,0.223606797749695,0.6485119667085832
bull,z_fund,0,1235,0.010704491124761153,0.22360679774875908,0.6532730453539296
bull,z_oi,-24,1229,0.029713970514574334,0.07548207416996283,1.4302054947555272
bull,z_oi,-12,1229,0.1177388691433277,0.2779644112020294,1.4174713768945113
bull,z_oi,-8,1231,0.09940569317160908,0.23738036019359587,1.4078138203313948
bull,z_oi,-4,1235,0.13576712051787382,0.33389745229392676,1.3901972376559124
bull,z_oi,-2,1235,0.14717243661257423,0.323312084966416,1.4030502704147476
bull,z_oi,-1,1235,0.1003078437297134,0.21995093655010836,1.4014401091004163
bull,z_oi,0,1235,0.07500567426060269,0.17012660678983063,1.4077134753803353
bull,z_oi_silent,-24,1227,0.009144183934638778,-0.4082439754239947,1.1231735249976438
bull,z_oi_silent,-12,1228,0.05604828870884674,-0.40824397544114255,1.1966532856825727
bull,z_oi_silent,-8,1231,0.0688599063615772,-0.4082439753625159,1.2072219225015268
bull,z_oi_silent,-4,1234,0.10976300665813739,-0.40824397533138157,1.2603421790262133
bull,z_oi_silent,-2,1235,0.0717276359879992,-0.40824397534648976,1.200175625847677
bull,z_oi_silent,-1,1234,0.05856654433158153,-0.4082439753956127,1.1976462722480636
bull,z_oi_silent,0,1234,0.036909583504884956,-0.40824397554929726,1.1800194603032783
bull,z_cb_premium,-24,1229,-0.02606432055393374,-0.8007077405136526,1.0060263715953235
bull,z_cb_premium,-12,1229,-0.023627557164977997,-0.7685634932744079,1.004971437449678
bull,z_cb_premium,-8,1231,-0.021654912241187995,-0.7600405370307897,1.004843211638011
bull,z_cb_premium,-4,1235,-0.030142122126221405,-0.7685634932744079,1.0051078161061633
bull,z_cb_premium,-2,1235,-0.050680160614883694,-0.9462770287963694,1.0039906880352887
bull,z_cb_premium,-1,1235,-0.04020178381539544,-0.8685310554864717,1.003580324064211
bull,z_cb_premium,0,1235,-0.013403200213563879,-0.5647879831134921,1.0035992784726158
bull,z_dom_stables,-24,406,0.008051465293056169,0.22360679248556076,0.6296720525944004
bull,z_dom_stables,-12,414,-0.006270155518810099,-0.2236067971068644,0.6313906408052945
bull,z_dom_stables,-8,402,-0.018346812008247823,-0.22360679678828843,0.6335650589015498
bull,z_dom_stables,-4,419,-0.006802115523211436,-0.22360679450374044,0.640946889983236
bull,z_dom_stables,-2,408,-0.010682672699185769,-0.2236067937335224,0.6323653027990247
bull,z_dom_stables,-1,416,-0.010267051414863603,-0.22360679453192162,0.6379716156024652
bull,z_dom_stables,0,416,-0.02692138641355287,-0.22360679735544897,0.626838811020593
bull,z_top_lsr_count,-24,1228,-0.005548158552135135,-0.035716774740955595,1.49574613605115
bull,z_top_lsr_count,-12,1229,-0.012466671925243554,-0.059650965879647314,1.503070684567641
bull,z_top_lsr_count,-8,1231,-0.045823822571057826,-0.08027729109387013,1.5046500469122985
