indicator,max_abs_linear_corr,gb_importance_bull,linear_rank,gb_rank,rank_gap
brigalS,0.035262300083780146,-0.0011424219345011366,4.0,9.0,5.0
cross_institutional_lead,0.021816722761837846,0.006067529829906104,9.0,1.0,8.0
cross_leverage_heat,0.024530151503097074,-0.038943894389438925,7.0,14.0,7.0
cross_real_money,0.02452968356640437,-0.058339680121858285,8.0,15.0,7.0
cross_risk_off,0.04394854155672762,-0.015054582381315029,2.0,13.0,11.0
oilsr,0.020073749040004543,-0.0012693577050012506,10.0,10.0,0.0
z_cb_premium,0.0113655149517304,0.0008885503935008865,12.0,3.0,9.0
z_dom_stables,0.0743901000906401,5.077430820006334e-05,1.0,6.0,5.0
z_fund,0.024633176073773386,0.0020817466362020864,6.0,2.0,4.0
z_lsr,0.035354495639746776,0.0005585173902005636,3.0,4.0,1.0
z_oi,0.005801726205107906,-0.0023356181772023143,14.0,12.0,2.0
z_oi_silent,0.005499847828221688,-0.002157908098502137,15.0,11.0,4.0
z_taker_ratio,0.009391748126328703,-0.00022848438690019622,13.0,7.0,6.0
z_top_lsr_count,0.02805743881576479,0.00020309723280020897,5.0,5.0,0.0
z_top_lsr_sum,0.016961049592244388,-0.0008631632394008548,11.0,8.0,3.0
