symbol,timeframe,horizon_h,indicator,pearson_corr,n
BTCUSDT,1h,4,z_lsr,-0.024825286719570325,26256
BTCUSDT,1h,4,z_fund,0.00728307727431775,5160
BTCUSDT,1h,4,z_oi,-0.005801726205107906,26256
BTCUSDT,1h,4,z_oi_silent,0.005499847828221688,26219
BTCUSDT,1h,4,z_cb_premium,0.0113655149517304,26256
BTCUSDT,1h,4,z_dom_stables,0.007692866233764517,2187
BTCUSDT,1h,4,z_top_lsr_count,-0.012756257375465716,26250
BTCUSDT,1h,4,z_top_lsr_sum,-0.011148892206449509,26252
BTCUSDT,1h,4,z_taker_ratio,-0.009391748126328703,26256
BTCUSDT,1h,4,brigalS,-0.024728640328113227,26256
BTCUSDT,1h,4,oilsr,0.012899333275595013,26256
BTCUSDT,1h,4,cross_institutional_lead,0.0077274453149926035,26256
BTCUSDT,1h,4,cross_leverage_heat,-0.00638321976991341,25297
BTCUSDT,1h,4,cross_risk_off,-0.01297020578595684,26256
BTCUSDT,1h,4,cross_real_money,0.006383014409974091,25297
BTCUSDT,1h,12,z_lsr,-0.035354495639746776,26248
BTCUSDT,1h,12,z_fund,-0.0031269401890353854,5158
BTCUSDT,1h,12,z_oi,-0.005546210880749709,26248
BTCUSDT,1h,12,z_oi_silent,-0.0011089659878059913,26211
BTCUSDT,1h,12,z_cb_premium,0.008914795022151716,26248
BTCUSDT,1h,12,z_dom_stables,0.05189904211440332,2187
BTCUSDT,1h,12,z_top_lsr_count,-0.02805743881576479,26242
BTCUSDT,1h,12,z_top_lsr_sum,-0.016961049592244388,26244
BTCUSDT,1h,12,z_taker_ratio,-0.002336559585152158,26248
BTCUSDT,1h,12,brigalS,-0.035262300083780146,26248
BTCUSDT,1h,12,oilsr,0.020073749040004543,26248
BTCUSDT,1h,12,cross_institutional_lead,0.012717025187351103,26248
BTCUSDT,1h,12,cross_leverage_heat,-0.010357624169908881,25289
BTCUSDT,1h,12,cross_risk_off,-0.021834847391346644,26248
BTCUSDT,1h,12,cross_real_money,0.010357310783195657,25289
BTCUSDT,1h,24,z_lsr,-0.01718281689040829,26236
BTCUSDT,1h,24,z_fund,0.009052139030181863,5155
BTCUSDT,1h,24,z_oi,-0.00401224034294224,26236
BTCUSDT,1h,24,z_oi_silent,-0.0033871753858107,26199
BTCUSDT,1h,24,z_cb_premium,0.009895163307625809,26236
BTCUSDT,1h,24,z_dom_stables,0.05274891086073506,2186
BTCUSDT,1h,24,z_top_lsr_count,-0.00698431302988608,26230
BTCUSDT,1h,24,z_top_lsr_sum,-0.010819211595303524,26232
BTCUSDT,1h,24,z_taker_ratio,-0.0027828266688805278,26236
BTCUSDT,1h,24,brigalS,-0.017093866102471177,26236
BTCUSDT,1h,24,oilsr,0.008788500215045058,26236
BTCUSDT,1h,24,cross_institutional_lead,0.015782995838673163,26236
BTCUSDT,1h,24,cross_leverage_heat,-0.015987370034634105,25277
BTCUSDT,1h,24,cross_risk_off,-0.03002022312798375,26236
BTCUSDT,1h,24,cross_real_money,0.015987007257889166,25277
