indicator,max_abs_linear_corr,gb_importance_bull,linear_rank,gb_rank,rank_gap
brigalS,0.02932448916467119,-0.001371080360543364,2.0,4.0,2.0
cross_institutional_lead,0.014711242138891913,-0.028284880030468453,10.0,13.0,3.0
cross_leverage_heat,0.012403859390621944,-0.04316364098006853,13.0,14.0,1.0
cross_real_money,0.012404518938258016,-0.027929414751809056,12.0,12.0,0.0
cross_risk_off,0.015718339427641573,-0.05461470102831027,8.0,15.0,7.0
oilsr,0.01542216315155767,-0.006601498032245768,9.0,11.0,2.0
z_cb_premium,0.0,0.0,15.0,1.0,14.0
z_dom_stables,0.07258678562077256,-0.0021835724260505394,1.0,6.0,5.0
z_fund,0.019757320427479026,-0.00033007490161227613,5.0,2.0,3.0
z_lsr,0.02929388583811251,-0.0026152088358512016,3.0,8.0,5.0
z_oi,0.019137447267572914,-0.00464643899961914,6.0,10.0,4.0
z_oi_silent,0.010687908906868543,-0.0010917862130252586,14.0,3.0,11.0
z_taker_ratio,0.01748683113059726,-0.00200583978672082,7.0,5.0,2.0
z_top_lsr_count,0.02065705186498929,-0.0027167703440395875,4.0,9.0,5.0
z_top_lsr_sum,0.01284625099557739,-0.002462866573568601,11.0,7.0,4.0
