symbol,timeframe,horizon_h,indicator,pearson_corr,n
ETHUSDT,1h,4,z_lsr,-0.02929388583811251,26253
ETHUSDT,1h,4,z_fund,0.019757320427479026,5240
ETHUSDT,1h,4,z_oi,-0.006711622634093317,26253
ETHUSDT,1h,4,z_oi_silent,0.0015276675948658973,26247
ETHUSDT,1h,4,z_dom_stables,-0.004444070923857881,2187
ETHUSDT,1h,4,z_top_lsr_count,-0.02065705186498929,26246
ETHUSDT,1h,4,z_top_lsr_sum,0.00025277158779117315,26250
ETHUSDT,1h,4,z_taker_ratio,-0.002755794968364706,26253
ETHUSDT,1h,4,brigalS,-0.02932448916467119,26253
ETHUSDT,1h,4,oilsr,0.01542216315155767,26253
ETHUSDT,1h,4,cross_institutional_lead,-0.001965420293484121,26253
ETHUSDT,1h,4,cross_leverage_heat,-0.002823703959524778,25294
ETHUSDT,1h,4,cross_risk_off,0.003505577429593225,26253
ETHUSDT,1h,4,cross_real_money,0.002823785532080428,25294
ETHUSDT,1h,12,z_lsr,-0.021600073736092754,26245
ETHUSDT,1h,12,z_fund,0.0005882519777284484,5238
ETHUSDT,1h,12,z_oi,-0.019137447267572914,26245
ETHUSDT,1h,12,z_oi_silent,-0.010687908906868543,26239
ETHUSDT,1h,12,z_dom_stables,0.04494092531723814,2187
ETHUSDT,1h,12,z_top_lsr_count,-0.011807279651993319,26238
ETHUSDT,1h,12,z_top_lsr_sum,0.009028303886181527,26242
ETHUSDT,1h,12,z_taker_ratio,-0.008795931775064792,26245
ETHUSDT,1h,12,brigalS,-0.02172232673537178,26245
ETHUSDT,1h,12,oilsr,0.0019751284923541527,26245
ETHUSDT,1h,12,cross_institutional_lead,-0.0037556946954886102,26245
ETHUSDT,1h,12,cross_leverage_heat,-0.004511562979786972,25286
ETHUSDT,1h,12,cross_risk_off,0.005889994226894022,26245
ETHUSDT,1h,12,cross_real_money,0.004511740216920934,25286
ETHUSDT,1h,24,z_lsr,-0.009212748417888206,26233
ETHUSDT,1h,24,z_fund,-0.003316978218632067,5235
ETHUSDT,1h,24,z_oi,-0.016179194714833683,26233
ETHUSDT,1h,24,z_oi_silent,-0.010590269128165828,26227
ETHUSDT,1h,24,z_dom_stables,0.05429058734451178,2186
ETHUSDT,1h,24,z_top_lsr_count,0.0056547460583119815,26226
ETHUSDT,1h,24,z_top_lsr_sum,0.01284625099557739,26230
ETHUSDT,1h,24,z_taker_ratio,-0.011450153452065216,26233
ETHUSDT,1h,24,brigalS,-0.00926588825004165,26233
ETHUSDT,1h,24,oilsr,-0.0042827378381961895,26233
ETHUSDT,1h,24,cross_institutional_lead,-0.007697329482151038,26233
ETHUSDT,1h,24,cross_leverage_heat,-0.007861174634256242,25274
ETHUSDT,1h,24,cross_risk_off,0.009603461982780356,26233
ETHUSDT,1h,24,cross_real_money,0.0078615243213515,25274
ETHUSDT,1h,48,z_lsr,-0.014264086101251152,26209
ETHUSDT,1h,48,z_fund,0.0024511496222108446,5229
ETHUSDT,1h,48,z_oi,-0.018175426150571716,26209
ETHUSDT,1h,48,z_oi_silent,-0.006197058942694241,26203
ETHUSDT,1h,48,z_dom_stables,0.07258678562077256,2184
ETHUSDT,1h,48,z_top_lsr_count,-0.00250704699269396,26202
ETHUSDT,1h,48,z_top_lsr_sum,0.004485611212309689,26206
ETHUSDT,1h,48,z_taker_ratio,-0.01748683113059726,26209
ETHUSDT,1h,48,brigalS,-0.014233888894415125,26209
ETHUSDT,1h,48,oilsr,-0.002322671048266006,26209
ETHUSDT,1h,48,cross_institutional_lead,-0.014711242138891913,26209
ETHUSDT,1h,48,cross_leverage_heat,-0.012403859390621944,25250
ETHUSDT,1h,48,cross_risk_off,0.015718339427641573,26209
ETHUSDT,1h,48,cross_real_money,0.012404518938258016,25250
ETHUSDT,4h,4,z_lsr,-0.31093833175922947,6568
ETHUSDT,4h,4,z_fund,0.022160357375291918,2621
ETHUSDT,4h,4,z_oi,0.08151584785666252,6568
ETHUSDT,4h,4,z_oi_silent,0.010783634688516713,6568
ETHUSDT,4h,4,z_dom_stables,-0.0008780498627498569,1094
ETHUSDT,4h,4,z_top_lsr_count,-0.3590975608233679,6568
ETHUSDT,4h,4,z_top_lsr_sum,-0.08506515537628573,6568
ETHUSDT,4h,4,z_taker_ratio,-0.010378078586998365,6568
ETHUSDT,4h,4,brigalS,-0.31106018275640107,6568
ETHUSDT,4h,4,oilsr,0.265895039859581,6568
ETHUSDT,4h,4,cross_institutional_lead,-0.0009287607397966949,6568
ETHUSDT,4h,4,cross_leverage_heat,-0.003193168701871242,6328
ETHUSDT,4h,4,cross_risk_off,0.0027654259428922124,6568
ETHUSDT,4h,4,cross_real_money,0.0031932281404412543,6328
ETHUSDT,4h,12,z_lsr,-0.19027288457491043,6566
ETHUSDT,4h,12,z_fund,0.0010689806803331346,2620
ETHUSDT,4h,12,z_oi,0.04435894172751059,6566
ETHUSDT,4h,12,z_oi_silent,0.013279463302323243,6566
ETHUSDT,4h,12,z_dom_stables,0.05611551402250926,1094
ETHUSDT,4h,12,z_top_lsr_count,-0.20361542673848704,6566
ETHUSDT,4h,12,z_top_lsr_sum,-0.04539555822259902,6566
ETHUSDT,4h,12,z_taker_ratio,-0.019716490066798965,6566
ETHUSDT,4h,12,brigalS,-0.1903302852969026,6566
ETHUSDT,4h,12,oilsr,0.1591102044198549,6566
ETHUSDT,4h,12,cross_institutional_lead,-0.0031325913999571994,6566
