label,n_trades,sharpe,cagr,max_dd,calmar,win_rate,final_equity,buy_hold_x,final_eq_x,outperform,entry_signals_total,symbol,entry,exit,risk_filter
A1_zlsr_only__TP5_SL2_TR3p5_H72__R_none,263,0.52,0.1294,-0.402,0.322,0.365,14403.25,2.658448250870241,1.440325,0.5417916258210069,1270,BTCUSDT,A1_zlsr_only,TP5_SL2_TR3p5_H72,R_none
A1_zlsr_only__TP5_SL2_TR3p5_H72__R_3loss_pause,203,0.366,0.0679,-0.3702,0.183,0.34,12175.73,2.658448250870241,1.217573,0.45800139220367686,915,BTCUSDT,A1_zlsr_only,TP5_SL2_TR3p5_H72,R_3loss_pause
A1_zlsr_only__TP8_SL2_TR5_H96__R_none,195,0.47,0.1117,-0.3882,0.288,0.349,13736.88,2.658448250870241,1.373688,0.5167254993774373,1270,BTCUSDT,A1_zlsr_only,TP8_SL2_TR5_H96,R_none
A1_zlsr_only__TP8_SL2_TR5_H96__R_3loss_pause,150,-0.262,-0.13,-0.6315,-0.206,0.313,6587.88,2.658448250870241,0.658788,0.24780922471759467,893,BTCUSDT,A1_zlsr_only,TP8_SL2_TR5_H96,R_3loss_pause
A1_zlsr_only__TP6_SL2p5_TR4_H48__R_none,232,0.532,0.1233,-0.4244,0.29,0.384,14169.3,2.658448250870241,1.41693,0.5329913792890906,1270,BTCUSDT,A1_zlsr_only,TP6_SL2p5_TR4_H48,R_none
A1_zlsr_only__TP6_SL2p5_TR4_H48__R_3loss_pause,182,0.303,0.0467,-0.3123,0.149,0.368,11465.5,2.658448250870241,1.14655,0.43128543112497214,968,BTCUSDT,A1_zlsr_only,TP6_SL2p5_TR4_H48,R_3loss_pause
A2_top_lsr__TP5_SL2_TR3p5_H72__R_none,269,0.783,0.2455,-0.3993,0.615,0.394,19314.49,2.658448250870241,1.9314490000000002,0.7265324797530822,2098,BTCUSDT,A2_top_lsr,TP5_SL2_TR3p5_H72,R_none
A2_top_lsr__TP5_SL2_TR3p5_H72__R_3loss_pause,218,0.535,0.1301,-0.3643,0.357,0.358,14429.17,2.658448250870241,1.442917,0.5427666306943015,1583,BTCUSDT,A2_top_lsr,TP5_SL2_TR3p5_H72,R_3loss_pause
A2_top_lsr__TP8_SL2_TR5_H96__R_none,196,0.589,0.166,-0.3391,0.49,0.372,15848.99,2.658448250870241,1.584899,0.5961744786573087,2098,BTCUSDT,A2_top_lsr,TP8_SL2_TR5_H96,R_none
A2_top_lsr__TP8_SL2_TR5_H96__R_3loss_pause,147,0.508,0.1222,-0.3885,0.315,0.381,14127.98,2.658448250870241,1.412798,0.5314370891129898,1584,BTCUSDT,A2_top_lsr,TP8_SL2_TR5_H96,R_3loss_pause
A2_top_lsr__TP6_SL2p5_TR4_H48__R_none,238,0.632,0.1601,-0.4146,0.386,0.395,15606.47,2.658448250870241,1.560647,0.5870518636159735,2098,BTCUSDT,A2_top_lsr,TP6_SL2p5_TR4_H48,R_none
A2_top_lsr__TP6_SL2p5_TR4_H48__R_3loss_pause,186,0.588,0.134,-0.2678,0.5,0.382,14578.98,2.658448250870241,1.457898,0.5484018729808858,1619,BTCUSDT,A2_top_lsr,TP6_SL2p5_TR4_H48,R_3loss_pause
A3_brigalS__TP5_SL2_TR3p5_H72__R_none,282,0.889,0.2984,-0.4599,0.649,0.376,21876.94,2.658448250870241,2.187694,0.8229214163878722,2804,BTCUSDT,A3_brigalS,TP5_SL2_TR3p5_H72,R_none
A3_brigalS__TP5_SL2_TR3p5_H72__R_3loss_pause,223,0.765,0.2215,-0.4128,0.537,0.354,18217.72,2.658448250870241,1.8217720000000002,0.6852764575739417,2088,BTCUSDT,A3_brigalS,TP5_SL2_TR3p5_H72,R_3loss_pause
A3_brigalS__TP8_SL2_TR5_H96__R_none,197,0.579,0.1622,-0.3931,0.413,0.36,15693.9,2.658448250870241,1.56939,0.5903406242669051,2804,BTCUSDT,A3_brigalS,TP8_SL2_TR5_H96,R_none
A3_brigalS__TP8_SL2_TR5_H96__R_3loss_pause,146,0.253,0.0288,-0.4356,0.066,0.349,10889.17,2.658448250870241,1.088917,0.4096062429063811,2072,BTCUSDT,A3_brigalS,TP8_SL2_TR5_H96,R_3loss_pause
A3_brigalS__TP6_SL2p5_TR4_H48__R_none,255,0.395,0.0779,-0.5176,0.151,0.353,12522.3,2.658448250870241,1.25223,0.4710379446318293,2804,BTCUSDT,A3_brigalS,TP6_SL2p5_TR4_H48,R_none
A3_brigalS__TP6_SL2p5_TR4_H48__R_3loss_pause,185,0.707,0.1707,-0.2236,0.764,0.373,16041.1,2.658448250870241,1.6041100000000001,0.6034008747301723,2009,BTCUSDT,A3_brigalS,TP6_SL2p5_TR4_H48,R_3loss_pause
