combo,symbol,n_trades,win_rate,expectancy,profit_factor,sharpe,max_dd,buy_hold_x,final_eq_x,outperform,median_hold_h,calmar
X_none__S_flat__E_24h__R_none,SOLUSDT,169,0.4911242603550296,0.0030052273931785124,1.2120350362664174,0.5609201596269783,-0.3312404009326157,4.892586106246352,1.445909757025795,0.29553077362906416,24.0,0.41702825781611197
X_none__S_flat__E_24h__R_3loss_pause,SOLUSDT,14,0.5,0.0077001017131077465,1.6434653667712096,0.4629362050360816,-0.15030203017700094,4.892586106246352,1.1040363905091874,0.22565497398189213,24.0,0.23512824361323778
X_none__S_flat__E_24h__R_dd_pause,SOLUSDT,12,0.5833333333333334,0.012756011685198571,2.2520021715058496,0.6770485211140559,-0.12268272131056634,4.892586106246352,1.1559174959318488,0.2362589989895307,24.0,0.42515332851220283
X_none__S_flat__E_volscaled__R_none,SOLUSDT,229,0.48034934497816595,0.0015412712641071304,1.1340238770696018,0.4057862034898806,-0.34800602467051533,4.892586106246352,1.251961750317815,0.2558895690603051,15.0,0.2357566839491049
X_none__S_flat__E_volscaled__R_3loss_pause,SOLUSDT,20,0.5,-0.0008469270287585973,0.939977958281788,-0.10306422697432331,-0.14214841376114037,4.892586106246352,0.9721944423256382,0.19870768162555996,12.0,-0.06926942687658044
X_none__S_flat__E_volscaled__R_dd_pause,SOLUSDT,15,0.5333333333333333,-0.0013704519684025454,0.9140913381233374,-0.11591796838677472,-0.1390144962216891,4.892586106246352,0.9695437942829901,0.198165913328572,12.0,-0.07765152060897183
X_none__S_flat__E_tp_3__R_none,SOLUSDT,207,0.5603864734299517,0.0026734533182791046,1.2011058854424506,0.6322123992676554,-0.32932629465136243,4.892586106246352,1.5280355820164528,0.31231654360985367,24.0,0.48710111017137564
X_none__S_flat__E_tp_3__R_3loss_pause,SOLUSDT,17,0.5882352941176471,0.009658217132384884,2.0677228148398408,0.6465759942732932,-0.14004799914378194,4.892586106246352,1.1677618524099431,0.23867987748218977,24.0,0.39936041601924077
X_none__S_flat__E_tp_3__R_dd_pause,SOLUSDT,13,0.6923076923076923,0.01312332772124621,2.460117674792948,0.718360983050378,-0.14004799914378194,4.892586106246352,1.1762797292380012,0.2404208538580952,21.0,0.4186134800290808
X_none__S_flat__E_tp_5__R_none,SOLUSDT,184,0.5217391304347826,0.0029991608504466895,1.2188001433611306,0.6229104251029187,-0.3285705582583565,4.892586106246352,1.5232119418399752,0.3113306355293971,24.0,0.48430530770238894
X_none__S_flat__E_tp_5__R_3loss_pause,SOLUSDT,15,0.4,0.0062916359814041995,1.4319430269583473,0.3978461903172023,-0.14216450067521777,4.892586106246352,1.085372221426903,0.2218401879613751,24.0,0.2051454511449009
X_none__S_flat__E_tp_5__R_dd_pause,SOLUSDT,11,0.45454545454545453,0.01127657671029671,1.888828273350848,0.5695212914456779,-0.14004799914378188,4.892586106246352,1.1207477884766974,0.22907063138773207,24.0,0.29141934699567684
X_none__S_flat__E_tp_7__R_none,SOLUSDT,174,0.4942528735632184,0.0028622766696806577,1.1978144880426809,0.5501136267862422,-0.3461652244483533,4.892586106246352,1.4309602909260812,0.2924752390354823,24.0,0.38707944991718657
X_none__S_flat__E_tp_7__R_3loss_pause,SOLUSDT,14,0.42857142857142855,0.00547209280312301,1.4210051777186192,0.34672760112445394,-0.15030203017700083,4.892586106246352,1.0696575214426054,0.21862824653754717,24.0,0.15908522612582782
X_none__S_flat__E_tp_7__R_dd_pause,SOLUSDT,12,0.5,0.010156667956883046,1.8916078954706697,0.575010182436958,-0.1226827213105665,4.892586106246352,1.1199230879702737,0.2289020701220712,24.0,0.3304775140673563
X_none__S_flat__E_trail_3__R_none,SOLUSDT,135,0.34814814814814815,0.0022325599667968763,1.1334930535733314,0.32034245116322096,-0.30845993611150685,4.892586106246352,1.1600085817599992,0.23709517963905005,20.0,0.17332620715823874
X_none__S_flat__E_trail_3__R_3loss_pause,SOLUSDT,10,0.4,0.003231240778292832,1.1779253112645711,0.14305541529439764,-0.13714351458914464,4.892586106246352,1.0230257922534851,0.20909714617947975,22.0,0.058480671667096154
X_none__S_flat__E_trail_3__R_dd_pause,SOLUSDT,9,0.4444444444444444,0.005440804013359744,1.2968579283206267,0.22244691371551628,-0.12252939224596679,4.892586106246352,1.040352687677004,0.21263860565454093,22.0,0.11408311505069708
X_none__S_flat__E_trail_5__R_none,SOLUSDT,85,0.36470588235294116,0.008939964943655081,1.3872082828640915,0.7076479510698795,-0.37559126686578775,4.892586106246352,1.7221480310165498,0.351991358684089,46.0,0.5595117044448655
