liq_type,window_s,threshold_usd,asset,n_gate,n_base,wr_base,wr_true,lift_pp
SHORT,60,10000,ALL,33,1980,0.8141,0.9394,12.53
SHORT,60,20000,ALL,30,1980,0.8141,0.9333,11.92
SHORT,60,50000,ALL,22,1980,0.8141,1.0,18.59
SHORT,60,100000,ALL,12,1980,0.8141,1.0,18.59
SHORT,60,200000,ALL,10,1980,0.8141,1.0,18.59
LONG,60,10000,ALL,1,3020,0.7927,1.0,20.73
SHORT,180,10000,ALL,49,1980,0.8141,0.9388,12.46
SHORT,180,20000,ALL,46,1980,0.8141,0.9348,12.06
SHORT,180,50000,ALL,39,1980,0.8141,0.9231,10.89
SHORT,180,100000,ALL,25,1980,0.8141,0.88,6.59
SHORT,180,200000,ALL,20,1980,0.8141,0.95,13.59
LONG,180,10000,ALL,5,3020,0.7927,0.8,0.73
SHORT,300,10000,ALL,69,1980,0.8141,0.8116,-0.25
SHORT,300,20000,ALL,58,1980,0.8141,0.8276,1.34
SHORT,300,50000,ALL,48,1980,0.8141,0.8125,-0.16
SHORT,300,100000,ALL,29,1980,0.8141,0.8621,4.79
SHORT,300,200000,ALL,25,1980,0.8141,0.92,10.59
LONG,300,10000,ALL,11,3020,0.7927,0.9091,11.64
SHORT,600,10000,ALL,100,1980,0.8141,0.79,-2.41
SHORT,600,20000,ALL,89,1980,0.8141,0.7753,-3.89
SHORT,600,50000,ALL,69,1980,0.8141,0.8116,-0.25
SHORT,600,100000,ALL,47,1980,0.8141,0.7872,-2.69
SHORT,600,200000,ALL,37,1980,0.8141,0.8919,7.78
LONG,600,10000,ALL,73,3020,0.7927,0.7945,0.18
LONG,600,20000,ALL,4,3020,0.7927,1.0,20.73
SHORT,60,10000,BTC,24,690,0.8507,1.0,14.93
SHORT,60,20000,BTC,24,690,0.8507,1.0,14.93
SHORT,60,50000,BTC,20,690,0.8507,1.0,14.93
SHORT,60,100000,BTC,11,690,0.8507,1.0,14.93
SHORT,60,200000,BTC,9,690,0.8507,1.0,14.93
LONG,60,10000,BTC,1,1412,0.835,1.0,16.5
SHORT,180,10000,BTC,36,690,0.8507,0.9722,12.15
SHORT,180,20000,BTC,36,690,0.8507,0.9722,12.15
SHORT,180,50000,BTC,32,690,0.8507,0.9688,11.8
SHORT,180,100000,BTC,20,690,0.8507,0.95,9.93
SHORT,180,200000,BTC,18,690,0.8507,0.9444,9.37
LONG,180,10000,BTC,5,1412,0.835,0.8,-3.5
SHORT,300,10000,BTC,44,690,0.8507,0.8864,3.56
SHORT,300,20000,BTC,43,690,0.8507,0.8837,3.3
SHORT,300,50000,BTC,37,690,0.8507,0.8919,4.12
SHORT,300,100000,BTC,23,690,0.8507,0.913,6.23
SHORT,300,200000,BTC,22,690,0.8507,0.9091,5.84
LONG,300,10000,BTC,8,1412,0.835,0.875,4.0
SHORT,600,10000,BTC,54,690,0.8507,0.9074,5.67
SHORT,600,20000,BTC,53,690,0.8507,0.9057,5.49
SHORT,600,50000,BTC,46,690,0.8507,0.8913,4.06
SHORT,600,100000,BTC,32,690,0.8507,0.9062,5.55
SHORT,600,200000,BTC,30,690,0.8507,0.9333,8.26
LONG,600,10000,BTC,39,1412,0.835,0.7179,-11.7
LONG,600,20000,BTC,1,1412,0.835,1.0,16.5
SHORT,60,10000,ETH,6,552,0.808,0.6667,-14.13
SHORT,60,20000,ETH,3,552,0.808,0.3333,-47.46
SHORT,60,50000,ETH,1,552,0.808,1.0,19.2
SHORT,180,10000,ETH,6,552,0.808,0.6667,-14.13
SHORT,180,20000,ETH,3,552,0.808,0.3333,-47.46
SHORT,180,50000,ETH,3,552,0.808,0.3333,-47.46
SHORT,180,100000,ETH,3,552,0.808,0.3333,-47.46
SHORT,180,200000,ETH,1,552,0.808,1.0,19.2
SHORT,300,10000,ETH,14,552,0.808,0.4286,-37.94
SHORT,300,20000,ETH,7,552,0.808,0.2857,-52.23
SHORT,300,50000,ETH,7,552,0.808,0.2857,-52.23
SHORT,300,100000,ETH,3,552,0.808,0.3333,-47.46
SHORT,300,200000,ETH,1,552,0.808,1.0,19.2
LONG,300,10000,ETH,3,498,0.741,1.0,25.9
SHORT,600,10000,ETH,28,552,0.808,0.5,-30.8
SHORT,600,20000,ETH,22,552,0.808,0.4091,-39.89
SHORT,600,50000,ETH,16,552,0.808,0.5,-30.8
SHORT,600,100000,ETH,10,552,0.808,0.3,-50.8
SHORT,600,200000,ETH,4,552,0.808,0.5,-30.8
LONG,600,10000,ETH,34,498,0.741,0.8824,14.14
LONG,600,20000,ETH,3,498,0.741,1.0,25.9
SHORT,60,10000,SOL,3,738,0.7846,1.0,21.54
SHORT,60,20000,SOL,3,738,0.7846,1.0,21.54
SHORT,60,50000,SOL,1,738,0.7846,1.0,21.54
SHORT,60,100000,SOL,1,738,0.7846,1.0,21.54
SHORT,60,200000,SOL,1,738,0.7846,1.0,21.54
SHORT,180,10000,SOL,7,738,0.7846,1.0,21.54
SHORT,180,20000,SOL,7,738,0.7846,1.0,21.54
SHORT,180,50000,SOL,4,738,0.7846,1.0,21.54
SHORT,180,100000,SOL,2,738,0.7846,1.0,21.54
SHORT,180,200000,SOL,1,738,0.7846,1.0,21.54
SHORT,300,10000,SOL,11,738,0.7846,1.0,21.54
SHORT,300,20000,SOL,8,738,0.7846,1.0,21.54
SHORT,300,50000,SOL,4,738,0.7846,1.0,21.54
SHORT,300,100000,SOL,3,738,0.7846,1.0,21.54
SHORT,300,200000,SOL,2,738,0.7846,1.0,21.54
SHORT,600,10000,SOL,18,738,0.7846,0.8889,10.43
SHORT,600,20000,SOL,14,738,0.7846,0.8571,7.26
SHORT,600,50000,SOL,7,738,0.7846,1.0,21.54
SHORT,600,100000,SOL,5,738,0.7846,1.0,21.54
SHORT,600,200000,SOL,3,738,0.7846,1.0,21.54
