feature,permutation_importance
body_pct,0.011407407407407408
btc_ret_1d,0.005629629629629621
bb_z_20,0.00533333333333333
cmf_20,0.005185185185185186
dow,0.005185185185185182
cmf_5,0.0050370370370370334
aggression_imb_day,0.003999999999999999
dow_cos,0.0035555555555555492
dist_ma20_pct,0.0034074074074073994
obv_slope_20d,0.0025185185185185198
obv_z_20d,0.0023703703703703716
ret_3d,0.002370370370370371
range_compression,0.002222222222222223
dow_sin,0.0022222222222222196
z_fund_d1,0.0020740740740740763
z_top_lsr_count,0.002074074074074072
adx_14,0.001925925925925923
vol_z_30d,0.0019259259259259214
taker_buy_ratio_day,0.0016296296296296276
realized_vol_7d,0.0011851851851851893
vol_z_20d,0.0011851851851851837
realized_vol_30d,0.0007407407407407436
score_bull_scaled_d1,0.0005925925925925928
cross_leverage_heat_d1,0.000592592592592589
cross_real_money,0.0004444444444444422
score_bull_scaled,0.0002962962962962982
mfi_14,0.00029629629629629765
z_oi_silent,0.0002962962962962945
cross_retail_lead,0.00014814814814814836
is_weekend,0.0
z_cb_premium,0.0
z_cb_premium_d1,0.0
eth_ret_1d,0.0
brigalS,-7.170190367370802e-19
z_oi_d1,-0.00014814814814814598
oilsr,-0.00014814814814814676
realized_vol_14d,-0.0002962962962962912
z_lsr_d1,-0.0002962962962962937
btc_minus_eth_1d,-0.00029629629629629656
z_oi,-0.00029629629629629814
month,-0.00044444444444444875
funding_rate,-0.0005925925925925912
z_top_lsr_count_d1,-0.0005925925925925935
cross_retail_lead_d1,-0.0007407407407407397
cross_real_money_d1,-0.0007407407407407411
score_bear_scaled_d1,-0.0007407407407407427
z_fund,-0.001037037037037034
z_top_lsr_sum,-0.0010370370370370357
cross_risk_off,-0.0010370370370370368
score_bear_scaled,-0.0010370370370370392
cross_leverage_heat,-0.001037037037037041
brigalS_d1,-0.001333333333333331
z_taker_ratio,-0.001333333333333332
z_top_lsr_sum_d1,-0.001333333333333333
oilsr_d1,-0.0013333333333333359
rsi_14,-0.002074074074074076
ret_30d,-0.002074074074074078
funding_rate_d1,-0.002222222222222223
range_med_7d,-0.00237037037037037
cross_institutional_lead_d7,-0.0023703703703703703
z_lsr_d7,-0.0025185185185185167
ret_1d,-0.002962962962962959
sol_ret_1d,-0.0029629629629629646
ret_7d,-0.0029629629629629676
z_oi_silent_d1,-0.003407407407407406
cross_risk_off_d1,-0.0034074074074074067
cross_institutional_lead,-0.003555555555555552
z_dom_stables_d1,-0.0037037037037037056
taker_delta_day,-0.0038518518518518637
intraday_range,-0.004
cross_leverage_heat_d7,-0.00429629629629629
dist_ma50_pct,-0.004592592592592602
z_dom_stables,-0.004888888888888888
cross_institutional_lead_d1,-0.005333333333333333
obv_slope_5d,-0.005481481481481487
z_lsr,-0.00622222222222222
di_diff_14,-0.0062222222222222245
z_taker_ratio_d1,-0.00651851851851852
dist_ma200_pct,-0.008592592592592593
