,BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_15M_TS_TRSTACK_OFF600_DOWN_V5,BTC_5M_TS_MPSKEW_ANY_OFFSET30_V5,BTC_5M_TS_MPSKEW_S6_0_60_V5,ETH_15M_TRSTACK_VWAP_OFFEARLY_V5,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_V5,ETH_5M_CLOUD_MP_SMS_ACTIVE_OFF120_V5,ETH_5M_TR200_MP_MPNX_SMS_OFF120_V5,ETH_5M_TR200_MP_SMS_ACTIVE_OFF120_V5,SOL_15M_RFAGED_TRSTACK_LATE_V5,SOL_15M_TRSTACK_VOL_RIBBON_EMA_MID_V5,SOL_5M_DEPTH_UP_HOD_SESSION_V5,SOL_5M_RF_TR_PARTIAL_MID_V5,SOL_5M_RF_TR_PP_MID_V5,BTC_15M_EMA200_MPSKEW_RF_OFF600_DOWN_V6,BTC_15M_EMA800_RIBSLP_HAWKES_OFF840_V6,BTC_15M_VWAPPREM_EMA50_MPSKEW_OFF600_V6,ETH_15M_PW_TRENDSLOPE_TRSTACK_VWAP_VOL_OFFEARLY_V6,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_BAND_V6,ETH_5M_BB_MP_HURST_BAND_V6,ETH_5M_CLOUD_RIBBON_MP_HURST_V6,ETH_5M_V5_REPL_OFF120_V6,SOL_15M_HOD_EU_OFF60_240_RF_TR_VWAP80_V6,SOL_15M_HOD_EU_TIGHTRIB_RF_TR_VWAP80_V6,SOL_5M_CCI_F7_MFI_PARTIAL_VWAP_V6,SOL_5M_F7_MFI_EMA200_VWAP_V6,SOL_5M_F7_MP_EMA200_VWAP_V6,BTC_15M_V7_BASELINE,BTC_5M_V7_T1_PARENT15M_REGIME,BTC_5M_V7_T2_PARENT15M_SLOPE,BTC_5M_V7_T3_OFI_TS,BTC_5M_V7_T4_HURST_TS_HAWKES,BTC_5M_V7_T5_PARENT15M_NOTRANGING_MPSKEW,ETH_15M_V7_PG_RV_ABOVE_MED,ETH_15M_V7_PG_VOL_EXTREME_CORE,ETH_15M_V7_PG_VOL_EXTREME_TS,ETH_15M_V7_PI_S1_BTC_15M_TREND,ETH_15M_V7_PI_S1_TS_AND_BTC_15M,ETH_5M_V7_C1_CLOUD_VWAP_HURST_MP,ETH_5M_V7_C2_EMA50_HURST_PARENT_RANGING,ETH_5M_V7_C3_V6C3_PARENT_RANGING,ETH_5M_V7_C4_XA_3SOURCE_PARENT_RANGING,ETH_5M_V7_C5_CLOUD_HURST_VWAP_PARENT,SOL_15M_V7_S1_BTC_ADX_VOLLOW,SOL_15M_V7_S1_BTC_ADX_VOLLOW_V2,SOL_15M_V7_S3_XADX_ETHVOLLOW,SOL_15M_V7_S5_BTC_SLOPE_STR,SOL_15M_V7_S5_BTC_SLOPE_STR_V2,SOL_5M_V7_S1_BTC_TREND_CCI_HURST_REV,SOL_5M_V7_S2_BTC_F7_OVERBOUGHT_EMA800_VWAP,SOL_5M_V7_S3_BTC_F7_AGAINST_CCI_HURST_REV,SOL_5M_V7_S4_CCI_F7_OVERSOLD_MFI_STOCH,SOL_5M_V7_S5_CCI_F7_OVERSOLD_MFI_STOCH_LIGHT
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,1.0,0.2813522355507088,0.0,0.21459694989106753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3638941398865784,0.0,0.1413237924865832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3638941398865784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,0.2813522355507088,1.0,0.0,0.33724340175953077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.12797074954296161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC_15M_TS_TRSTACK_OFF600_DOWN_V5,0.21459694989106753,0.33724340175953077,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17532467532467533,0.0,0.0509433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17532467532467533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC_5M_TS_MPSKEW_ANY_OFFSET30_V5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010558069381598794,0.041121495327102804,0.0,0.03206997084548105,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC_5M_TS_MPSKEW_S6_0_60_V5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010558069381598794,0.041121495327102804,0.0,0.03206997084548105,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_15M_TRSTACK_VWAP_OFFEARLY_V5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2291220556745182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1349036402569593,0.19271948608137046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11991434689507495,0.07922912205567452,0.07494646680942184,0.13704496788008566,0.12205567451820129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_V5,0.0,0.0,0.0,0.0,0.0,0.0,0.2291220556745182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5887850467289719,0.8411214953271028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5233644859813084,0.3211009174311927,0.32710280373831774,0.5981308411214953,0.5327102803738317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_5M_CLOUD_MP_SMS_ACTIVE_OFF120_V5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09375,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_5M_TR200_MP_MPNX_SMS_OFF120_V5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,1.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
