sleeve_a,sleeve_b,n_a,n_b,jaccard_fire,jaccard_slug,inter_fires,union_fires,inter_slugs,union_slugs,cov_smaller
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,917,917,1.0,1.0,917,917,917,917,1.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,917,258,0.2813522355507088,0.2813522355507088,258,917,258,917,1.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,917,212,0.0,0.022644927536231884,0,1129,25,1104,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_15M_TS_TRSTACK_OFF600_DOWN_V5,917,198,0.21459694989106753,0.21459694989106753,197,918,197,918,0.9949494949494949
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_TS_MPSKEW_ANY_OFFSET30_V5,917,144,0.0,0.0,0,1061,0,1061,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_TS_MPSKEW_S6_0_60_V5,917,144,0.0,0.0,0,1061,0,1061,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_TRSTACK_VWAP_OFFEARLY_V5,917,467,0.0,0.0,0,1384,0,1384,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_V5,917,107,0.0,0.0,0,1024,0,1024,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_CLOUD_MP_SMS_ACTIVE_OFF120_V5,917,124,0.0,0.0,0,1041,0,1041,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_TR200_MP_MPNX_SMS_OFF120_V5,917,16,0.0,0.0,0,933,0,933,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_TR200_MP_SMS_ACTIVE_OFF120_V5,917,120,0.0,0.0,0,1037,0,1037,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_15M_RFAGED_TRSTACK_LATE_V5,917,297,0.0,0.0,0,1214,0,1200,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_15M_TRSTACK_VOL_RIBBON_EMA_MID_V5,917,103,0.0,0.0,0,1020,0,1006,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_DEPTH_UP_HOD_SESSION_V5,917,90,0.0,0.0,0,1007,0,991,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_RF_TR_PARTIAL_MID_V5,917,207,0.0,0.0,0,1124,0,1113,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_RF_TR_PP_MID_V5,917,126,0.0,0.0,0,1043,0,1038,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_15M_EMA200_MPSKEW_RF_OFF600_DOWN_V6,917,526,0.3638941398865784,0.3638941398865784,385,1058,385,1058,0.7319391634980988
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_15M_EMA800_RIBSLP_HAWKES_OFF840_V6,917,353,0.0,0.08085106382978724,0,1270,95,1175,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_15M_VWAPPREM_EMA50_MPSKEW_OFF600_V6,917,359,0.1413237924865832,0.1413237924865832,158,1118,158,1118,0.4401114206128134
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_PW_TRENDSLOPE_TRSTACK_VWAP_VOL_OFFEARLY_V6,917,63,0.0,0.0,0,980,0,980,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_BAND_V6,917,90,0.0,0.0,0,1007,0,1007,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_BB_MP_HURST_BAND_V6,917,162,0.0,0.0,0,1079,0,1079,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_CLOUD_RIBBON_MP_HURST_V6,917,481,0.0,0.0,0,1398,0,1398,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_V5_REPL_OFF120_V6,917,120,0.0,0.0,0,1037,0,1037,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_15M_HOD_EU_OFF60_240_RF_TR_VWAP80_V6,917,336,0.0,0.0,0,1253,0,1178,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_15M_HOD_EU_TIGHTRIB_RF_TR_VWAP80_V6,917,749,0.0,0.0,0,1666,0,1324,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_CCI_F7_MFI_PARTIAL_VWAP_V6,917,183,0.0,0.0,0,1100,0,1075,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_F7_MFI_EMA200_VWAP_V6,917,144,0.0,0.0,0,1061,0,1042,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_F7_MP_EMA200_VWAP_V6,917,189,0.0,0.0,0,1106,0,1084,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_15M_V7_BASELINE,917,526,0.3638941398865784,0.3638941398865784,385,1058,385,1058,0.7319391634980988
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_V7_T1_PARENT15M_REGIME,917,526,0.0,0.0,0,1443,0,1149,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_V7_T2_PARENT15M_SLOPE,917,413,0.0,0.0,0,1330,0,1163,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_V7_T3_OFI_TS,917,689,0.0,0.0,0,1606,0,1358,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_V7_T4_HURST_TS_HAWKES,917,918,0.0,0.0,0,1835,0,1422,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_V7_T5_PARENT15M_NOTRANGING_MPSKEW,917,219,0.0,0.0,0,1136,0,1014,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_V7_PG_RV_ABOVE_MED,917,56,0.0,0.0,0,973,0,973,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_V7_PG_VOL_EXTREME_CORE,917,37,0.0,0.0,0,954,0,954,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_V7_PG_VOL_EXTREME_TS,917,35,0.0,0.0,0,952,0,952,0.0
