version,sleeve_id,asset,tf,n,wr_pct,dpt_usd,sum_pnl_usd,sum_28d_proj,days_active,gate_stack
V5,BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC,15m,917,76.33587786259542,1.069440961331232,980.6773615407396,832.0898825194155,33,g_tr_above_ema50|g_tr_above_ema800
V5,BTC_15M_MPSKEW_TRSTACK_OFF600_DOWN_V5,BTC,15m,258,88.37209302325581,1.7567323867201277,453.23695577379294,384.5646897474607,32,g_mp_skew_strong_with|g_tr_stack_full_with
V5,BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC,15m,212,83.9622641509434,1.891615769538917,401.0225431422504,340.26155175706094,27,g_regime_stack_with|g_tr_stack_full_with
V5,BTC_15M_TS_TRSTACK_OFF600_DOWN_V5,BTC,15m,198,89.39393939393939,1.8823694230479684,372.70914576349776,316.2380630720587,27,g_tr_stack_full_with|g_trend_slope_with
V5,BTC_5M_TS_MPSKEW_ANY_OFFSET30_V5,BTC,5m,357,90.19607843137256,11.49502156485454,4103.72269865307,3481.946532190484,22,g_trend_slope_strong_with|g_mp_skew_with
V5,BTC_5M_TS_MPSKEW_S6_0_60_V5,BTC,5m,357,90.19607843137256,11.49502156485454,4103.72269865307,3481.946532190484,22,g_trend_slope_strong_with|g_mp_skew_with
V5,ETH_15M_TRSTACK_VWAP_OFFEARLY_V5,ETH,15m,467,67.88008565310493,3.1007479289300677,1448.0492828103415,1228.647876323926,33,g_tr_stack_full_with|g_offset_early|g_above_1h_dailyvwap_with
V5,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_V5,ETH,15m,107,78.50467289719626,7.31708219250368,782.9277945978937,664.3023711739704,21,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_high
V5,ETH_5M_CLOUD_MP_SMS_ACTIVE_OFF120_V5,ETH,5m,124,85.48387096774194,3.7388611535526803,463.6187830405324,393.37351288287596,23,g_tr_above_cloud|g_mp_skew_with|g_sms_liq_reclaim_with|g_tr_in_active_session
V5,ETH_5M_TR200_MP_MPNX_SMS_OFF120_V5,ETH,5m,16,75.0,3.4708746985935512,55.53399517749682,47.1197534839367,12,g_tr_above_ema200|g_mp_skew_with|g_mp_no_extreme|g_sms_liq_reclaim_with
V5,ETH_5M_TR200_MP_SMS_ACTIVE_OFF120_V5,ETH,5m,120,87.5,3.5931088005423595,431.17305606508313,365.84380514613116,23,g_tr_above_ema200|g_mp_skew_with|g_sms_liq_reclaim_with|g_tr_in_active_session
V5,SOL_15M_RFAGED_TRSTACK_LATE_V5,SOL,15m,297,85.52188552188552,0.9114215727951276,270.6922071201529,229.67823634437215,33,g_rf_aged|g_tr_stack_full_with|g_tr_stack_with
V5,SOL_15M_TRSTACK_VOL_RIBBON_EMA_MID_V5,SOL,15m,103,73.7864077669903,2.5221480276341386,259.78124684631626,220.4204518696017,22,g_tr_stack_full_with|g_vol_high|g_ribbon_agrees|g_tr_above_ema200|g_tr_above_ema800
V5,SOL_5M_DEPTH_UP_HOD_SESSION_V5,SOL,5m,90,91.11111111111111,4.0284279362004325,362.55851425803894,307.625406037124,27,g_depth_250_strict|g_hod_us_afternoon|g_tr_in_active_session
V5,SOL_5M_RF_TR_PARTIAL_MID_V5,SOL,5m,207,79.22705314009661,1.6747285478741631,346.6688094099518,294.1432322266258,31,g_rf_strict_align|g_tr_partial_stack_with
V5,SOL_5M_RF_TR_PP_MID_V5,SOL,5m,126,84.12698412698413,3.998391091345571,503.7972775095419,427.4643566747628,30,g_rf_strict_align|g_tr_above_ema200|g_tr_above_pp|g_tr_partial_stack_with
V6,BTC_15M_EMA200_MPSKEW_RF_OFF600_DOWN_V6,BTC,15m,526,65.39923954372624,-0.5339828984023488,-280.8750045596355,-238.31818568696346,32,g_tr_above_ema200|g_mp_skew_strong_with|g_rf_with
V6,BTC_15M_EMA800_RIBSLP_HAWKES_OFF840_V6,BTC,15m,353,73.37110481586402,7.032073871019022,2482.322076469715,2106.2126709440004,26,g_tr_above_ema800|g_ribbon_slope_with|g_hawkes_imb_loose_with
V6,BTC_15M_VWAPPREM_EMA50_MPSKEW_OFF600_V6,BTC,15m,359,69.63788300835655,1.279783383565414,459.44223469998366,389.8297748969558,32,g_vwap_premium|g_tr_above_ema50|g_mp_skew_with
V6,ETH_15M_PW_TRENDSLOPE_TRSTACK_VWAP_VOL_OFFEARLY_V6,ETH,15m,63,80.95238095238095,8.611684230531385,542.5361065234772,460.3336661411322,21,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_high|g_pw_trend_slope_with
V6,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_BAND_V6,ETH,15m,90,74.44444444444444,7.622218757109252,685.9996881398326,582.0603414519792,21,g_tr_stack_full_with|g_above_1h_dailyvwap_with|g_offset_early|g_vol_high|g_entry_vwap_in_30_70
