market,rank,sleeve_id,gates,anchor,dir,stability,n_tr,n_v,n_lb,n_full,wr_tr,wr_v,wr_lb,wr_full,dpt_tr,dpt_v,dpt_lb,dpt_full,dd_lb,ls_lb,sharpe,bs_p,sum_28d_const,sum_lockbox,_dpt_lb,_n_lb,proj_full_33d,proj_annual
BTC 5m,1,F_g_parent_15m_regime_with+g_within_dev+g_hurst_trending,g_parent_15m_regime_with+g_within_dev+g_hurst_trending,parent_15m+r2,BOTH,OK,361,133,218,712.0,0.8421052631578947,0.8045112781954887,0.926605504587156,,2.4944977377601965,0.6123408265165696,13.503230916808535,,350.0,14,67.29323048829787,0.0,,2943.704339864261,13.503230916808535,218.0,24035.34593499169,268797.0025338553
BTC 5m,2,F_g_parent_15m_slope_with+g_trend_slope_strong_with+g_mp_no_extreme,g_parent_15m_slope_with+g_trend_slope_strong_with+g_mp_no_extreme,parent_15m+r2,BOTH,OK,80,49,428,557.0,0.8375,0.8367346938775511,0.7757009345794392,,5.845254948790357,6.015402846126911,9.508355828372268,,289.08759001281646,11,39.19563080556879,0.0,,4069.57629454333,9.508355828372268,428.0,33228.09044494629,371603.1853954879
BTC 5m,3,D_ofi+g_trend_slope_strong_with,g_slot_end_ofi_with+g_trend_slope_strong_with,offset_L_late_ofi,BOTH,OK,222,77,390,689.0,0.9864864864864864,0.948051948051948,0.9230769230769232,,1.0148013540823038,0.6797810531326035,4.276469237276311,,96.93749828869474,3,39.40039733440194,0.0,,1667.823002537761,4.276469237276311,390.0,13617.77481572082,152293.08791922932
BTC 5m,4,H_g_hurst_regime_with+g_trend_slope_strong_with+g_hawkes_imbalance_with,g_hurst_regime_with+g_trend_slope_strong_with+g_hawkes_imbalance_with,hurst+strong+strong,BOTH,OK,798,382,234,1414.0,0.9511278195488722,0.8691099476439791,0.9188034188034188,,5.015777840880592,0.4304352901871917,10.337427018686348,,150.0,6,50.94526152742288,0.0,,2418.957922372605,10.337427018686348,234.0,19750.791436172323,220881.09528664855
BTC 5m,5,F_g_parent_15m_not_ranging+g_trend_slope_strong_with+g_mp_skew_with,g_parent_15m_not_ranging+g_trend_slope_strong_with+g_mp_skew_with,parent_15m+r2,BOTH,OK,164,18,161,343.0,0.945121951219512,0.8888888888888888,0.9316770186335404,,4.308346846529903,1.5997475473175569,15.38489753355422,,250.0,10,19.632537629890177,0.0,,2476.9685029022294,15.38489753355422,161.0,20224.4478261967,226178.18642125983
ETH 5m,1,v7_c1_off60_cloud_vwap_hurst_mp,g_tr_above_cloud&g_entry_vwap_in_band&g_hurst_mp_trend_with,offset_60s,BOTH,OK,41,40,82,,0.6098,0.65,0.8171,,4.123,4.094,14.12,,-50.0,2,118.14,0.0,,,14.12,82.0,9453.763599999998,105725.265
ETH 5m,2,v7_c2_off60_ema50_hurst_parent_ranging,g_tr_above_ema50&g_hurst_trending&g_parent15m_ranging,offset_60s,BOTH,OK,275,194,279,,0.7855,0.8093,0.7921,,1.606,4.48,5.724,,-117.15,2,78.46,0.0,,,5.724,279.0,13039.47234,145825.69725
ETH 5m,3,v7_c3_off60_v6c3_plus_parent_ranging,g_tr_above_cloud&g_ribbon_agrees&g_mp_skew_with&g_hurst_trending&g_parent15m_ranging,offset_60s,BOTH,OK,160,114,163,,0.7688,0.8684,0.8344,,1.009,5.352,8.393,,-92.81,2,138.03,0.0,,,8.393,163.0,11170.201735,124920.88743750002
ETH 5m,4,v7_c4_off90_xa_3source_parent_ranging,g_tr_above_ema200&g_entry_vwap_in_band&g_regime_ranging_at_ws&g_xa_3source_trend_with,offset_90s,BOTH,OK,34,23,48,,0.5882,0.7391,0.8125,,2.253,9.962,14.466,,-53.27,2,40.15,0.0,,,14.466,48.0,5669.514719999999,63404.477999999996
ETH 5m,5,v7_c5_off60_cloud_hurst_vwap_parent,g_tr_above_cloud&g_hurst_trending&g_entry_vwap_in_band&g_parent15m_ranging,offset_60s,BOTH,OK,67,68,130,,0.5821,0.6176,0.7615,,2.15,3.673,10.634,,-54.86,2,91.09,0.0,,,10.634,130.0,11287.459299999999,126232.22625
