horizon_s,src,tgt,lag_s,corr,n
1,BTC,ETH,0,0.7135945985249484,1832503
1,BTC,ETH,1,0.11251274663959224,1832503
1,BTC,ETH,5,0.011188786132219908,1832503
1,BTC,ETH,30,-0.0015723678523661578,1832503
1,BTC,ETH,60,0.006392144847864225,1832503
1,BTC,ETH,300,0.0034213665143798945,1832503
1,BTC,SOL,0,0.45727274204650586,1832503
1,BTC,SOL,1,0.07757461656336304,1832503
1,BTC,SOL,5,0.0105349739594848,1832503
1,BTC,SOL,30,0.00043265140177595874,1832503
1,BTC,SOL,60,0.0034927436178544646,1832503
1,BTC,SOL,300,0.0003602474320707405,1832503
1,ETH,BTC,0,0.7135945985249484,1832503
1,ETH,BTC,1,0.14517639769142263,1832503
1,ETH,BTC,5,0.01957104461319661,1832503
1,ETH,BTC,30,-0.0010907268672178169,1832503
1,ETH,BTC,60,0.005789221155556137,1832503
1,ETH,BTC,300,0.0017801505668254911,1832503
1,ETH,SOL,0,0.49418535528250385,1832503
1,ETH,SOL,1,0.08773485912577439,1832503
1,ETH,SOL,5,0.012128056150123722,1832503
1,ETH,SOL,30,0.00038569070782243765,1832503
1,ETH,SOL,60,0.005553894367397074,1832503
1,ETH,SOL,300,0.00031275783194037676,1832503
1,SOL,BTC,0,0.45727274204650586,1832503
1,SOL,BTC,1,0.10504234420089795,1832503
1,SOL,BTC,5,0.013419069702643267,1832503
1,SOL,BTC,30,-0.0009463992784069601,1832503
1,SOL,BTC,60,0.002461293863336107,1832503
1,SOL,BTC,300,0.0020599581074400002,1832503
1,SOL,ETH,0,0.4941853552825039,1832503
1,SOL,ETH,1,0.0954049843405363,1832503
1,SOL,ETH,5,0.010322385048057929,1832503
1,SOL,ETH,30,-0.0015984297197773085,1832503
1,SOL,ETH,60,0.003114953288009099,1832503
1,SOL,ETH,300,0.0027133967848843644,1832503
5,BTC,ETH,0,0.8084177780971296,1832499
5,BTC,ETH,1,0.6848194199836906,1832499
5,BTC,ETH,5,0.08057379566182711,1832499
5,BTC,ETH,30,-0.002267183713280954,1832499
5,BTC,ETH,60,0.009335588005909154,1832499
5,BTC,ETH,300,0.0032273784544043027,1832499
5,BTC,SOL,0,0.6404305686355808,1832499
5,BTC,SOL,1,0.5441397984094829,1832499
5,BTC,SOL,5,0.07442478673046933,1832499
5,BTC,SOL,30,0.0022038772706455584,1832499
5,BTC,SOL,60,0.005595616877398681,1832499
5,BTC,SOL,300,0.002364826771084774,1832499
5,ETH,BTC,0,0.8084177780971297,1832499
5,ETH,BTC,1,0.7081833528616642,1832499
5,ETH,BTC,5,0.11922422446405147,1832499
5,ETH,BTC,30,-0.002688549075864854,1832499
5,ETH,BTC,60,0.008158051314647554,1832499
5,ETH,BTC,300,0.002628029241599676,1832499
5,ETH,SOL,0,0.6721219221968748,1832499
5,ETH,SOL,1,0.577620156274228,1832499
5,ETH,SOL,5,0.08498082918896131,1832499
5,ETH,SOL,30,0.001163819654862867,1832499
