src,tgt,lag_s,agree_freq
BTC,ETH,0,0.7586886577055221
BTC,ETH,1,0.7489402478794044
BTC,ETH,5,0.6992748719784514
BTC,ETH,30,0.5295802901385208
BTC,ETH,60,0.5032709341971423
BTC,ETH,300,0.49785430209156434
BTC,SOL,0,0.6930926208073761
BTC,SOL,1,0.6897256431636711
BTC,SOL,5,0.6591418081488499
BTC,SOL,30,0.5182722657085606
BTC,SOL,60,0.5000130968336222
BTC,SOL,300,0.49572606662795826
ETH,BTC,0,0.7586886577055221
ETH,BTC,1,0.754952785914792
ETH,BTC,5,0.7234652693800395
ETH,BTC,30,0.5682896190131099
ETH,BTC,60,0.5233467430357587
ETH,BTC,300,0.4966237454324793
ETH,SOL,0,0.7139411428297019
ETH,SOL,1,0.7121441481164571
ETH,SOL,5,0.682188961115501
ETH,SOL,30,0.5246296870293325
ETH,SOL,60,0.5011023168298677
ETH,SOL,300,0.4964900485892527
SOL,BTC,0,0.6930926208073761
SOL,BTC,1,0.6881076385099296
SOL,BTC,5,0.6592656823668598
SOL,BTC,30,0.5397718095021894
SOL,BTC,60,0.5079077590007989
SOL,BTC,300,0.49833015371317063
SOL,ETH,0,0.7139411428297019
SOL,ETH,1,0.7057441620864129
SOL,ETH,5,0.664868398650153
SOL,ETH,30,0.5234940824140084
SOL,ETH,60,0.5023934463444555
SOL,ETH,300,0.49880927954318244
